time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,969533.0,0.0,0.0
2020-03-07,3.0,3.0,0.0,0.0,0.0,972544.0,0.0,0.0
2020-03-08,4.0,1.0,1.0,1.0,0.0,979270.0,0.0,0.0
2020-03-09,3.0,0.0,0.0,2.0,0.0,986733.0,0.0,0.0
2020-03-10,3.0,0.0,0.0,0.0,2.0,992740.0,0.0,0.0
2020-03-11,2.0,2.0,0.0,0.0,2.0,996195.0,1.0,1.0
2020-03-12,1.0,0.0,2.0,0.0,0.0,1000171.0,1.0,0.0
2020-03-13,2.0,0.0,0.0,2.0,0.0,1002234.0,1.0,0.0
2020-03-14,2.0,1.0,2.0,0.0,1.0,1004264.0,3.0,2.0
2020-03-15,2.0,1.0,2.0,0.0,3.0,1006059.0,4.0,1.0
2020-03-16,4.0,2.0,1.0,0.0,4.0,1008408.0,5.0,1.0
2020-03-17,3.0,1.0,1.0,0.0,6.0,1008931.0,5.0,0.0
2020-03-18,8.0,1.0,0.0,1.0,2.0,1010812.0,6.0,1.0
2020-03-19,4.0,1.0,0.0,0.0,3.0,1011918.0,7.0,1.0
2020-03-20,4.0,0.0,1.0,0.0,3.0,1012443.0,8.0,1.0
2020-03-21,3.0,2.0,0.0,1.0,3.0,1013912.0,10.0,2.0
2020-03-22,3.0,0.0,0.0,1.0,2.0,1012742.0,10.0,0.0
2020-03-23,3.0,0.0,0.0,1.0,3.0,1013238.0,10.0,0.0
2020-03-24,3.0,0.0,1.0,1.0,1.0,1014180.0,10.0,0.0
2020-03-25,5.0,0.0,1.0,0.0,3.0,1013707.0,10.0,0.0
2020-03-26,9.0,1.0,0.0,1.0,4.0,1014507.0,11.0,1.0
2020-03-27,7.0,2.0,1.0,1.0,7.0,1014235.0,13.0,2.0
2020-03-28,6.0,0.0,0.0,0.0,9.0,1014952.0,14.0,1.0
2020-03-29,11.0,0.0,1.0,1.0,9.0,1015258.0,14.0,0.0
2020-03-30,9.0,1.0,2.0,1.0,10.0,1016065.0,16.0,2.0
2020-03-31,15.0,4.0,2.0,1.0,9.0,1015836.0,20.0,4.0
2020-04-01,18.0,2.0,3.0,5.0,10.0,1015848.0,21.0,1.0
2020-04-02,27.0,4.0,2.0,7.0,10.0,1016585.0,25.0,4.0
2020-04-03,40.0,7.0,4.0,5.0,18.0,1016891.0,29.0,4.0
2020-04-04,42.0,11.0,10.0,4.0,24.0,1016670.0,37.0,8.0
2020-04-05,47.0,11.0,7.0,8.0,36.0,1017191.0,46.0,9.0
2020-04-06,60.0,11.0,11.0,6.0,37.0,1017322.0,59.0,13.0
2020-04-07,58.0,13.0,5.0,9.0,35.0,1016458.0,71.0,12.0
2020-04-08,62.0,24.0,9.0,12.0,39.0,1017534.0,88.0,17.0
2020-04-09,81.0,19.0,14.0,11.0,45.0,1017176.0,104.0,16.0
2020-04-10,86.0,14.0,23.0,14.0,47.0,1016661.0,118.0,14.0
2020-04-11,93.0,27.0,23.0,13.0,55.0,1016474.0,138.0,20.0
2020-04-12,112.0,30.0,27.0,25.0,65.0,1017887.0,155.0,17.0
2020-04-13,124.0,41.0,29.0,24.0,92.0,1017763.0,187.0,32.0
2020-04-14,165.0,41.0,33.0,25.0,109.0,1019568.0,214.0,27.0
2020-04-15,203.0,52.0,38.0,26.0,121.0,1019866.0,255.0,41.0
2020-04-16,239.0,53.0,51.0,31.0,136.0,1019543.0,299.0,44.0
2020-04-17,298.0,62.0,50.0,45.0,153.0,1019834.0,347.0,48.0
2020-04-18,350.0,70.0,54.0,38.0,202.0,1020607.0,394.0,47.0
2020-04-19,366.0,84.0,64.0,47.0,207.0,1020280.0,462.0,68.0
2020-04-20,423.0,89.0,80.0,63.0,237.0,1019514.0,540.0,78.0
2020-04-21,527.0,112.0,91.0,74.0,282.0,1019450.0,619.0,79.0
2020-04-22,588.0,152.0,104.0,89.0,335.0,1019492.0,745.0,126.0
2020-04-23,717.0,167.0,150.0,100.0,414.0,1019628.0,888.0,143.0
2020-04-24,818.0,202.0,195.0,116.0,484.0,1018619.0,1047.0,159.0
2020-04-25,977.0,213.0,176.0,156.0,580.0,1018431.0,1201.0,154.0
2020-04-26,1125.0,240.0,206.0,175.0,668.0,1019862.0,1409.0,208.0
2020-04-27,1344.0,285.0,242.0,189.0,796.0,1019934.0,1632.0,223.0
2020-04-28,1603.0,346.0,274.0,207.0,920.0,1020837.0,1887.0,255.0
2020-04-29,1879.0,402.0,344.0,254.0,1062.0,1020758.0,2217.0,330.0
2020-04-30,2080.0,483.0,379.0,321.0,1267.0,1020173.0,2605.0,388.0
2020-05-01,2484.0,523.0,461.0,366.0,1477.0,1019917.0,3029.0,424.0
2020-05-02,2892.0,635.0,548.0,403.0,1729.0,1018617.0,3538.0,509.0
2020-05-03,3429.0,764.0,579.0,511.0,1999.0,1016488.0,4115.0,577.0
2020-05-04,3970.0,884.0,729.0,581.0,2358.0,1015226.0,4801.0,686.0
2020-05-05,4757.0,1054.0,785.0,702.0,2721.0,1013041.0,5580.0,779.0
2020-05-06,5527.0,1185.0,969.0,745.0,3202.0,1011950.0,6521.0,941.0
2020-05-07,6331.0,1398.0,1047.0,899.0,3713.0,1011053.0,7608.0,1087.0
2020-05-08,7441.0,1682.0,1296.0,1012.0,4354.0,1008374.0,8874.0,1266.0
2020-05-09,8749.0,1905.0,1565.0,1254.0,4968.0,1005503.0,10354.0,1480.0
2020-05-10,10150.0,2272.0,1803.0,1415.0,5931.0,1002276.0,12125.0,1771.0
2020-05-11,11873.0,2571.0,2102.0,1651.0,7073.0,999325.0,14088.0,1963.0
2020-05-12,13818.0,2988.0,2394.0,1966.0,8087.0,994908.0,16388.0,2300.0
2020-05-13,15998.0,3527.0,2793.0,2255.0,9518.0,990634.0,19111.0,2723.0
2020-05-14,18478.0,4120.0,3202.0,2643.0,11048.0,985548.0,22257.0,3146.0
2020-05-15,21653.0,4631.0,3823.0,3088.0,12933.0,977379.0,25785.0,3528.0
2020-05-16,25017.0,5442.0,4471.0,3520.0,15235.0,970637.0,30095.0,4310.0
2020-05-17,28902.0,6590.0,5276.0,4183.0,17646.0,962015.0,35158.0,5063.0
2020-05-18,33109.0,7644.0,6064.0,4934.0,20435.0,952525.0,40988.0,5830.0
2020-05-19,38628.0,8741.0,6926.0,5601.0,23722.0,941314.0,47551.0,6563.0
