time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,969580.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0,0.0,971557.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0,0.0,978997.0,0.0,0.0
2020-03-09,3.0,0.0,0.0,0.0,0.0,985326.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,0.0,0.0,991748.0,0.0,0.0
2020-03-11,1.0,0.0,0.0,0.0,0.0,996577.0,0.0,0.0
2020-03-12,1.0,0.0,0.0,0.0,0.0,999755.0,0.0,0.0
2020-03-13,2.0,0.0,0.0,0.0,0.0,1002613.0,0.0,0.0
2020-03-14,1.0,0.0,0.0,0.0,0.0,1005433.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,0.0,1006041.0,0.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,0.0,1008139.0,0.0,0.0
2020-03-17,1.0,0.0,0.0,1.0,0.0,1008765.0,0.0,0.0
2020-03-18,0.0,0.0,0.0,0.0,0.0,1009614.0,0.0,0.0
2020-03-19,2.0,1.0,0.0,0.0,1.0,1010668.0,1.0,1.0
2020-03-20,5.0,2.0,1.0,1.0,0.0,1011908.0,3.0,2.0
2020-03-21,9.0,2.0,0.0,1.0,0.0,1011848.0,4.0,1.0
2020-03-22,6.0,0.0,0.0,1.0,0.0,1012560.0,5.0,1.0
2020-03-23,5.0,0.0,0.0,0.0,2.0,1012131.0,5.0,0.0
2020-03-24,7.0,1.0,0.0,0.0,1.0,1012814.0,6.0,1.0
2020-03-25,8.0,1.0,1.0,1.0,4.0,1013633.0,6.0,0.0
2020-03-26,7.0,2.0,1.0,2.0,5.0,1014437.0,9.0,3.0
2020-03-27,9.0,2.0,2.0,0.0,3.0,1016020.0,9.0,0.0
2020-03-28,11.0,2.0,1.0,0.0,4.0,1015754.0,10.0,1.0
2020-03-29,17.0,4.0,0.0,1.0,6.0,1015901.0,11.0,1.0
2020-03-30,12.0,4.0,1.0,0.0,7.0,1015689.0,14.0,3.0
2020-03-31,19.0,6.0,5.0,0.0,4.0,1014624.0,17.0,3.0
2020-04-01,20.0,5.0,5.0,0.0,5.0,1016338.0,20.0,3.0
2020-04-02,26.0,8.0,8.0,1.0,10.0,1015956.0,25.0,5.0
2020-04-03,36.0,8.0,12.0,4.0,14.0,1016817.0,32.0,7.0
2020-04-04,41.0,9.0,7.0,8.0,21.0,1017534.0,39.0,7.0
2020-04-05,47.0,16.0,4.0,7.0,27.0,1016665.0,54.0,15.0
2020-04-06,55.0,13.0,8.0,4.0,35.0,1016647.0,63.0,9.0
2020-04-07,51.0,12.0,12.0,9.0,30.0,1017048.0,72.0,9.0
2020-04-08,65.0,13.0,8.0,9.0,37.0,1017902.0,81.0,9.0
2020-04-09,70.0,11.0,17.0,12.0,38.0,1017977.0,92.0,11.0
2020-04-10,77.0,22.0,16.0,15.0,42.0,1018749.0,109.0,17.0
2020-04-11,108.0,24.0,19.0,16.0,50.0,1019684.0,126.0,17.0
2020-04-12,136.0,32.0,27.0,16.0,68.0,1019944.0,151.0,25.0
2020-04-13,169.0,44.0,15.0,34.0,85.0,1018484.0,177.0,26.0
2020-04-14,177.0,43.0,27.0,32.0,117.0,1019480.0,214.0,37.0
2020-04-15,211.0,39.0,39.0,27.0,136.0,1019341.0,243.0,29.0
2020-04-16,232.0,51.0,46.0,33.0,161.0,1019800.0,289.0,46.0
2020-04-17,267.0,73.0,46.0,47.0,177.0,1019307.0,345.0,56.0
2020-04-18,316.0,70.0,62.0,53.0,207.0,1018722.0,403.0,58.0
2020-04-19,366.0,79.0,54.0,51.0,242.0,1018718.0,465.0,62.0
2020-04-20,426.0,91.0,92.0,51.0,287.0,1019648.0,537.0,72.0
2020-04-21,482.0,114.0,87.0,88.0,308.0,1019522.0,628.0,91.0
