time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,1.0,1.0,0.0,0.0,970681.0,0.0,0.0
2020-03-07,0.0,1.0,0.0,0.0,1.0,972219.0,0.0,0.0
2020-03-08,0.0,0.0,1.0,0.0,0.0,979828.0,0.0,0.0
2020-03-09,0.0,0.0,1.0,0.0,1.0,986584.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,1.0,1.0,991692.0,0.0,0.0
2020-03-11,1.0,0.0,0.0,1.0,0.0,995833.0,0.0,0.0
2020-03-12,1.0,0.0,0.0,0.0,0.0,1000175.0,0.0,0.0
2020-03-13,1.0,0.0,0.0,0.0,0.0,1002220.0,0.0,0.0
2020-03-14,0.0,1.0,0.0,0.0,0.0,1003636.0,1.0,1.0
2020-03-15,0.0,1.0,0.0,0.0,0.0,1006091.0,1.0,0.0
2020-03-16,0.0,1.0,0.0,0.0,0.0,1007321.0,1.0,0.0
2020-03-17,0.0,1.0,0.0,0.0,0.0,1008798.0,1.0,0.0
2020-03-18,0.0,0.0,0.0,0.0,0.0,1009491.0,1.0,0.0
2020-03-19,0.0,0.0,0.0,0.0,0.0,1010688.0,1.0,0.0
2020-03-20,0.0,0.0,0.0,0.0,1.0,1010960.0,1.0,0.0
2020-03-21,1.0,0.0,0.0,0.0,1.0,1011572.0,1.0,0.0
2020-03-22,1.0,0.0,0.0,0.0,0.0,1011741.0,1.0,0.0
2020-03-23,1.0,1.0,0.0,0.0,0.0,1012766.0,2.0,1.0
2020-03-24,1.0,1.0,0.0,0.0,0.0,1012857.0,2.0,0.0
2020-03-25,2.0,1.0,0.0,0.0,0.0,1013860.0,2.0,0.0
2020-03-26,2.0,0.0,1.0,0.0,1.0,1013989.0,2.0,0.0
2020-03-27,1.0,1.0,1.0,0.0,2.0,1016463.0,3.0,1.0
2020-03-28,2.0,0.0,2.0,0.0,2.0,1016510.0,3.0,0.0
2020-03-29,4.0,0.0,1.0,0.0,3.0,1017182.0,3.0,0.0
2020-03-30,3.0,0.0,0.0,1.0,3.0,1016481.0,3.0,0.0
2020-03-31,2.0,1.0,0.0,0.0,2.0,1016771.0,4.0,1.0
2020-04-01,4.0,1.0,0.0,0.0,1.0,1016118.0,4.0,0.0
2020-04-02,3.0,3.0,0.0,0.0,0.0,1015739.0,5.0,1.0
2020-04-03,8.0,2.0,1.0,0.0,0.0,1016924.0,5.0,0.0
2020-04-04,8.0,0.0,1.0,0.0,0.0,1017032.0,5.0,0.0
2020-04-05,4.0,2.0,0.0,0.0,1.0,1017654.0,7.0,2.0
2020-04-06,5.0,1.0,1.0,0.0,2.0,1018044.0,9.0,2.0
2020-04-07,2.0,3.0,0.0,0.0,2.0,1017149.0,11.0,2.0
2020-04-08,6.0,4.0,1.0,1.0,5.0,1017277.0,13.0,2.0
2020-04-09,11.0,3.0,3.0,0.0,3.0,1017793.0,14.0,1.0
2020-04-10,15.0,3.0,4.0,2.0,4.0,1019495.0,16.0,2.0
2020-04-11,14.0,4.0,5.0,2.0,7.0,1020165.0,20.0,4.0
2020-04-12,18.0,3.0,4.0,0.0,8.0,1019951.0,21.0,1.0
2020-04-13,18.0,2.0,3.0,1.0,9.0,1020355.0,24.0,3.0
2020-04-14,14.0,2.0,4.0,1.0,13.0,1020663.0,27.0,3.0
2020-04-15,12.0,3.0,3.0,5.0,14.0,1020346.0,30.0,3.0
2020-04-16,10.0,5.0,6.0,2.0,12.0,1019838.0,34.0,4.0
2020-04-17,10.0,6.0,3.0,3.0,10.0,1019908.0,36.0,2.0
2020-04-18,19.0,5.0,4.0,5.0,10.0,1020332.0,40.0,4.0
2020-04-19,32.0,9.0,6.0,9.0,13.0,1019140.0,46.0,6.0
2020-04-20,35.0,12.0,7.0,3.0,27.0,1019628.0,57.0,11.0
2020-04-21,41.0,9.0,12.0,9.0,26.0,1020164.0,63.0,6.0
2020-04-22,66.0,12.0,5.0,7.0,30.0,1020449.0,69.0,6.0
2020-04-23,67.0,14.0,9.0,8.0,42.0,1021008.0,84.0,15.0
2020-04-24,75.0,21.0,6.0,9.0,47.0,1021526.0,99.0,15.0
2020-04-25,84.0,22.0,17.0,9.0,51.0,1020408.0,110.0,11.0
2020-04-26,104.0,25.0,21.0,15.0,50.0,1020699.0,129.0,19.0
2020-04-27,122.0,29.0,19.0,11.0,72.0,1022301.0,154.0,25.0
2020-04-28,146.0,28.0,24.0,19.0,76.0,1021054.0,174.0,20.0
2020-04-29,146.0,30.0,29.0,15.0,83.0,1020396.0,198.0,24.0
2020-04-30,169.0,31.0,25.0,29.0,103.0,1021561.0,221.0,23.0
2020-05-01,201.0,43.0,31.0,28.0,109.0,1020533.0,253.0,32.0
2020-05-02,224.0,50.0,38.0,28.0,135.0,1020163.0,292.0,39.0
2020-05-03,271.0,54.0,42.0,40.0,161.0,1021052.0,333.0,41.0
2020-05-04,337.0,63.0,60.0,38.0,197.0,1023114.0,385.0,52.0
2020-05-05,385.0,64.0,71.0,54.0,232.0,1023085.0,439.0,54.0
2020-05-06,439.0,91.0,73.0,70.0,225.0,1022463.0,518.0,79.0
2020-05-07,489.0,124.0,89.0,80.0,277.0,1022531.0,615.0,97.0
2020-05-08,614.0,134.0,101.0,91.0,353.0,1022046.0,710.0,95.0
2020-05-09,697.0,165.0,116.0,97.0,435.0,1020483.0,853.0,143.0
2020-05-10,835.0,193.0,154.0,127.0,489.0,1021743.0,990.0,137.0
2020-05-11,1040.0,225.0,175.0,156.0,556.0,1020897.0,1142.0,152.0
2020-05-12,1181.0,262.0,234.0,162.0,642.0,1021423.0,1385.0,243.0
2020-05-13,1449.0,292.0,259.0,200.0,756.0,1021670.0,1611.0,226.0
2020-05-14,1644.0,314.0,263.0,214.0,905.0,1021371.0,1858.0,247.0
2020-05-15,1837.0,420.0,294.0,244.0,1056.0,1021284.0,2185.0,327.0
2020-05-16,2140.0,443.0,371.0,282.0,1151.0,1020254.0,2516.0,331.0
2020-05-17,2480.0,543.0,416.0,359.0,1315.0,1018021.0,2943.0,427.0
2020-05-18,2942.0,610.0,480.0,441.0,1530.0,1017891.0,3406.0,463.0
2020-05-19,3371.0,704.0,599.0,507.0,1792.0,1016126.0,3976.0,570.0
