time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,3.0,0.0,0.0,0.0,970429.0,0.0,0.0
2020-03-07,1.0,1.0,1.0,0.0,0.0,971306.0,0.0,0.0
2020-03-08,1.0,1.0,0.0,1.0,0.0,979258.0,0.0,0.0
2020-03-09,1.0,2.0,0.0,0.0,1.0,985585.0,1.0,1.0
2020-03-10,3.0,1.0,1.0,0.0,1.0,991670.0,1.0,0.0
2020-03-11,3.0,0.0,1.0,0.0,0.0,996822.0,1.0,0.0
2020-03-12,2.0,0.0,0.0,1.0,0.0,1001134.0,1.0,0.0
2020-03-13,1.0,0.0,0.0,0.0,0.0,1004968.0,1.0,0.0
2020-03-14,2.0,0.0,0.0,0.0,0.0,1006158.0,1.0,0.0
2020-03-15,1.0,0.0,0.0,0.0,1.0,1007674.0,1.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,0.0,1009227.0,1.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,0.0,1010304.0,1.0,0.0
2020-03-18,0.0,0.0,0.0,0.0,0.0,1010026.0,1.0,0.0
2020-03-19,1.0,1.0,0.0,0.0,1.0,1010294.0,2.0,1.0
2020-03-20,3.0,0.0,1.0,0.0,3.0,1010643.0,2.0,0.0
2020-03-21,8.0,0.0,3.0,0.0,2.0,1011459.0,3.0,1.0
2020-03-22,6.0,0.0,0.0,2.0,3.0,1011085.0,5.0,2.0
2020-03-23,6.0,1.0,1.0,0.0,3.0,1011673.0,6.0,1.0
2020-03-24,5.0,1.0,2.0,1.0,2.0,1013238.0,7.0,1.0
2020-03-25,9.0,1.0,1.0,1.0,4.0,1013074.0,8.0,1.0
2020-03-26,6.0,4.0,1.0,0.0,5.0,1013233.0,12.0,4.0
2020-03-27,9.0,5.0,0.0,3.0,7.0,1015224.0,13.0,1.0
2020-03-28,11.0,2.0,3.0,1.0,6.0,1015900.0,15.0,2.0
2020-03-29,8.0,6.0,3.0,3.0,9.0,1015042.0,22.0,7.0
2020-03-30,13.0,2.0,4.0,2.0,10.0,1015554.0,23.0,1.0
2020-03-31,16.0,2.0,2.0,3.0,9.0,1014731.0,25.0,2.0
2020-04-01,14.0,1.0,5.0,3.0,10.0,1016262.0,28.0,3.0
2020-04-02,16.0,8.0,2.0,3.0,12.0,1015321.0,35.0,7.0
2020-04-03,24.0,4.0,4.0,4.0,19.0,1016029.0,37.0,2.0
2020-04-04,16.0,9.0,4.0,3.0,21.0,1016073.0,41.0,4.0
2020-04-05,25.0,4.0,6.0,6.0,31.0,1016997.0,45.0,4.0
2020-04-06,30.0,8.0,4.0,4.0,35.0,1017290.0,51.0,6.0
2020-04-07,37.0,8.0,9.0,3.0,34.0,1017886.0,58.0,7.0
2020-04-08,45.0,10.0,9.0,5.0,36.0,1016892.0,63.0,5.0
2020-04-09,59.0,10.0,5.0,6.0,35.0,1017398.0,72.0,9.0
2020-04-10,59.0,13.0,12.0,3.0,40.0,1017783.0,81.0,9.0
2020-04-11,62.0,20.0,14.0,8.0,41.0,1017548.0,95.0,14.0
2020-04-12,88.0,22.0,16.0,9.0,51.0,1017413.0,105.0,10.0
2020-04-13,109.0,18.0,18.0,13.0,64.0,1019025.0,120.0,15.0
2020-04-14,125.0,19.0,19.0,18.0,81.0,1018866.0,142.0,22.0
2020-04-15,126.0,26.0,23.0,20.0,93.0,1018589.0,162.0,20.0
2020-04-16,148.0,32.0,27.0,17.0,98.0,1018917.0,188.0,26.0
2020-04-17,174.0,48.0,35.0,22.0,108.0,1018787.0,225.0,37.0
2020-04-18,218.0,55.0,41.0,29.0,124.0,1018375.0,265.0,40.0
2020-04-19,264.0,56.0,50.0,41.0,138.0,1018519.0,310.0,45.0
2020-04-20,335.0,61.0,55.0,43.0,160.0,1019174.0,366.0,56.0
2020-04-21,378.0,77.0,69.0,46.0,184.0,1019827.0,437.0,71.0
2020-04-22,435.0,101.0,72.0,68.0,193.0,1020088.0,521.0,84.0
2020-04-23,519.0,107.0,98.0,56.0,256.0,1020474.0,601.0,80.0
2020-04-24,582.0,129.0,104.0,79.0,295.0,1020471.0,716.0,115.0
2020-04-25,676.0,160.0,107.0,96.0,361.0,1020093.0,840.0,124.0
2020-04-26,775.0,187.0,137.0,114.0,443.0,1019609.0,991.0,151.0
2020-04-27,927.0,199.0,167.0,109.0,516.0,1019230.0,1136.0,145.0
2020-04-28,1039.0,213.0,201.0,124.0,585.0,1018837.0,1320.0,184.0
2020-04-29,1227.0,291.0,212.0,177.0,691.0,1018198.0,1541.0,221.0
2020-04-30,1402.0,316.0,271.0,203.0,797.0,1018372.0,1789.0,248.0
2020-05-01,1677.0,374.0,277.0,230.0,972.0,1016514.0,2061.0,272.0
2020-05-02,1979.0,458.0,319.0,287.0,1145.0,1015199.0,2413.0,352.0
2020-05-03,2338.0,533.0,414.0,323.0,1424.0,1015487.0,2810.0,397.0
2020-05-04,2822.0,613.0,496.0,415.0,1632.0,1015429.0,3260.0,450.0
2020-05-05,3271.0,728.0,598.0,452.0,1886.0,1015226.0,3838.0,578.0
2020-05-06,3823.0,835.0,699.0,541.0,2222.0,1014066.0,4486.0,648.0
