time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,1.0,1.0,0.0,0.0,970063.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,1.0,0.0,972014.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,0.0,1.0,979828.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,0.0,1.0,986656.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,0.0,1.0,991609.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,1.0,996006.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,1.0,1000588.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,1.0,1003356.0,0.0,0.0
2020-03-14,0.0,1.0,0.0,0.0,0.0,1005207.0,0.0,0.0
2020-03-15,1.0,1.0,2.0,0.0,0.0,1006875.0,1.0,1.0
2020-03-16,3.0,1.0,1.0,0.0,1.0,1008345.0,1.0,0.0
2020-03-17,6.0,1.0,2.0,0.0,1.0,1010520.0,3.0,2.0
2020-03-18,5.0,2.0,0.0,2.0,3.0,1009879.0,4.0,1.0
2020-03-19,5.0,2.0,2.0,1.0,3.0,1011466.0,5.0,1.0
2020-03-20,7.0,1.0,2.0,0.0,3.0,1012080.0,6.0,1.0
2020-03-21,6.0,3.0,0.0,2.0,5.0,1013529.0,7.0,1.0
2020-03-22,9.0,2.0,2.0,1.0,8.0,1014201.0,9.0,2.0
2020-03-23,6.0,2.0,2.0,1.0,9.0,1012988.0,12.0,3.0
2020-03-24,15.0,2.0,1.0,2.0,11.0,1014171.0,13.0,1.0
2020-03-25,21.0,3.0,1.0,1.0,12.0,1015191.0,15.0,2.0
2020-03-26,19.0,1.0,4.0,0.0,9.0,1014600.0,20.0,5.0
2020-03-27,21.0,7.0,1.0,3.0,8.0,1014812.0,25.0,5.0
2020-03-28,16.0,8.0,2.0,1.0,11.0,1015250.0,31.0,6.0
2020-03-29,21.0,2.0,5.0,3.0,8.0,1015959.0,34.0,3.0
2020-03-30,20.0,3.0,2.0,3.0,9.0,1015863.0,36.0,2.0
2020-03-31,27.0,6.0,5.0,5.0,14.0,1016300.0,42.0,6.0
2020-04-01,25.0,10.0,5.0,6.0,15.0,1016547.0,51.0,9.0
2020-04-02,36.0,10.0,9.0,5.0,20.0,1016390.0,56.0,5.0
2020-04-03,39.0,15.0,10.0,6.0,22.0,1016802.0,68.0,12.0
2020-04-04,65.0,13.0,11.0,11.0,25.0,1016614.0,73.0,5.0
2020-04-05,77.0,13.0,16.0,11.0,33.0,1017113.0,89.0,16.0
2020-04-06,74.0,18.0,9.0,13.0,35.0,1016625.0,103.0,14.0
2020-04-07,76.0,21.0,19.0,11.0,47.0,1017107.0,122.0,19.0
2020-04-08,85.0,25.0,17.0,16.0,46.0,1018849.0,142.0,20.0
2020-04-09,93.0,32.0,13.0,11.0,57.0,1017672.0,165.0,23.0
2020-04-10,102.0,27.0,22.0,16.0,61.0,1017950.0,182.0,17.0
2020-04-11,115.0,31.0,37.0,17.0,63.0,1019464.0,203.0,21.0
2020-04-12,148.0,19.0,38.0,27.0,80.0,1018935.0,219.0,16.0
2020-04-13,173.0,27.0,36.0,34.0,90.0,1018446.0,250.0,31.0
2020-04-14,185.0,36.0,30.0,40.0,120.0,1019636.0,277.0,27.0
2020-04-15,241.0,51.0,29.0,35.0,139.0,1020178.0,326.0,49.0
2020-04-16,305.0,46.0,47.0,46.0,153.0,1020906.0,362.0,36.0
2020-04-17,368.0,86.0,58.0,54.0,180.0,1020077.0,421.0,59.0
2020-04-18,425.0,98.0,62.0,66.0,228.0,1019044.0,495.0,74.0
2020-04-19,493.0,121.0,80.0,82.0,263.0,1019486.0,594.0,99.0
2020-04-20,572.0,136.0,91.0,85.0,315.0,1019593.0,691.0,97.0
2020-04-21,674.0,145.0,106.0,81.0,378.0,1018488.0,796.0,105.0
2020-04-22,785.0,143.0,159.0,100.0,434.0,1017125.0,913.0,117.0
2020-04-23,900.0,201.0,166.0,132.0,506.0,1017316.0,1063.0,150.0
2020-04-24,1051.0,250.0,210.0,148.0,583.0,1017037.0,1256.0,193.0
2020-04-25,1202.0,286.0,226.0,181.0,694.0,1018583.0,1476.0,220.0
2020-04-26,1394.0,303.0,241.0,206.0,840.0,1018618.0,1693.0,217.0
2020-04-27,1613.0,323.0,292.0,215.0,929.0,1017194.0,1939.0,246.0
2020-04-28,1860.0,427.0,355.0,264.0,1094.0,1016977.0,2287.0,348.0
2020-04-29,2252.0,460.0,426.0,309.0,1307.0,1016784.0,2643.0,356.0
2020-04-30,2670.0,559.0,462.0,379.0,1528.0,1016849.0,3073.0,430.0
2020-05-01,3134.0,655.0,548.0,413.0,1795.0,1015089.0,3614.0,541.0
2020-05-02,3630.0,806.0,664.0,475.0,2073.0,1013594.0,4259.0,645.0
2020-05-03,4227.0,940.0,722.0,572.0,2449.0,1013919.0,4988.0,729.0
2020-05-04,4922.0,1084.0,858.0,654.0,2845.0,1012201.0,5821.0,833.0
2020-05-05,5696.0,1282.0,1003.0,769.0,3236.0,1011579.0,6797.0,976.0
2020-05-06,6723.0,1480.0,1228.0,924.0,3765.0,1009059.0,7932.0,1135.0
2020-05-07,7841.0,1806.0,1437.0,1111.0,4455.0,1005592.0,9312.0,1380.0
2020-05-08,9199.0,2027.0,1612.0,1294.0,5178.0,1002484.0,10856.0,1544.0
2020-05-09,10639.0,2405.0,1832.0,1474.0,6081.0,1000070.0,12698.0,1842.0
2020-05-10,12314.0,2723.0,2107.0,1855.0,7131.0,997205.0,14801.0,2103.0
2020-05-11,14476.0,3134.0,2625.0,2112.0,8310.0,993487.0,17256.0,2455.0
2020-05-12,16703.0,3687.0,2966.0,2351.0,9707.0,988279.0,20111.0,2855.0
2020-05-13,19301.0,4167.0,3374.0,2708.0,11209.0,983372.0,23329.0,3218.0
2020-05-14,22351.0,4971.0,3954.0,3171.0,13122.0,976056.0,27159.0,3830.0
2020-05-15,25945.0,5862.0,4664.0,3627.0,15346.0,968278.0,31648.0,4489.0
2020-05-16,30074.0,6717.0,5431.0,4427.0,17872.0,960200.0,36860.0,5212.0
2020-05-17,34614.0,7819.0,6275.0,4989.0,20828.0,950608.0,42928.0,6068.0
2020-05-18,39666.0,8986.0,7232.0,5823.0,24287.0,940046.0,49786.0,6858.0
2020-05-19,45793.0,10285.0,8312.0,6834.0,28365.0,926866.0,57574.0,7788.0
2020-05-20,52230.0,11799.0,9594.0,7880.0,32947.0,911141.0,66817.0,9243.0
2020-05-21,59471.0,13340.0,10951.0,9030.0,38415.0,894035.0,76963.0,10146.0
2020-05-22,67523.0,15100.0,12590.0,10284.0,44156.0,876242.0,88623.0,11660.0
2020-05-23,76473.0,17432.0,14369.0,11743.0,51134.0,854616.0,101994.0,13371.0
2020-05-24,85815.0,19715.0,16438.0,13438.0,59340.0,830200.0,117159.0,15165.0
2020-05-25,95984.0,22267.0,18595.0,15406.0,68656.0,804739.0,134060.0,16901.0
2020-05-26,106651.0,25084.0,20840.0,17670.0,78946.0,776360.0,152884.0,18824.0
2020-05-27,118103.0,27747.0,23548.0,19689.0,91107.0,745682.0,173789.0,20905.0
2020-05-28,129464.0,30409.0,26467.0,22160.0,104522.0,711534.0,196629.0,22840.0
2020-05-29,141151.0,33670.0,29445.0,24833.0,119961.0,676918.0,221761.0,25132.0
2020-05-30,152026.0,36815.0,32270.0,27598.0,136101.0,640637.0,248953.0,27192.0
2020-05-31,162347.0,39609.0,35358.0,30449.0,154825.0,602496.0,278130.0,29177.0
