time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970297.0,0.0,0.0
2020-03-07,2.0,1.0,0.0,0.0,0.0,971332.0,0.0,0.0
2020-03-08,2.0,1.0,0.0,0.0,0.0,979295.0,0.0,0.0
2020-03-09,1.0,1.0,0.0,0.0,0.0,985633.0,0.0,0.0
2020-03-10,2.0,0.0,0.0,0.0,0.0,991616.0,0.0,0.0
2020-03-11,1.0,1.0,0.0,0.0,0.0,997165.0,1.0,1.0
2020-03-12,1.0,0.0,0.0,0.0,0.0,999977.0,1.0,0.0
2020-03-13,2.0,0.0,0.0,0.0,0.0,1002935.0,1.0,0.0
2020-03-14,2.0,1.0,0.0,0.0,0.0,1004131.0,1.0,0.0
2020-03-15,2.0,0.0,1.0,0.0,0.0,1006508.0,1.0,0.0
2020-03-16,2.0,1.0,0.0,0.0,1.0,1006643.0,2.0,1.0
2020-03-17,1.0,2.0,1.0,0.0,1.0,1008357.0,4.0,2.0
2020-03-18,2.0,2.0,1.0,0.0,1.0,1009401.0,5.0,1.0
2020-03-19,1.0,0.0,0.0,1.0,2.0,1010693.0,5.0,0.0
2020-03-20,1.0,1.0,0.0,1.0,1.0,1011829.0,5.0,0.0
2020-03-21,1.0,0.0,1.0,1.0,0.0,1013686.0,5.0,0.0
2020-03-22,5.0,0.0,1.0,2.0,0.0,1014506.0,5.0,0.0
2020-03-23,5.0,0.0,0.0,1.0,0.0,1014795.0,5.0,0.0
2020-03-24,7.0,0.0,0.0,1.0,0.0,1015468.0,5.0,0.0
2020-03-25,6.0,2.0,0.0,1.0,2.0,1015439.0,7.0,2.0
2020-03-26,4.0,0.0,2.0,1.0,4.0,1014769.0,9.0,2.0
2020-03-27,5.0,0.0,1.0,1.0,4.0,1016061.0,10.0,1.0
2020-03-28,10.0,1.0,0.0,1.0,4.0,1015849.0,10.0,0.0
2020-03-29,10.0,1.0,1.0,0.0,7.0,1016462.0,11.0,1.0
2020-03-30,11.0,2.0,3.0,2.0,5.0,1016965.0,14.0,3.0
2020-03-31,13.0,2.0,2.0,3.0,8.0,1016228.0,15.0,1.0
2020-04-01,11.0,3.0,6.0,3.0,6.0,1016102.0,20.0,5.0
2020-04-02,12.0,1.0,3.0,5.0,5.0,1017592.0,21.0,1.0
2020-04-03,18.0,4.0,1.0,2.0,8.0,1017365.0,24.0,3.0
2020-04-04,18.0,6.0,2.0,1.0,15.0,1017870.0,28.0,4.0
2020-04-05,17.0,12.0,4.0,0.0,16.0,1017112.0,35.0,7.0
2020-04-06,26.0,4.0,2.0,5.0,22.0,1016931.0,35.0,0.0
2020-04-07,35.0,3.0,2.0,5.0,19.0,1017500.0,36.0,1.0
2020-04-08,36.0,5.0,4.0,4.0,24.0,1017934.0,40.0,4.0
2020-04-09,43.0,13.0,5.0,7.0,28.0,1017246.0,52.0,12.0
2020-04-10,47.0,8.0,7.0,7.0,27.0,1017739.0,56.0,4.0
2020-04-11,53.0,14.0,10.0,11.0,30.0,1018864.0,70.0,14.0
2020-04-12,64.0,12.0,10.0,10.0,35.0,1018645.0,82.0,12.0
2020-04-13,88.0,19.0,11.0,7.0,44.0,1019438.0,98.0,16.0
2020-04-14,91.0,24.0,19.0,9.0,56.0,1019332.0,115.0,17.0
2020-04-15,109.0,27.0,18.0,13.0,59.0,1019405.0,138.0,23.0
2020-04-16,135.0,41.0,30.0,16.0,68.0,1020639.0,174.0,36.0
2020-04-17,155.0,38.0,36.0,24.0,81.0,1020234.0,197.0,23.0
2020-04-18,166.0,50.0,42.0,22.0,105.0,1020565.0,237.0,40.0
2020-04-19,212.0,52.0,49.0,28.0,114.0,1019235.0,277.0,40.0
2020-04-20,253.0,58.0,48.0,35.0,121.0,1021491.0,324.0,47.0
2020-04-21,283.0,64.0,53.0,40.0,148.0,1021118.0,370.0,46.0
2020-04-22,325.0,75.0,56.0,44.0,180.0,1019999.0,425.0,55.0
2020-04-23,363.0,89.0,70.0,53.0,232.0,1021088.0,495.0,70.0
2020-04-24,429.0,101.0,79.0,66.0,260.0,1020488.0,577.0,82.0
2020-04-25,527.0,104.0,90.0,66.0,313.0,1021741.0,657.0,80.0
2020-04-26,590.0,124.0,107.0,82.0,349.0,1020684.0,772.0,115.0
2020-04-27,663.0,148.0,123.0,102.0,415.0,1020819.0,885.0,113.0
2020-04-28,827.0,182.0,134.0,126.0,490.0,1020965.0,1015.0,130.0
2020-04-29,956.0,197.0,194.0,134.0,563.0,1018699.0,1193.0,178.0
2020-04-30,1135.0,225.0,193.0,159.0,660.0,1019523.0,1375.0,182.0
2020-05-01,1362.0,274.0,240.0,175.0,737.0,1018434.0,1596.0,221.0
2020-05-02,1542.0,364.0,298.0,211.0,848.0,1019610.0,1889.0,293.0
2020-05-03,1849.0,393.0,386.0,247.0,1002.0,1019232.0,2202.0,313.0
2020-05-04,2256.0,474.0,413.0,315.0,1230.0,1018163.0,2596.0,394.0
2020-05-05,2629.0,554.0,491.0,368.0,1469.0,1017939.0,3035.0,439.0
2020-05-06,3027.0,664.0,520.0,421.0,1693.0,1017005.0,3529.0,494.0
2020-05-07,3585.0,744.0,632.0,477.0,2008.0,1015726.0,4111.0,582.0
2020-05-08,4153.0,859.0,714.0,551.0,2320.0,1015179.0,4803.0,692.0
2020-05-09,4867.0,998.0,797.0,688.0,2670.0,1014943.0,5610.0,807.0
2020-05-10,5663.0,1149.0,996.0,750.0,3168.0,1012148.0,6517.0,907.0
2020-05-11,6506.0,1422.0,1133.0,967.0,3765.0,1009000.0,7688.0,1171.0
2020-05-12,7676.0,1676.0,1308.0,1103.0,4370.0,1006394.0,8975.0,1287.0
2020-05-13,8971.0,1913.0,1502.0,1300.0,5031.0,1003546.0,10460.0,1485.0
2020-05-14,10511.0,2337.0,1775.0,1427.0,6004.0,1000386.0,12272.0,1812.0
2020-05-15,12114.0,2761.0,2129.0,1715.0,6950.0,997838.0,14414.0,2142.0
2020-05-16,14185.0,3208.0,2474.0,2010.0,8144.0,993542.0,16854.0,2440.0
2020-05-17,16472.0,3699.0,2958.0,2378.0,9553.0,989157.0,19710.0,2856.0
2020-05-18,19111.0,4260.0,3438.0,2795.0,11268.0,982358.0,23070.0,3360.0
2020-05-19,22485.0,4892.0,4015.0,3251.0,13216.0,977283.0,26841.0,3771.0
2020-05-20,26020.0,5745.0,4713.0,3801.0,15352.0,968624.0,31307.0,4466.0
2020-05-21,29933.0,6705.0,5340.0,4308.0,18009.0,960167.0,36368.0,5061.0
2020-05-22,34413.0,7626.0,6243.0,5144.0,20793.0,950846.0,42252.0,5884.0
2020-05-23,39454.0,8765.0,7195.0,5880.0,24381.0,939416.0,49085.0,6833.0
2020-05-24,45438.0,9928.0,8359.0,6715.0,28452.0,925476.0,56725.0,7640.0
2020-05-25,52365.0,11637.0,9624.0,7727.0,33318.0,909989.0,65693.0,8968.0
2020-05-26,59551.0,13309.0,11012.0,8869.0,38558.0,894470.0,75844.0,10151.0
2020-05-27,67697.0,15292.0,12748.0,10361.0,44415.0,876239.0,87609.0,11765.0
2020-05-28,76571.0,17548.0,14487.0,11870.0,51419.0,854780.0,101024.0,13415.0
2020-05-29,86219.0,19773.0,16429.0,13843.0,59778.0,830665.0,115875.0,14851.0
2020-05-30,96685.0,22307.0,18438.0,15745.0,68960.0,803753.0,132928.0,17053.0
2020-05-31,107645.0,25195.0,21142.0,17586.0,79475.0,775230.0,152030.0,19102.0
2020-06-01,118859.0,28131.0,23790.0,20046.0,91534.0,743551.0,173192.0,21162.0
2020-06-02,130740.0,30787.0,26827.0,22592.0,105412.0,710087.0,196472.0,23280.0
2020-06-03,142266.0,34106.0,29480.0,25147.0,120374.0,674953.0,221789.0,25317.0
2020-06-04,153289.0,37061.0,32200.0,28104.0,137491.0,637730.0,249243.0,27454.0
2020-06-05,164019.0,40034.0,34957.0,30699.0,156467.0,599442.0,278390.0,29147.0
2020-06-06,172699.0,43081.0,38077.0,33597.0,176983.0,561620.0,309779.0,31389.0
2020-06-07,180373.0,45863.0,40872.0,36732.0,199380.0,522684.0,342635.0,32856.0
2020-06-08,187157.0,47630.0,43358.0,39364.0,224384.0,484275.0,376777.0,34142.0
2020-06-09,191700.0,49822.0,45849.0,41596.0,250293.0,446048.0,412292.0,35515.0
2020-06-10,193968.0,51173.0,48156.0,44247.0,278332.0,410362.0,448375.0,36083.0
2020-06-11,193525.0,52018.0,49818.0,46553.0,308163.0,375350.0,484825.0,36450.0
2020-06-12,192567.0,52271.0,50910.0,48346.0,338128.0,343842.0,520888.0,36063.0
2020-06-13,189244.0,52371.0,51737.0,49420.0,369737.0,314352.0,556902.0,36014.0
2020-06-14,183763.0,51424.0,51869.0,50521.0,403117.0,287525.0,591904.0,35002.0
2020-06-15,177610.0,49877.0,51137.0,51050.0,435449.0,262475.0,625801.0,33897.0
2020-06-16,169755.0,48730.0,50524.0,50474.0,468573.0,240136.0,658552.0,32751.0
2020-06-17,160984.0,47150.0,49151.0,49998.0,502313.0,219605.0,689818.0,31266.0
2020-06-18,151485.0,44810.0,46968.0,49223.0,534375.0,201235.0,719279.0,29461.0
2020-06-19,141999.0,42526.0,45534.0,47625.0,564371.0,186005.0,747120.0,27841.0
2020-06-20,131928.0,39916.0,43399.0,45921.0,595170.0,172373.0,773114.0,25994.0
2020-06-21,121791.0,37100.0,40993.0,44197.0,623426.0,160643.0,797047.0,23933.0
2020-06-22,111364.0,34515.0,38344.0,41810.0,651304.0,150494.0,819212.0,22165.0
2020-06-23,101870.0,31970.0,35954.0,39304.0,677503.0,140587.0,839493.0,20281.0
2020-06-24,92945.0,29554.0,33318.0,37070.0,701625.0,132241.0,858118.0,18625.0
2020-06-25,85048.0,26721.0,30941.0,34595.0,725740.0,125390.0,874976.0,16858.0
2020-06-26,77268.0,24602.0,28473.0,32019.0,746872.0,119662.0,890338.0,15362.0
2020-06-27,70321.0,22406.0,25976.0,29607.0,766463.0,114399.0,904342.0,14004.0
2020-06-28,63688.0,20481.0,23788.0,27018.0,783496.0,109399.0,917081.0,12739.0
2020-06-29,57543.0,18535.0,21778.0,24923.0,801485.0,105293.0,928555.0,11474.0
2020-06-30,51653.0,16743.0,19519.0,22731.0,816473.0,101266.0,938927.0,10372.0
2020-07-01,46259.0,14956.0,17527.0,20751.0,830908.0,98669.0,948135.0,9208.0
2020-07-02,41505.0,13505.0,15826.0,18872.0,843234.0,95903.0,956529.0,8394.0
2020-07-03,37120.0,12151.0,14410.0,16995.0,853925.0,93587.0,963968.0,7439.0
2020-07-04,33073.0,10910.0,12960.0,15439.0,864364.0,91205.0,970758.0,6790.0
2020-07-05,29489.0,9856.0,11684.0,13870.0,874279.0,89317.0,976810.0,6052.0
2020-07-06,26013.0,8748.0,10638.0,12392.0,883240.0,88044.0,982185.0,5375.0
