time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,969505.0,0.0,0.0
2020-03-07,2.0,2.0,2.0,0.0,0.0,971769.0,1.0,1.0
2020-03-08,1.0,0.0,3.0,0.0,0.0,978457.0,1.0,0.0
2020-03-09,0.0,0.0,0.0,3.0,0.0,985526.0,1.0,0.0
2020-03-10,2.0,0.0,0.0,1.0,1.0,991363.0,1.0,0.0
2020-03-11,3.0,0.0,0.0,2.0,1.0,996962.0,1.0,0.0
2020-03-12,5.0,1.0,0.0,1.0,2.0,1000528.0,3.0,2.0
2020-03-13,6.0,0.0,2.0,1.0,1.0,1005207.0,5.0,2.0
2020-03-14,5.0,1.0,1.0,1.0,4.0,1007857.0,6.0,1.0
2020-03-15,7.0,1.0,1.0,2.0,4.0,1007796.0,7.0,1.0
2020-03-16,4.0,1.0,3.0,2.0,3.0,1010283.0,10.0,3.0
2020-03-17,4.0,1.0,0.0,3.0,3.0,1010466.0,11.0,1.0
2020-03-18,4.0,1.0,0.0,0.0,4.0,1009614.0,11.0,0.0
2020-03-19,4.0,0.0,0.0,1.0,3.0,1010361.0,11.0,0.0
2020-03-20,6.0,0.0,0.0,1.0,3.0,1011223.0,11.0,0.0
2020-03-21,6.0,1.0,0.0,1.0,5.0,1013035.0,12.0,1.0
2020-03-22,8.0,0.0,2.0,2.0,4.0,1013340.0,13.0,1.0
2020-03-23,11.0,2.0,1.0,2.0,4.0,1013269.0,15.0,2.0
2020-03-24,8.0,2.0,1.0,2.0,5.0,1013578.0,16.0,1.0
2020-03-25,9.0,1.0,2.0,0.0,6.0,1013236.0,16.0,0.0
2020-03-26,9.0,1.0,1.0,3.0,6.0,1014019.0,17.0,1.0
2020-03-27,12.0,1.0,1.0,3.0,6.0,1014344.0,18.0,1.0
2020-03-28,12.0,1.0,2.0,3.0,5.0,1014993.0,19.0,1.0
2020-03-29,10.0,4.0,1.0,3.0,3.0,1014832.0,23.0,4.0
2020-03-30,13.0,4.0,1.0,2.0,6.0,1014326.0,25.0,2.0
2020-03-31,16.0,1.0,3.0,1.0,6.0,1014519.0,26.0,1.0
2020-04-01,16.0,4.0,2.0,4.0,7.0,1013678.0,29.0,3.0
2020-04-02,16.0,5.0,4.0,1.0,9.0,1013879.0,32.0,3.0
2020-04-03,19.0,5.0,4.0,1.0,13.0,1013711.0,37.0,5.0
2020-04-04,28.0,1.0,2.0,5.0,14.0,1015816.0,38.0,1.0
2020-04-05,32.0,11.0,4.0,6.0,17.0,1016871.0,48.0,10.0
2020-04-06,42.0,8.0,6.0,6.0,21.0,1016183.0,53.0,5.0
2020-04-07,51.0,10.0,11.0,5.0,24.0,1016815.0,64.0,11.0
2020-04-08,54.0,8.0,15.0,3.0,29.0,1018813.0,72.0,8.0
2020-04-09,46.0,13.0,18.0,2.0,36.0,1019568.0,86.0,14.0
2020-04-10,57.0,17.0,12.0,12.0,37.0,1019307.0,99.0,13.0
2020-04-11,70.0,14.0,10.0,13.0,38.0,1018631.0,108.0,9.0
2020-04-12,77.0,19.0,22.0,11.0,47.0,1018162.0,125.0,17.0
2020-04-13,105.0,19.0,28.0,13.0,59.0,1019533.0,135.0,10.0
2020-04-14,120.0,31.0,22.0,15.0,60.0,1018651.0,157.0,22.0
2020-04-15,133.0,49.0,18.0,17.0,67.0,1018611.0,194.0,37.0
2020-04-16,167.0,50.0,35.0,28.0,82.0,1017836.0,224.0,30.0
2020-04-17,235.0,47.0,43.0,30.0,105.0,1018071.0,259.0,35.0
2020-04-18,272.0,55.0,38.0,48.0,133.0,1018308.0,299.0,40.0
2020-04-19,307.0,71.0,50.0,48.0,168.0,1019178.0,353.0,54.0
2020-04-20,338.0,65.0,66.0,54.0,190.0,1019741.0,409.0,56.0
2020-04-21,395.0,83.0,68.0,59.0,218.0,1019628.0,473.0,64.0
2020-04-22,477.0,98.0,77.0,59.0,250.0,1018881.0,545.0,72.0
2020-04-23,502.0,131.0,88.0,70.0,294.0,1018939.0,652.0,107.0
2020-04-24,636.0,149.0,117.0,75.0,338.0,1018972.0,768.0,116.0
2020-04-25,714.0,165.0,128.0,86.0,392.0,1019219.0,882.0,114.0
2020-04-26,850.0,192.0,139.0,126.0,451.0,1019445.0,1027.0,145.0
2020-04-27,1034.0,229.0,171.0,133.0,546.0,1018739.0,1205.0,178.0
2020-04-28,1160.0,246.0,215.0,163.0,623.0,1018582.0,1394.0,189.0
2020-04-29,1342.0,271.0,235.0,193.0,739.0,1018167.0,1608.0,214.0
2020-04-30,1566.0,307.0,236.0,219.0,883.0,1018195.0,1859.0,251.0
2020-05-01,1777.0,397.0,309.0,211.0,1057.0,1017225.0,2184.0,325.0
2020-05-02,2071.0,444.0,344.0,266.0,1237.0,1015853.0,2514.0,330.0
2020-05-03,2381.0,540.0,407.0,319.0,1392.0,1014338.0,2913.0,399.0
2020-05-04,2812.0,638.0,476.0,421.0,1632.0,1014884.0,3421.0,508.0
2020-05-05,3282.0,755.0,542.0,501.0,1962.0,1014610.0,3989.0,568.0
2020-05-06,3830.0,821.0,671.0,525.0,2218.0,1014129.0,4609.0,620.0
2020-05-07,4491.0,974.0,769.0,699.0,2602.0,1013605.0,5396.0,787.0
2020-05-08,5333.0,1165.0,953.0,749.0,3019.0,1011497.0,6327.0,931.0
2020-05-09,6165.0,1415.0,1110.0,901.0,3546.0,1009268.0,7425.0,1098.0
2020-05-10,7224.0,1554.0,1296.0,1059.0,4120.0,1008002.0,8617.0,1192.0
2020-05-11,8549.0,1800.0,1461.0,1247.0,4804.0,1005592.0,10024.0,1407.0
2020-05-12,9680.0,2144.0,1746.0,1433.0,5689.0,1002694.0,11735.0,1711.0
2020-05-13,11363.0,2534.0,1960.0,1683.0,6685.0,999111.0,13613.0,1878.0
