time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,0.0,0.0,0.0,970301.0,0.0,0.0
2020-03-07,0.0,0.0,1.0,0.0,0.0,972916.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,0.0,1.0,980434.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,0.0,1.0,987628.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,0.0,2.0,993906.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,1.0,998079.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,0.0,1001353.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,0.0,1003573.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,0.0,1004524.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,0.0,1006056.0,0.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,0.0,1008742.0,0.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,1.0,1010567.0,0.0,0.0
2020-03-18,0.0,0.0,0.0,0.0,1.0,1010004.0,0.0,0.0
2020-03-19,0.0,0.0,0.0,0.0,3.0,1012426.0,0.0,0.0
2020-03-20,0.0,0.0,0.0,0.0,1.0,1012955.0,0.0,0.0
2020-03-21,0.0,0.0,0.0,0.0,1.0,1013712.0,0.0,0.0
2020-03-22,0.0,0.0,0.0,0.0,0.0,1015414.0,0.0,0.0
2020-03-23,1.0,0.0,0.0,0.0,1.0,1015561.0,0.0,0.0
2020-03-24,1.0,0.0,0.0,0.0,2.0,1015707.0,0.0,0.0
2020-03-25,1.0,1.0,2.0,0.0,2.0,1014185.0,1.0,1.0
2020-03-26,5.0,1.0,1.0,1.0,2.0,1014743.0,1.0,0.0
2020-03-27,3.0,0.0,1.0,0.0,2.0,1013386.0,1.0,0.0
2020-03-28,3.0,0.0,0.0,0.0,1.0,1013950.0,1.0,0.0
2020-03-29,5.0,0.0,0.0,0.0,3.0,1014698.0,1.0,0.0
2020-03-30,6.0,1.0,2.0,0.0,2.0,1015529.0,4.0,3.0
2020-03-31,5.0,1.0,3.0,0.0,3.0,1016076.0,5.0,1.0
2020-04-01,7.0,0.0,3.0,2.0,2.0,1016016.0,6.0,1.0
2020-04-02,15.0,2.0,1.0,3.0,5.0,1016248.0,7.0,1.0
2020-04-03,13.0,2.0,1.0,0.0,7.0,1017165.0,9.0,2.0
2020-04-04,16.0,2.0,0.0,1.0,5.0,1017505.0,9.0,0.0
2020-04-05,10.0,1.0,1.0,0.0,6.0,1018677.0,10.0,1.0
2020-04-06,7.0,4.0,2.0,0.0,7.0,1017557.0,14.0,4.0
2020-04-07,15.0,3.0,1.0,1.0,10.0,1016251.0,17.0,3.0
2020-04-08,17.0,2.0,0.0,4.0,9.0,1016379.0,19.0,2.0
2020-04-09,16.0,9.0,1.0,2.0,9.0,1016657.0,23.0,4.0
2020-04-10,23.0,5.0,3.0,1.0,7.0,1017448.0,26.0,3.0
2020-04-11,25.0,8.0,2.0,2.0,11.0,1018050.0,31.0,5.0
2020-04-12,33.0,6.0,5.0,3.0,17.0,1018717.0,37.0,6.0
2020-04-13,39.0,10.0,4.0,2.0,21.0,1018488.0,40.0,3.0
2020-04-14,47.0,10.0,4.0,7.0,24.0,1019826.0,46.0,6.0
2020-04-15,52.0,8.0,8.0,4.0,26.0,1020320.0,54.0,8.0
2020-04-16,59.0,14.0,8.0,7.0,40.0,1019684.0,67.0,13.0
2020-04-17,73.0,14.0,10.0,9.0,45.0,1019993.0,80.0,13.0
2020-04-18,89.0,20.0,14.0,9.0,46.0,1019856.0,91.0,11.0
2020-04-19,91.0,28.0,13.0,17.0,59.0,1019376.0,112.0,21.0
2020-04-20,114.0,36.0,24.0,24.0,78.0,1020352.0,137.0,25.0
2020-04-21,136.0,30.0,33.0,26.0,88.0,1020535.0,162.0,25.0
2020-04-22,170.0,27.0,42.0,24.0,112.0,1021296.0,188.0,26.0
