time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970473.0,0.0,0.0
2020-03-07,2.0,0.0,2.0,0.0,1.0,972380.0,0.0,0.0
2020-03-08,3.0,0.0,0.0,1.0,0.0,979665.0,0.0,0.0
2020-03-09,2.0,0.0,0.0,0.0,0.0,986185.0,0.0,0.0
2020-03-10,1.0,1.0,0.0,0.0,0.0,991251.0,1.0,1.0
2020-03-11,1.0,0.0,0.0,0.0,0.0,996793.0,1.0,0.0
2020-03-12,1.0,0.0,0.0,0.0,0.0,1000410.0,1.0,0.0
2020-03-13,1.0,0.0,0.0,0.0,0.0,1003800.0,1.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,0.0,1005852.0,1.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,0.0,1008125.0,1.0,0.0
2020-03-16,1.0,0.0,0.0,0.0,0.0,1008572.0,1.0,0.0
2020-03-17,1.0,0.0,0.0,0.0,0.0,1009560.0,1.0,0.0
2020-03-18,1.0,0.0,0.0,0.0,3.0,1011282.0,1.0,0.0
2020-03-19,1.0,0.0,0.0,0.0,0.0,1012282.0,1.0,0.0
2020-03-20,2.0,1.0,1.0,0.0,0.0,1012021.0,1.0,0.0
2020-03-21,3.0,0.0,1.0,1.0,0.0,1012520.0,1.0,0.0
2020-03-22,5.0,0.0,0.0,0.0,2.0,1013050.0,1.0,0.0
2020-03-23,4.0,2.0,0.0,0.0,1.0,1013779.0,3.0,2.0
2020-03-24,4.0,0.0,0.0,0.0,0.0,1014212.0,3.0,0.0
2020-03-25,2.0,0.0,0.0,0.0,2.0,1014338.0,3.0,0.0
2020-03-26,1.0,1.0,1.0,0.0,3.0,1015606.0,4.0,1.0
2020-03-27,3.0,2.0,0.0,0.0,1.0,1015447.0,5.0,1.0
2020-03-28,3.0,0.0,1.0,1.0,1.0,1014614.0,5.0,0.0
2020-03-29,3.0,0.0,0.0,2.0,2.0,1014948.0,5.0,0.0
2020-03-30,3.0,1.0,1.0,1.0,1.0,1014822.0,6.0,1.0
2020-03-31,2.0,1.0,0.0,2.0,0.0,1014904.0,7.0,1.0
2020-04-01,6.0,1.0,0.0,1.0,2.0,1016116.0,7.0,0.0
2020-04-02,2.0,1.0,0.0,0.0,3.0,1015577.0,8.0,1.0
2020-04-03,7.0,2.0,0.0,0.0,6.0,1015891.0,9.0,1.0
2020-04-04,10.0,2.0,1.0,1.0,5.0,1016714.0,10.0,1.0
2020-04-05,11.0,2.0,1.0,0.0,6.0,1017687.0,10.0,0.0
2020-04-06,12.0,5.0,2.0,1.0,10.0,1017828.0,12.0,2.0
2020-04-07,18.0,4.0,6.0,1.0,10.0,1018593.0,14.0,2.0
2020-04-08,20.0,2.0,4.0,2.0,8.0,1019358.0,14.0,0.0
2020-04-09,18.0,4.0,8.0,6.0,7.0,1019205.0,21.0,7.0
2020-04-10,26.0,6.0,2.0,5.0,12.0,1019096.0,23.0,2.0
2020-04-11,28.0,4.0,2.0,2.0,13.0,1020865.0,27.0,4.0
2020-04-12,30.0,5.0,5.0,3.0,10.0,1020354.0,28.0,1.0
2020-04-13,32.0,11.0,4.0,4.0,9.0,1019293.0,38.0,10.0
2020-04-14,31.0,8.0,8.0,7.0,16.0,1020629.0,45.0,7.0
2020-04-15,47.0,10.0,15.0,5.0,22.0,1019184.0,58.0,13.0
2020-04-16,61.0,10.0,8.0,11.0,21.0,1018843.0,65.0,7.0
2020-04-17,63.0,14.0,13.0,9.0,28.0,1019720.0,74.0,9.0
2020-04-18,78.0,19.0,11.0,11.0,42.0,1019501.0,90.0,16.0
2020-04-19,84.0,26.0,23.0,11.0,49.0,1020383.0,114.0,24.0
2020-04-20,99.0,24.0,25.0,11.0,54.0,1020259.0,128.0,14.0
2020-04-21,117.0,21.0,40.0,14.0,64.0,1020172.0,149.0,21.0
2020-04-22,157.0,25.0,30.0,28.0,75.0,1019885.0,167.0,18.0
2020-04-23,178.0,42.0,29.0,22.0,97.0,1020472.0,204.0,37.0
2020-04-24,204.0,54.0,31.0,39.0,108.0,1021648.0,246.0,42.0
2020-04-25,230.0,49.0,33.0,40.0,144.0,1021456.0,278.0,32.0
2020-04-26,259.0,63.0,37.0,35.0,161.0,1021467.0,327.0,49.0
2020-04-27,303.0,74.0,50.0,41.0,194.0,1021883.0,382.0,55.0
2020-04-28,354.0,78.0,46.0,52.0,209.0,1021459.0,433.0,51.0
2020-04-29,415.0,103.0,77.0,56.0,261.0,1022168.0,509.0,76.0
2020-04-30,515.0,115.0,101.0,70.0,310.0,1022354.0,605.0,96.0
2020-05-01,610.0,118.0,107.0,74.0,381.0,1022901.0,702.0,97.0
2020-05-02,697.0,155.0,122.0,103.0,448.0,1022617.0,826.0,124.0
2020-05-03,866.0,152.0,160.0,130.0,492.0,1022070.0,944.0,118.0
2020-05-04,1022.0,210.0,187.0,163.0,576.0,1021157.0,1120.0,176.0
2020-05-05,1198.0,273.0,214.0,178.0,650.0,1022367.0,1332.0,212.0
2020-05-06,1422.0,295.0,255.0,193.0,801.0,1022350.0,1569.0,237.0
2020-05-07,1712.0,347.0,282.0,225.0,930.0,1019323.0,1839.0,270.0
2020-05-08,1999.0,410.0,309.0,272.0,1096.0,1018718.0,2185.0,346.0
2020-05-09,2220.0,504.0,359.0,308.0,1283.0,1019630.0,2590.0,405.0
2020-05-10,2605.0,599.0,430.0,340.0,1475.0,1018451.0,3051.0,461.0
2020-05-11,3061.0,699.0,557.0,410.0,1703.0,1017556.0,3602.0,551.0
2020-05-12,3642.0,822.0,625.0,516.0,1948.0,1016776.0,4260.0,658.0
2020-05-13,4263.0,977.0,685.0,623.0,2350.0,1015830.0,4980.0,720.0
2020-05-14,4997.0,1124.0,825.0,710.0,2843.0,1013786.0,5816.0,836.0
2020-05-15,5758.0,1297.0,1018.0,859.0,3278.0,1012991.0,6821.0,1005.0
2020-05-16,6824.0,1423.0,1241.0,1024.0,3895.0,1010028.0,7916.0,1095.0
2020-05-17,8030.0,1770.0,1393.0,1178.0,4487.0,1009112.0,9300.0,1384.0
2020-05-18,9359.0,2014.0,1642.0,1358.0,5262.0,1005971.0,10861.0,1561.0
2020-05-19,10809.0,2401.0,1950.0,1525.0,6219.0,1001706.0,12757.0,1896.0
2020-05-20,12458.0,2715.0,2264.0,1824.0,7326.0,996644.0,14922.0,2165.0
2020-05-21,14340.0,3143.0,2532.0,2123.0,8521.0,991687.0,17346.0,2424.0
2020-05-22,16705.0,3728.0,2972.0,2370.0,9973.0,986207.0,20189.0,2843.0
2020-05-23,19374.0,4372.0,3539.0,2750.0,11602.0,981329.0,23601.0,3412.0
2020-05-24,22683.0,4986.0,4154.0,3244.0,13490.0,975002.0,27408.0,3807.0
2020-05-25,26439.0,5837.0,4853.0,3695.0,15971.0,967542.0,31890.0,4482.0
2020-05-26,30527.0,6822.0,5525.0,4481.0,18646.0,958755.0,37188.0,5298.0
2020-05-27,35201.0,7744.0,6484.0,5219.0,21651.0,948789.0,43196.0,6008.0
2020-05-28,40351.0,9057.0,7362.0,6029.0,25103.0,937763.0,50181.0,6985.0
2020-05-29,46520.0,10438.0,8597.0,6881.0,29238.0,924879.0,58327.0,8146.0
2020-05-30,53256.0,12078.0,9814.0,8029.0,33953.0,909848.0,67690.0,9363.0
2020-05-31,60729.0,13682.0,11237.0,9202.0,39168.0,891413.0,78150.0,10460.0
2020-06-01,69246.0,15411.0,12774.0,10659.0,45575.0,871925.0,89848.0,11698.0
