time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,969918.0,0.0,0.0
2020-03-07,2.0,1.0,1.0,1.0,0.0,972836.0,0.0,0.0
2020-03-08,3.0,0.0,1.0,0.0,0.0,980600.0,0.0,0.0
2020-03-09,4.0,0.0,1.0,0.0,0.0,987071.0,0.0,0.0
2020-03-10,1.0,2.0,0.0,1.0,0.0,992599.0,2.0,2.0
2020-03-11,5.0,1.0,1.0,0.0,0.0,995466.0,2.0,0.0
2020-03-12,5.0,2.0,0.0,0.0,1.0,1000599.0,3.0,1.0
2020-03-13,1.0,1.0,1.0,0.0,1.0,1002967.0,5.0,2.0
2020-03-14,3.0,2.0,3.0,0.0,1.0,1004418.0,7.0,2.0
2020-03-15,6.0,2.0,1.0,1.0,0.0,1005741.0,9.0,2.0
2020-03-16,6.0,1.0,2.0,1.0,1.0,1007547.0,10.0,1.0
2020-03-17,10.0,4.0,1.0,1.0,2.0,1007590.0,12.0,2.0
2020-03-18,10.0,3.0,0.0,0.0,4.0,1009240.0,14.0,2.0
2020-03-19,10.0,1.0,2.0,2.0,2.0,1009902.0,14.0,0.0
2020-03-20,14.0,6.0,1.0,3.0,6.0,1012132.0,17.0,3.0
2020-03-21,14.0,5.0,1.0,1.0,5.0,1011771.0,19.0,2.0
2020-03-22,13.0,4.0,1.0,1.0,3.0,1011968.0,21.0,2.0
2020-03-23,11.0,6.0,1.0,1.0,5.0,1013338.0,25.0,4.0
2020-03-24,15.0,6.0,2.0,1.0,5.0,1015111.0,30.0,5.0
2020-03-25,16.0,4.0,4.0,1.0,7.0,1014493.0,32.0,2.0
2020-03-26,21.0,7.0,4.0,3.0,10.0,1015977.0,36.0,4.0
2020-03-27,15.0,9.0,1.0,2.0,12.0,1015701.0,42.0,6.0
2020-03-28,21.0,6.0,4.0,3.0,12.0,1016170.0,45.0,3.0
2020-03-29,31.0,5.0,3.0,6.0,14.0,1015192.0,49.0,4.0
2020-03-30,35.0,6.0,4.0,5.0,15.0,1015052.0,56.0,7.0
2020-03-31,39.0,10.0,10.0,1.0,24.0,1015051.0,64.0,8.0
