time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,3.0,0.0,0.0,0.0,970102.0,0.0,0.0
2020-03-07,2.0,1.0,1.0,0.0,0.0,971860.0,0.0,0.0
2020-03-08,2.0,0.0,0.0,0.0,0.0,980031.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,0.0,0.0,985845.0,0.0,0.0
2020-03-10,2.0,0.0,0.0,0.0,1.0,992140.0,0.0,0.0
2020-03-11,2.0,0.0,0.0,0.0,1.0,996359.0,0.0,0.0
2020-03-12,2.0,0.0,0.0,0.0,1.0,999231.0,0.0,0.0
2020-03-13,1.0,1.0,0.0,0.0,0.0,1003568.0,1.0,1.0
2020-03-14,2.0,1.0,0.0,0.0,0.0,1005191.0,1.0,0.0
2020-03-15,1.0,0.0,1.0,0.0,0.0,1006780.0,1.0,0.0
2020-03-16,3.0,0.0,0.0,0.0,0.0,1008698.0,1.0,0.0
2020-03-17,3.0,1.0,0.0,0.0,0.0,1009817.0,2.0,1.0
2020-03-18,1.0,0.0,0.0,1.0,0.0,1011152.0,2.0,0.0
2020-03-19,1.0,0.0,0.0,1.0,1.0,1012737.0,2.0,0.0
2020-03-20,1.0,0.0,0.0,2.0,2.0,1012949.0,2.0,0.0
2020-03-21,3.0,0.0,0.0,1.0,1.0,1012708.0,2.0,0.0
2020-03-22,4.0,0.0,0.0,1.0,3.0,1014144.0,2.0,0.0
2020-03-23,4.0,1.0,1.0,0.0,4.0,1013502.0,3.0,1.0
2020-03-24,5.0,3.0,1.0,0.0,5.0,1014356.0,4.0,1.0
2020-03-25,8.0,1.0,3.0,0.0,5.0,1014397.0,5.0,1.0
2020-03-26,8.0,0.0,1.0,0.0,6.0,1015353.0,5.0,0.0
2020-03-27,11.0,3.0,2.0,0.0,4.0,1015579.0,8.0,3.0
2020-03-28,13.0,6.0,2.0,0.0,2.0,1015335.0,12.0,4.0
2020-03-29,17.0,6.0,2.0,1.0,1.0,1014610.0,14.0,2.0
2020-03-30,22.0,7.0,1.0,3.0,3.0,1014599.0,18.0,4.0
2020-03-31,26.0,7.0,5.0,2.0,4.0,1015006.0,22.0,4.0
2020-04-01,27.0,6.0,6.0,6.0,5.0,1015142.0,27.0,5.0
2020-04-02,30.0,9.0,5.0,4.0,10.0,1016043.0,33.0,6.0
2020-04-03,34.0,10.0,4.0,3.0,13.0,1017156.0,38.0,5.0
2020-04-04,36.0,15.0,6.0,3.0,17.0,1016306.0,50.0,12.0
2020-04-05,38.0,15.0,10.0,3.0,20.0,1017349.0,59.0,9.0
2020-04-06,45.0,13.0,2.0,8.0,21.0,1016472.0,63.0,4.0
2020-04-07,57.0,15.0,6.0,9.0,28.0,1018115.0,71.0,8.0
2020-04-08,76.0,10.0,11.0,7.0,36.0,1018866.0,78.0,7.0
2020-04-09,72.0,13.0,13.0,14.0,40.0,1017869.0,90.0,12.0
2020-04-10,97.0,14.0,8.0,14.0,49.0,1019011.0,97.0,7.0
2020-04-11,95.0,24.0,11.0,16.0,64.0,1019115.0,118.0,21.0
