time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,970075.0,0.0,0.0
2020-03-07,3.0,0.0,1.0,2.0,0.0,973488.0,0.0,0.0
2020-03-08,3.0,0.0,0.0,1.0,1.0,979867.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,0.0,1.0,987244.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,0.0,0.0,993009.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,1.0,0.0,998168.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,1.0,0.0,1002620.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,1.0,1005588.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,1.0,1007685.0,0.0,0.0
2020-03-15,1.0,0.0,0.0,0.0,0.0,1008773.0,0.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,0.0,1010003.0,0.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,0.0,1009822.0,0.0,0.0
2020-03-18,0.0,0.0,0.0,0.0,0.0,1010692.0,0.0,0.0
2020-03-19,0.0,0.0,0.0,0.0,0.0,1010847.0,0.0,0.0
2020-03-20,0.0,0.0,0.0,0.0,0.0,1011691.0,0.0,0.0
2020-03-21,1.0,0.0,0.0,0.0,0.0,1011215.0,0.0,0.0
2020-03-22,1.0,0.0,0.0,0.0,1.0,1012964.0,0.0,0.0
2020-03-23,1.0,0.0,0.0,0.0,1.0,1012903.0,0.0,0.0
2020-03-24,1.0,0.0,0.0,0.0,0.0,1012766.0,0.0,0.0
2020-03-25,1.0,0.0,0.0,0.0,0.0,1013941.0,0.0,0.0
2020-03-26,1.0,0.0,0.0,0.0,1.0,1014694.0,0.0,0.0
2020-03-27,1.0,0.0,0.0,0.0,0.0,1013766.0,0.0,0.0
2020-03-28,2.0,1.0,0.0,0.0,0.0,1014057.0,0.0,0.0
2020-03-29,2.0,0.0,0.0,1.0,0.0,1013667.0,0.0,0.0
2020-03-30,3.0,1.0,0.0,0.0,2.0,1014296.0,0.0,0.0
2020-03-31,1.0,0.0,1.0,0.0,2.0,1014637.0,0.0,0.0
2020-04-01,1.0,4.0,0.0,1.0,1.0,1015836.0,3.0,3.0
2020-04-02,3.0,1.0,2.0,0.0,1.0,1016932.0,3.0,0.0
2020-04-03,4.0,2.0,1.0,1.0,1.0,1016733.0,4.0,1.0
2020-04-04,9.0,2.0,2.0,1.0,5.0,1016840.0,6.0,2.0
2020-04-05,14.0,5.0,3.0,2.0,8.0,1016935.0,10.0,4.0
2020-04-06,22.0,3.0,2.0,1.0,9.0,1016317.0,11.0,1.0
2020-04-07,20.0,2.0,2.0,2.0,6.0,1016394.0,14.0,3.0
2020-04-08,16.0,5.0,4.0,4.0,8.0,1016859.0,16.0,2.0
2020-04-09,26.0,2.0,5.0,3.0,11.0,1017393.0,17.0,1.0
2020-04-10,27.0,2.0,8.0,4.0,14.0,1018753.0,18.0,1.0
2020-04-11,43.0,7.0,4.0,5.0,17.0,1019356.0,22.0,4.0
2020-04-12,40.0,6.0,2.0,3.0,21.0,1018657.0,27.0,5.0
2020-04-13,44.0,8.0,3.0,4.0,27.0,1018823.0,31.0,4.0
2020-04-14,60.0,13.0,9.0,7.0,28.0,1020651.0,46.0,15.0
2020-04-15,57.0,12.0,8.0,10.0,30.0,1020940.0,59.0,13.0
2020-04-16,61.0,12.0,8.0,8.0,42.0,1019629.0,68.0,9.0
2020-04-17,69.0,8.0,14.0,8.0,43.0,1018997.0,75.0,7.0
2020-04-18,84.0,16.0,16.0,7.0,48.0,1018883.0,88.0,13.0
2020-04-19,106.0,24.0,18.0,11.0,49.0,1019336.0,100.0,12.0
2020-04-20,135.0,37.0,17.0,13.0,71.0,1020242.0,121.0,21.0
2020-04-21,170.0,38.0,23.0,21.0,79.0,1020580.0,152.0,31.0
2020-04-22,176.0,41.0,34.0,14.0,91.0,1019786.0,190.0,38.0
2020-04-23,217.0,41.0,31.0,32.0,131.0,1020482.0,217.0,27.0
2020-04-24,254.0,58.0,47.0,31.0,131.0,1022184.0,265.0,48.0
2020-04-25,295.0,65.0,53.0,43.0,165.0,1022047.0,327.0,62.0
2020-04-26,339.0,86.0,60.0,56.0,189.0,1020935.0,390.0,63.0
2020-04-27,422.0,94.0,91.0,58.0,226.0,1020944.0,468.0,78.0
2020-04-28,479.0,96.0,84.0,73.0,256.0,1020961.0,550.0,82.0
2020-04-29,540.0,110.0,99.0,69.0,281.0,1020358.0,643.0,93.0
2020-04-30,657.0,132.0,111.0,99.0,320.0,1020090.0,739.0,96.0
2020-05-01,804.0,165.0,134.0,109.0,404.0,1020988.0,871.0,132.0
2020-05-02,985.0,212.0,162.0,119.0,484.0,1019908.0,1030.0,159.0
2020-05-03,1156.0,217.0,195.0,149.0,576.0,1020781.0,1209.0,179.0
2020-05-04,1321.0,259.0,231.0,178.0,680.0,1020510.0,1421.0,212.0
2020-05-05,1473.0,308.0,272.0,192.0,786.0,1021047.0,1683.0,262.0
2020-05-06,1675.0,369.0,280.0,239.0,940.0,1020474.0,1971.0,288.0
2020-05-07,1987.0,441.0,319.0,279.0,1135.0,1020585.0,2299.0,328.0
2020-05-08,2293.0,514.0,403.0,306.0,1333.0,1019443.0,2704.0,405.0
2020-05-09,2632.0,571.0,491.0,357.0,1482.0,1017642.0,3135.0,431.0
2020-05-10,3093.0,679.0,563.0,439.0,1730.0,1016167.0,3661.0,526.0
2020-05-11,3684.0,821.0,659.0,495.0,2047.0,1015496.0,4299.0,638.0
2020-05-12,4228.0,940.0,763.0,604.0,2379.0,1014636.0,5021.0,722.0
2020-05-13,4953.0,1058.0,878.0,671.0,2847.0,1013065.0,5815.0,794.0
2020-05-14,5780.0,1255.0,1004.0,803.0,3262.0,1011958.0,6767.0,952.0
2020-05-15,6755.0,1514.0,1119.0,926.0,3822.0,1009895.0,7943.0,1176.0
2020-05-16,7922.0,1698.0,1321.0,1104.0,4533.0,1007626.0,9282.0,1339.0
2020-05-17,9174.0,2017.0,1587.0,1305.0,5322.0,1005093.0,10807.0,1525.0
