time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,969671.0,0.0,0.0
2020-03-07,0.0,2.0,0.0,0.0,0.0,971541.0,0.0,0.0
2020-03-08,0.0,0.0,1.0,0.0,0.0,978944.0,0.0,0.0
2020-03-09,3.0,1.0,1.0,0.0,0.0,986104.0,0.0,0.0
2020-03-10,2.0,1.0,1.0,0.0,0.0,991629.0,1.0,1.0
2020-03-11,2.0,0.0,2.0,0.0,0.0,995153.0,1.0,0.0
2020-03-12,1.0,0.0,1.0,0.0,0.0,999070.0,1.0,0.0
2020-03-13,1.0,0.0,0.0,0.0,1.0,1001622.0,1.0,0.0
2020-03-14,1.0,0.0,0.0,0.0,2.0,1003678.0,1.0,0.0
2020-03-15,2.0,0.0,0.0,0.0,1.0,1005874.0,1.0,0.0
2020-03-16,2.0,0.0,0.0,0.0,1.0,1007732.0,1.0,0.0
2020-03-17,2.0,0.0,0.0,0.0,2.0,1010190.0,1.0,0.0
2020-03-18,3.0,0.0,0.0,0.0,2.0,1011226.0,2.0,1.0
2020-03-19,3.0,1.0,1.0,0.0,2.0,1011500.0,3.0,1.0
2020-03-20,2.0,1.0,1.0,0.0,1.0,1011357.0,4.0,1.0
2020-03-21,6.0,0.0,0.0,2.0,2.0,1011137.0,4.0,0.0
2020-03-22,6.0,0.0,0.0,1.0,2.0,1011744.0,4.0,0.0
2020-03-23,5.0,0.0,0.0,0.0,1.0,1012981.0,4.0,0.0
2020-03-24,2.0,2.0,0.0,0.0,2.0,1013776.0,6.0,2.0
2020-03-25,2.0,1.0,1.0,0.0,3.0,1014484.0,6.0,0.0
2020-03-26,3.0,1.0,1.0,1.0,3.0,1015500.0,7.0,1.0
2020-03-27,4.0,0.0,0.0,1.0,3.0,1015865.0,7.0,0.0
2020-03-28,5.0,0.0,0.0,1.0,6.0,1015247.0,7.0,0.0
2020-03-29,6.0,0.0,0.0,0.0,3.0,1015243.0,7.0,0.0
