time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970151.0,0.0,0.0
2020-03-07,0.0,1.0,1.0,0.0,0.0,973028.0,0.0,0.0
2020-03-08,1.0,0.0,1.0,0.0,1.0,979073.0,0.0,0.0
2020-03-09,2.0,0.0,0.0,0.0,1.0,986945.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,1.0,993053.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,1.0,996632.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,0.0,1000941.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,0.0,1003128.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,0.0,1005578.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,0.0,1008959.0,0.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,0.0,1008717.0,0.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,0.0,1010385.0,0.0,0.0
2020-03-18,0.0,0.0,0.0,0.0,0.0,1011438.0,0.0,0.0
2020-03-19,0.0,0.0,0.0,0.0,0.0,1012148.0,0.0,0.0
2020-03-20,0.0,0.0,0.0,0.0,0.0,1012635.0,0.0,0.0
2020-03-21,0.0,0.0,0.0,0.0,0.0,1012725.0,0.0,0.0
2020-03-22,0.0,0.0,0.0,0.0,0.0,1012035.0,0.0,0.0
2020-03-23,0.0,0.0,0.0,0.0,1.0,1012874.0,0.0,0.0
2020-03-24,0.0,0.0,0.0,0.0,1.0,1012868.0,0.0,0.0
2020-03-25,0.0,0.0,0.0,0.0,2.0,1013524.0,0.0,0.0
2020-03-26,0.0,0.0,0.0,0.0,1.0,1014120.0,0.0,0.0
2020-03-27,0.0,0.0,0.0,0.0,1.0,1013986.0,0.0,0.0
2020-03-28,1.0,0.0,0.0,0.0,1.0,1016025.0,0.0,0.0
2020-03-29,1.0,0.0,0.0,0.0,1.0,1016171.0,0.0,0.0
2020-03-30,1.0,0.0,0.0,0.0,0.0,1016060.0,0.0,0.0
2020-03-31,1.0,1.0,0.0,0.0,1.0,1015761.0,1.0,1.0
2020-04-01,3.0,0.0,1.0,0.0,1.0,1017461.0,1.0,0.0
2020-04-02,1.0,0.0,0.0,0.0,2.0,1017082.0,1.0,0.0
2020-04-03,2.0,0.0,0.0,0.0,2.0,1016972.0,1.0,0.0
2020-04-04,2.0,0.0,0.0,0.0,2.0,1016305.0,1.0,0.0
2020-04-05,2.0,0.0,0.0,0.0,1.0,1016993.0,1.0,0.0
