time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,970331.0,0.0,0.0
2020-03-07,2.0,1.0,1.0,0.0,1.0,972726.0,0.0,0.0
2020-03-08,1.0,1.0,0.0,0.0,1.0,981260.0,0.0,0.0
2020-03-09,1.0,0.0,1.0,0.0,0.0,987073.0,0.0,0.0
2020-03-10,0.0,1.0,0.0,0.0,0.0,992730.0,1.0,1.0
2020-03-11,1.0,1.0,0.0,0.0,0.0,997225.0,1.0,0.0
2020-03-12,2.0,1.0,1.0,0.0,1.0,1001378.0,2.0,1.0
2020-03-13,3.0,1.0,0.0,0.0,1.0,1003592.0,2.0,0.0
2020-03-14,1.0,1.0,0.0,0.0,0.0,1005359.0,2.0,0.0
2020-03-15,1.0,1.0,1.0,0.0,0.0,1007313.0,2.0,0.0
2020-03-16,0.0,1.0,1.0,0.0,1.0,1008440.0,3.0,1.0
2020-03-17,2.0,1.0,0.0,0.0,0.0,1009201.0,4.0,1.0
2020-03-18,3.0,1.0,0.0,0.0,0.0,1010490.0,4.0,0.0
2020-03-19,2.0,1.0,0.0,1.0,0.0,1011207.0,5.0,1.0
2020-03-20,6.0,0.0,2.0,1.0,1.0,1012406.0,5.0,0.0
2020-03-21,7.0,1.0,0.0,2.0,1.0,1013280.0,6.0,1.0
2020-03-22,5.0,2.0,0.0,1.0,2.0,1014632.0,7.0,1.0
2020-03-23,4.0,1.0,0.0,1.0,1.0,1014966.0,8.0,1.0
2020-03-24,4.0,0.0,1.0,1.0,3.0,1014706.0,8.0,0.0
2020-03-25,5.0,1.0,1.0,0.0,4.0,1015020.0,9.0,1.0
2020-03-26,4.0,2.0,2.0,1.0,4.0,1016194.0,10.0,1.0
2020-03-27,10.0,1.0,2.0,0.0,3.0,1015103.0,11.0,1.0
2020-03-28,12.0,2.0,0.0,2.0,3.0,1014220.0,12.0,1.0
2020-03-29,10.0,3.0,3.0,1.0,4.0,1014450.0,14.0,2.0
2020-03-30,17.0,1.0,3.0,4.0,6.0,1016748.0,17.0,3.0
2020-03-31,11.0,1.0,4.0,1.0,8.0,1017209.0,20.0,3.0
2020-04-01,17.0,1.0,5.0,6.0,6.0,1017952.0,24.0,4.0
2020-04-02,23.0,3.0,9.0,5.0,12.0,1018346.0,28.0,4.0
2020-04-03,33.0,4.0,4.0,4.0,14.0,1016566.0,32.0,4.0
2020-04-04,32.0,5.0,6.0,3.0,21.0,1016044.0,38.0,6.0
2020-04-05,49.0,8.0,8.0,4.0,22.0,1015464.0,42.0,4.0
2020-04-06,52.0,12.0,8.0,8.0,26.0,1016175.0,51.0,9.0
2020-04-07,51.0,13.0,8.0,8.0,33.0,1017797.0,64.0,13.0
2020-04-08,55.0,23.0,10.0,9.0,33.0,1017978.0,81.0,17.0
2020-04-09,74.0,16.0,13.0,7.0,36.0,1017888.0,92.0,11.0
2020-04-10,85.0,17.0,15.0,8.0,37.0,1018050.0,104.0,12.0
2020-04-11,97.0,20.0,12.0,9.0,50.0,1018782.0,121.0,17.0
2020-04-12,104.0,22.0,15.0,9.0,60.0,1017348.0,137.0,16.0
2020-04-13,131.0,31.0,16.0,13.0,73.0,1017620.0,161.0,24.0
2020-04-14,131.0,31.0,25.0,17.0,87.0,1017509.0,193.0,32.0
2020-04-15,147.0,35.0,26.0,19.0,97.0,1017615.0,218.0,25.0
2020-04-16,174.0,41.0,38.0,26.0,117.0,1018326.0,251.0,33.0
2020-04-17,224.0,39.0,37.0,30.0,125.0,1019117.0,278.0,27.0
2020-04-18,274.0,46.0,43.0,27.0,133.0,1018888.0,322.0,44.0
2020-04-19,301.0,63.0,55.0,40.0,155.0,1019298.0,376.0,54.0
2020-04-20,351.0,82.0,62.0,51.0,181.0,1019765.0,439.0,63.0
2020-04-21,428.0,95.0,96.0,64.0,225.0,1019720.0,529.0,90.0
2020-04-22,515.0,119.0,81.0,69.0,257.0,1019285.0,605.0,76.0
2020-04-23,597.0,137.0,115.0,80.0,307.0,1019887.0,707.0,102.0
2020-04-24,722.0,151.0,121.0,103.0,347.0,1020032.0,816.0,109.0
2020-04-25,842.0,186.0,134.0,116.0,436.0,1019325.0,949.0,133.0
2020-04-26,962.0,194.0,153.0,131.0,536.0,1018335.0,1101.0,152.0
2020-04-27,1101.0,239.0,184.0,131.0,613.0,1017438.0,1287.0,186.0
2020-04-28,1247.0,259.0,205.0,183.0,728.0,1018160.0,1481.0,194.0
2020-04-29,1414.0,318.0,226.0,195.0,833.0,1017146.0,1730.0,249.0
