time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,970317.0,0.0,0.0
2020-03-07,3.0,1.0,1.0,1.0,0.0,971395.0,0.0,0.0
2020-03-08,7.0,1.0,1.0,1.0,0.0,978700.0,0.0,0.0
2020-03-09,8.0,1.0,1.0,0.0,0.0,985784.0,1.0,1.0
2020-03-10,4.0,3.0,0.0,2.0,0.0,992619.0,4.0,3.0
2020-03-11,2.0,1.0,2.0,2.0,0.0,996174.0,5.0,1.0
2020-03-12,4.0,1.0,1.0,3.0,1.0,998722.0,6.0,1.0
2020-03-13,6.0,0.0,1.0,2.0,2.0,1001537.0,6.0,0.0
2020-03-14,7.0,1.0,0.0,1.0,1.0,1004189.0,7.0,1.0
2020-03-15,8.0,0.0,1.0,0.0,3.0,1005540.0,7.0,0.0
2020-03-16,6.0,0.0,1.0,1.0,4.0,1007979.0,7.0,0.0
2020-03-17,4.0,1.0,1.0,0.0,4.0,1007935.0,8.0,1.0
2020-03-18,4.0,2.0,0.0,1.0,3.0,1008727.0,9.0,1.0
2020-03-19,10.0,1.0,1.0,0.0,4.0,1010986.0,9.0,0.0
2020-03-20,7.0,3.0,1.0,1.0,6.0,1011672.0,12.0,3.0
2020-03-21,9.0,3.0,0.0,2.0,4.0,1012710.0,12.0,0.0
2020-03-22,11.0,5.0,3.0,0.0,5.0,1013273.0,15.0,3.0
2020-03-23,18.0,6.0,4.0,3.0,4.0,1013511.0,20.0,5.0
2020-03-24,23.0,1.0,8.0,0.0,9.0,1013885.0,22.0,2.0
2020-03-25,18.0,5.0,6.0,3.0,7.0,1014106.0,27.0,5.0
2020-03-26,28.0,9.0,6.0,5.0,8.0,1014946.0,35.0,8.0
2020-03-27,39.0,6.0,4.0,6.0,17.0,1015583.0,40.0,5.0
2020-03-28,31.0,9.0,4.0,2.0,21.0,1016363.0,47.0,7.0
2020-03-29,42.0,9.0,3.0,4.0,19.0,1015950.0,52.0,5.0
2020-03-30,45.0,12.0,6.0,12.0,20.0,1015642.0,60.0,8.0
2020-03-31,49.0,12.0,6.0,8.0,27.0,1015610.0,68.0,8.0
2020-04-01,52.0,11.0,8.0,3.0,32.0,1016495.0,80.0,12.0
2020-04-02,64.0,17.0,10.0,6.0,44.0,1016538.0,89.0,9.0
2020-04-03,67.0,17.0,11.0,13.0,39.0,1016568.0,99.0,10.0
2020-04-04,74.0,23.0,12.0,17.0,47.0,1015787.0,117.0,18.0
2020-04-05,101.0,21.0,18.0,13.0,60.0,1016446.0,126.0,9.0
2020-04-06,115.0,32.0,15.0,15.0,66.0,1016989.0,151.0,25.0
2020-04-07,128.0,25.0,32.0,13.0,75.0,1016419.0,171.0,20.0
2020-04-08,134.0,26.0,34.0,21.0,92.0,1016892.0,199.0,28.0
2020-04-09,187.0,33.0,32.0,37.0,117.0,1017302.0,223.0,24.0
