time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,3.0,0.0,0.0,0.0,970168.0,0.0,0.0
2020-03-07,4.0,1.0,2.0,0.0,0.0,973003.0,1.0,1.0
2020-03-08,3.0,0.0,2.0,1.0,0.0,979132.0,1.0,0.0
2020-03-09,4.0,1.0,1.0,1.0,0.0,986281.0,2.0,1.0
2020-03-10,3.0,1.0,1.0,1.0,1.0,992931.0,2.0,0.0
2020-03-11,2.0,2.0,0.0,0.0,3.0,997993.0,3.0,1.0
2020-03-12,0.0,0.0,1.0,0.0,3.0,1002656.0,3.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,3.0,1004270.0,3.0,0.0
2020-03-14,2.0,0.0,1.0,0.0,3.0,1006860.0,3.0,0.0
2020-03-15,1.0,0.0,0.0,0.0,5.0,1008194.0,3.0,0.0
2020-03-16,0.0,0.0,1.0,0.0,5.0,1009552.0,3.0,0.0
2020-03-17,0.0,0.0,1.0,0.0,2.0,1010114.0,3.0,0.0
2020-03-18,1.0,0.0,2.0,1.0,2.0,1011657.0,3.0,0.0
2020-03-19,3.0,0.0,1.0,1.0,0.0,1013306.0,3.0,0.0
2020-03-20,5.0,0.0,1.0,0.0,2.0,1013752.0,3.0,0.0
2020-03-21,7.0,3.0,0.0,1.0,2.0,1013965.0,6.0,3.0
2020-03-22,7.0,6.0,4.0,1.0,4.0,1013908.0,11.0,5.0
2020-03-23,11.0,3.0,5.0,2.0,4.0,1013464.0,13.0,2.0
2020-03-24,10.0,3.0,1.0,8.0,6.0,1013465.0,16.0,3.0
2020-03-25,20.0,3.0,3.0,2.0,9.0,1014793.0,19.0,3.0
2020-03-26,21.0,7.0,4.0,2.0,9.0,1014893.0,24.0,5.0
2020-03-27,24.0,4.0,6.0,4.0,15.0,1014884.0,27.0,3.0
2020-03-28,32.0,10.0,3.0,8.0,16.0,1015715.0,35.0,8.0
2020-03-29,35.0,9.0,5.0,3.0,20.0,1015652.0,42.0,7.0
2020-03-30,39.0,6.0,8.0,3.0,22.0,1016036.0,49.0,7.0
2020-03-31,46.0,7.0,7.0,6.0,21.0,1017956.0,54.0,5.0
2020-04-01,46.0,12.0,5.0,7.0,25.0,1017506.0,61.0,7.0
2020-04-02,61.0,12.0,11.0,11.0,28.0,1019024.0,69.0,8.0
2020-04-03,56.0,12.0,14.0,12.0,29.0,1017807.0,82.0,13.0
2020-04-04,68.0,15.0,12.0,8.0,37.0,1019150.0,97.0,15.0
2020-04-05,82.0,23.0,9.0,12.0,46.0,1019134.0,115.0,18.0
2020-04-06,103.0,25.0,11.0,14.0,53.0,1018412.0,129.0,14.0
2020-04-07,113.0,21.0,20.0,10.0,70.0,1018698.0,144.0,15.0
2020-04-08,129.0,28.0,23.0,16.0,73.0,1018865.0,167.0,23.0
2020-04-09,150.0,27.0,23.0,27.0,69.0,1018905.0,190.0,23.0
2020-04-10,169.0,39.0,25.0,37.0,84.0,1019803.0,225.0,35.0
2020-04-11,200.0,61.0,35.0,31.0,109.0,1020292.0,277.0,52.0
2020-04-12,250.0,56.0,49.0,33.0,120.0,1019947.0,324.0,47.0
2020-04-13,296.0,72.0,62.0,47.0,146.0,1019393.0,385.0,61.0
2020-04-14,341.0,59.0,54.0,50.0,158.0,1019923.0,426.0,41.0
2020-04-15,357.0,70.0,59.0,55.0,191.0,1019311.0,484.0,58.0
