time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,2.0,0.0,0.0,0.0,970230.0,0.0,0.0
2020-03-07,1.0,2.0,1.0,0.0,0.0,970891.0,1.0,1.0
2020-03-08,1.0,0.0,1.0,1.0,0.0,978615.0,1.0,0.0
2020-03-09,1.0,0.0,0.0,1.0,1.0,985262.0,1.0,0.0
2020-03-10,1.0,0.0,0.0,0.0,1.0,990147.0,1.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,1.0,995144.0,1.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,1.0,1000392.0,1.0,0.0
2020-03-13,0.0,0.0,0.0,1.0,0.0,1003021.0,1.0,0.0
2020-03-14,2.0,0.0,0.0,0.0,1.0,1005803.0,1.0,0.0
2020-03-15,0.0,1.0,0.0,0.0,1.0,1007837.0,2.0,1.0
2020-03-16,0.0,0.0,1.0,0.0,1.0,1007445.0,2.0,0.0
2020-03-17,2.0,0.0,0.0,1.0,0.0,1008743.0,2.0,0.0
2020-03-18,2.0,1.0,1.0,1.0,0.0,1011780.0,4.0,2.0
2020-03-19,2.0,2.0,0.0,0.0,2.0,1012171.0,5.0,1.0
2020-03-20,4.0,1.0,0.0,1.0,2.0,1012127.0,5.0,0.0
2020-03-21,4.0,0.0,1.0,0.0,3.0,1011733.0,5.0,0.0
2020-03-22,7.0,1.0,0.0,1.0,5.0,1013112.0,6.0,1.0
2020-03-23,4.0,2.0,0.0,1.0,4.0,1013646.0,7.0,1.0
2020-03-24,14.0,1.0,1.0,1.0,3.0,1014676.0,8.0,1.0
2020-03-25,11.0,2.0,1.0,1.0,6.0,1014112.0,9.0,1.0
2020-03-26,11.0,4.0,4.0,1.0,3.0,1014792.0,15.0,6.0
2020-03-27,13.0,0.0,3.0,0.0,4.0,1015449.0,15.0,0.0
2020-03-28,10.0,4.0,2.0,1.0,5.0,1015000.0,20.0,5.0
2020-03-29,12.0,6.0,3.0,0.0,9.0,1015544.0,23.0,3.0
2020-03-30,18.0,4.0,1.0,0.0,8.0,1016590.0,26.0,3.0
2020-03-31,20.0,3.0,3.0,5.0,9.0,1015930.0,29.0,3.0
2020-04-01,29.0,2.0,5.0,3.0,13.0,1015800.0,30.0,1.0
2020-04-02,28.0,5.0,0.0,6.0,15.0,1016470.0,33.0,3.0
