time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,0.0,0.0,0.0,968985.0,0.0,0.0
2020-03-07,4.0,2.0,0.0,0.0,0.0,969790.0,0.0,0.0
2020-03-08,3.0,2.0,0.0,1.0,0.0,978529.0,1.0,1.0
2020-03-09,3.0,1.0,1.0,0.0,0.0,984940.0,2.0,1.0
2020-03-10,2.0,1.0,1.0,0.0,1.0,991741.0,3.0,1.0
2020-03-11,2.0,0.0,1.0,0.0,1.0,996055.0,3.0,0.0
2020-03-12,5.0,0.0,2.0,0.0,1.0,999310.0,3.0,0.0
2020-03-13,3.0,0.0,2.0,0.0,2.0,1002278.0,3.0,0.0
2020-03-14,1.0,1.0,0.0,2.0,1.0,1005558.0,4.0,1.0
2020-03-15,1.0,2.0,0.0,1.0,3.0,1007333.0,6.0,2.0
2020-03-16,3.0,3.0,0.0,0.0,1.0,1008673.0,6.0,0.0
2020-03-17,9.0,2.0,1.0,0.0,4.0,1010062.0,6.0,0.0
2020-03-18,9.0,3.0,1.0,1.0,4.0,1010924.0,8.0,2.0
2020-03-19,9.0,4.0,4.0,1.0,4.0,1011264.0,12.0,4.0
2020-03-20,15.0,2.0,4.0,2.0,4.0,1012054.0,13.0,1.0
2020-03-21,13.0,4.0,2.0,5.0,6.0,1012791.0,17.0,4.0
2020-03-22,19.0,3.0,0.0,5.0,5.0,1013608.0,19.0,2.0
2020-03-23,19.0,1.0,4.0,2.0,7.0,1014905.0,22.0,3.0
2020-03-24,24.0,4.0,3.0,3.0,9.0,1014939.0,24.0,2.0
2020-03-25,24.0,1.0,10.0,2.0,8.0,1015127.0,26.0,2.0
2020-03-26,27.0,6.0,7.0,2.0,9.0,1014562.0,31.0,5.0
2020-03-27,32.0,6.0,7.0,4.0,17.0,1015025.0,37.0,6.0
2020-03-28,32.0,4.0,6.0,5.0,19.0,1014932.0,41.0,4.0
2020-03-29,32.0,6.0,5.0,6.0,26.0,1014334.0,45.0,4.0
2020-03-30,48.0,4.0,3.0,5.0,21.0,1014903.0,47.0,2.0
2020-03-31,51.0,10.0,9.0,5.0,20.0,1015479.0,55.0,8.0
2020-04-01,50.0,11.0,8.0,5.0,27.0,1014991.0,61.0,6.0
2020-04-02,54.0,10.0,13.0,11.0,28.0,1015768.0,73.0,12.0
2020-04-03,53.0,12.0,6.0,7.0,37.0,1016370.0,79.0,6.0
2020-04-04,62.0,18.0,8.0,8.0,43.0,1018167.0,89.0,10.0
2020-04-05,75.0,25.0,15.0,9.0,58.0,1017476.0,103.0,14.0
2020-04-06,103.0,30.0,19.0,8.0,70.0,1015582.0,121.0,18.0
2020-04-07,123.0,27.0,24.0,18.0,67.0,1016641.0,142.0,21.0
2020-04-08,137.0,27.0,23.0,20.0,72.0,1017200.0,161.0,19.0
2020-04-09,132.0,37.0,25.0,26.0,88.0,1016909.0,190.0,29.0
2020-04-10,179.0,33.0,31.0,32.0,100.0,1016979.0,219.0,29.0
