time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,969815.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0,0.0,971554.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0,0.0,979978.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,0.0,0.0,986603.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,0.0,0.0,991747.0,0.0,0.0
2020-03-11,1.0,0.0,0.0,0.0,0.0,997572.0,0.0,0.0
2020-03-12,1.0,0.0,0.0,0.0,0.0,1002910.0,0.0,0.0
2020-03-13,2.0,0.0,0.0,0.0,0.0,1006224.0,0.0,0.0
2020-03-14,1.0,0.0,0.0,0.0,0.0,1007513.0,0.0,0.0
2020-03-15,1.0,0.0,0.0,0.0,0.0,1007771.0,0.0,0.0
2020-03-16,1.0,0.0,0.0,0.0,0.0,1008624.0,0.0,0.0
2020-03-17,2.0,0.0,0.0,0.0,1.0,1010817.0,0.0,0.0
2020-03-18,3.0,0.0,0.0,0.0,1.0,1011345.0,0.0,0.0
2020-03-19,3.0,0.0,1.0,0.0,1.0,1011083.0,0.0,0.0
2020-03-20,1.0,0.0,0.0,0.0,1.0,1011595.0,0.0,0.0
2020-03-21,0.0,0.0,1.0,0.0,0.0,1011768.0,1.0,1.0
2020-03-22,1.0,0.0,0.0,0.0,0.0,1012551.0,1.0,0.0
2020-03-23,2.0,1.0,0.0,0.0,1.0,1012217.0,2.0,1.0
2020-03-24,1.0,1.0,0.0,0.0,1.0,1011944.0,2.0,0.0
2020-03-25,0.0,0.0,1.0,0.0,3.0,1011101.0,2.0,0.0
2020-03-26,1.0,0.0,0.0,1.0,3.0,1012968.0,2.0,0.0
2020-03-27,2.0,0.0,0.0,0.0,4.0,1013488.0,2.0,0.0
2020-03-28,1.0,1.0,1.0,0.0,3.0,1014686.0,3.0,1.0
2020-03-29,1.0,1.0,0.0,1.0,4.0,1014746.0,3.0,0.0
2020-03-30,6.0,0.0,1.0,0.0,4.0,1015636.0,3.0,0.0
2020-03-31,3.0,1.0,0.0,1.0,4.0,1016413.0,4.0,1.0
2020-04-01,5.0,1.0,1.0,0.0,7.0,1016396.0,4.0,0.0
2020-04-02,4.0,2.0,2.0,0.0,9.0,1017003.0,6.0,2.0
2020-04-03,5.0,4.0,3.0,1.0,7.0,1017655.0,8.0,2.0
2020-04-04,12.0,3.0,2.0,2.0,7.0,1018569.0,8.0,0.0
2020-04-05,12.0,3.0,3.0,2.0,9.0,1017417.0,10.0,2.0
2020-04-06,12.0,4.0,1.0,1.0,12.0,1016758.0,11.0,1.0
2020-04-07,17.0,3.0,4.0,5.0,13.0,1018249.0,13.0,2.0
2020-04-08,19.0,4.0,2.0,5.0,13.0,1017843.0,16.0,3.0
2020-04-09,27.0,7.0,3.0,6.0,10.0,1017885.0,22.0,6.0
2020-04-10,32.0,9.0,5.0,3.0,17.0,1018407.0,28.0,6.0
2020-04-11,35.0,7.0,6.0,6.0,20.0,1018609.0,31.0,3.0
2020-04-12,42.0,5.0,8.0,7.0,22.0,1018491.0,35.0,4.0
2020-04-13,41.0,11.0,8.0,8.0,28.0,1019120.0,46.0,11.0
2020-04-14,40.0,14.0,8.0,3.0,33.0,1017999.0,57.0,11.0
2020-04-15,55.0,16.0,9.0,4.0,34.0,1018912.0,68.0,11.0
2020-04-16,58.0,20.0,9.0,11.0,33.0,1020290.0,82.0,14.0
2020-04-17,68.0,22.0,15.0,8.0,44.0,1021735.0,96.0,14.0
2020-04-18,90.0,17.0,18.0,15.0,56.0,1020980.0,105.0,9.0
