time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,3.0,0.0,0.0,0.0,970062.0,0.0,0.0
2020-03-07,3.0,1.0,0.0,0.0,0.0,972052.0,0.0,0.0
2020-03-08,3.0,0.0,1.0,0.0,0.0,979996.0,0.0,0.0
2020-03-09,2.0,0.0,0.0,1.0,0.0,986910.0,0.0,0.0
2020-03-10,2.0,0.0,0.0,0.0,0.0,992441.0,0.0,0.0
2020-03-11,1.0,0.0,0.0,0.0,1.0,997676.0,0.0,0.0
2020-03-12,1.0,0.0,0.0,0.0,1.0,1000949.0,0.0,0.0
2020-03-13,1.0,0.0,0.0,0.0,1.0,1003378.0,0.0,0.0
2020-03-14,1.0,0.0,0.0,0.0,0.0,1004781.0,0.0,0.0
2020-03-15,1.0,1.0,0.0,0.0,0.0,1006714.0,1.0,1.0
2020-03-16,2.0,1.0,0.0,0.0,0.0,1009040.0,1.0,0.0
2020-03-17,2.0,0.0,0.0,0.0,0.0,1010174.0,1.0,0.0
2020-03-18,1.0,0.0,1.0,1.0,0.0,1010342.0,1.0,0.0
2020-03-19,2.0,0.0,0.0,0.0,1.0,1012481.0,1.0,0.0
2020-03-20,3.0,0.0,0.0,0.0,2.0,1012984.0,2.0,1.0
2020-03-21,2.0,1.0,0.0,0.0,2.0,1012744.0,3.0,1.0
2020-03-22,5.0,1.0,0.0,0.0,2.0,1013569.0,3.0,0.0
2020-03-23,8.0,1.0,1.0,0.0,3.0,1013607.0,4.0,1.0
2020-03-24,3.0,1.0,0.0,1.0,3.0,1013938.0,5.0,1.0
2020-03-25,6.0,0.0,1.0,1.0,4.0,1013258.0,5.0,0.0
2020-03-26,8.0,0.0,1.0,1.0,7.0,1013951.0,5.0,0.0
2020-03-27,12.0,0.0,0.0,2.0,6.0,1013910.0,5.0,0.0
2020-03-28,11.0,2.0,1.0,2.0,7.0,1014827.0,8.0,3.0
2020-03-29,14.0,2.0,4.0,1.0,2.0,1014519.0,10.0,2.0
2020-03-30,14.0,4.0,2.0,3.0,2.0,1015342.0,12.0,2.0
2020-03-31,14.0,3.0,1.0,2.0,6.0,1015422.0,13.0,1.0
2020-04-01,19.0,3.0,1.0,3.0,6.0,1015879.0,16.0,3.0
2020-04-02,29.0,4.0,2.0,2.0,7.0,1016198.0,18.0,2.0
2020-04-03,36.0,5.0,4.0,2.0,12.0,1016095.0,23.0,5.0
2020-04-04,43.0,6.0,10.0,2.0,14.0,1015334.0,31.0,8.0
2020-04-05,36.0,11.0,4.0,10.0,20.0,1015665.0,40.0,9.0
2020-04-06,40.0,10.0,8.0,11.0,23.0,1016146.0,51.0,11.0
2020-04-07,56.0,15.0,11.0,15.0,32.0,1016943.0,63.0,12.0
2020-04-08,57.0,16.0,12.0,10.0,40.0,1016651.0,76.0,13.0
2020-04-09,66.0,15.0,9.0,9.0,46.0,1017102.0,87.0,11.0
2020-04-10,67.0,26.0,9.0,6.0,49.0,1017955.0,107.0,20.0
2020-04-11,89.0,20.0,18.0,14.0,56.0,1018047.0,121.0,14.0
2020-04-12,110.0,25.0,30.0,20.0,58.0,1019508.0,137.0,16.0
2020-04-13,114.0,31.0,23.0,23.0,69.0,1019548.0,163.0,26.0
2020-04-14,134.0,32.0,29.0,22.0,71.0,1020731.0,192.0,29.0
2020-04-15,172.0,41.0,34.0,24.0,93.0,1020027.0,227.0,35.0
2020-04-16,198.0,48.0,40.0,30.0,115.0,1020007.0,273.0,46.0
2020-04-17,245.0,68.0,43.0,36.0,128.0,1019362.0,323.0,50.0
2020-04-18,292.0,70.0,59.0,47.0,162.0,1018095.0,374.0,51.0
2020-04-19,341.0,68.0,56.0,52.0,193.0,1018636.0,429.0,55.0
2020-04-20,365.0,106.0,44.0,63.0,208.0,1018129.0,505.0,76.0
2020-04-21,405.0,116.0,80.0,59.0,246.0,1018775.0,599.0,94.0
2020-04-22,481.0,121.0,91.0,81.0,308.0,1019125.0,678.0,79.0
2020-04-23,612.0,127.0,88.0,86.0,346.0,1020432.0,772.0,94.0
2020-04-24,654.0,155.0,120.0,104.0,361.0,1020183.0,899.0,127.0
2020-04-25,813.0,153.0,150.0,131.0,450.0,1019214.0,1021.0,122.0
2020-04-26,935.0,200.0,175.0,144.0,548.0,1018721.0,1202.0,181.0
2020-04-27,1103.0,242.0,199.0,155.0,664.0,1019278.0,1398.0,196.0
2020-04-28,1298.0,306.0,209.0,179.0,746.0,1017960.0,1618.0,220.0
2020-04-29,1548.0,330.0,276.0,225.0,867.0,1018483.0,1883.0,265.0
2020-04-30,1801.0,393.0,308.0,231.0,1022.0,1017604.0,2181.0,298.0
2020-05-01,2104.0,473.0,356.0,286.0,1211.0,1016835.0,2548.0,367.0
2020-05-02,2322.0,556.0,402.0,363.0,1385.0,1015551.0,2977.0,429.0
2020-05-03,2759.0,625.0,465.0,410.0,1587.0,1015301.0,3434.0,457.0
2020-05-04,3301.0,707.0,542.0,445.0,1904.0,1015030.0,3979.0,545.0
2020-05-05,3790.0,869.0,611.0,510.0,2240.0,1013629.0,4647.0,668.0
2020-05-06,4382.0,1004.0,785.0,601.0,2601.0,1012615.0,5400.0,753.0
2020-05-07,5258.0,1201.0,935.0,768.0,3017.0,1012271.0,6291.0,891.0
2020-05-08,6230.0,1354.0,1108.0,867.0,3591.0,1010005.0,7322.0,1031.0
