time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,2.0,3.0,0.0,0.0,0.0,970076.0,0.0,0.0
2020-03-07,4.0,1.0,1.0,1.0,0.0,973679.0,0.0,0.0
2020-03-08,2.0,0.0,1.0,1.0,1.0,980743.0,1.0,1.0
2020-03-09,1.0,0.0,1.0,1.0,0.0,985593.0,2.0,1.0
2020-03-10,2.0,0.0,0.0,1.0,1.0,991934.0,2.0,0.0
2020-03-11,1.0,0.0,0.0,0.0,1.0,996564.0,2.0,0.0
2020-03-12,1.0,0.0,0.0,0.0,0.0,1000610.0,2.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,0.0,1004463.0,2.0,0.0
2020-03-14,1.0,0.0,0.0,0.0,0.0,1005251.0,2.0,0.0
2020-03-15,1.0,0.0,0.0,0.0,0.0,1007680.0,2.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,0.0,1007639.0,2.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,0.0,1010166.0,2.0,0.0
2020-03-18,0.0,0.0,0.0,0.0,0.0,1009965.0,2.0,0.0
2020-03-19,0.0,0.0,0.0,0.0,1.0,1011087.0,2.0,0.0
2020-03-20,3.0,1.0,0.0,1.0,2.0,1011956.0,2.0,0.0
2020-03-21,4.0,0.0,0.0,1.0,3.0,1012529.0,2.0,0.0
2020-03-22,2.0,0.0,0.0,0.0,4.0,1012859.0,2.0,0.0
2020-03-23,4.0,2.0,1.0,0.0,4.0,1010753.0,4.0,2.0
2020-03-24,8.0,2.0,1.0,1.0,1.0,1012455.0,4.0,0.0
2020-03-25,8.0,1.0,3.0,1.0,3.0,1012624.0,7.0,3.0
2020-03-26,4.0,0.0,2.0,2.0,3.0,1014370.0,8.0,1.0
2020-03-27,11.0,1.0,2.0,2.0,4.0,1014359.0,9.0,1.0
2020-03-28,9.0,2.0,1.0,2.0,9.0,1014468.0,10.0,1.0
2020-03-29,9.0,3.0,2.0,1.0,6.0,1015210.0,14.0,4.0
2020-03-30,10.0,7.0,0.0,4.0,10.0,1015898.0,16.0,2.0
2020-03-31,12.0,3.0,4.0,2.0,9.0,1015269.0,19.0,3.0
2020-04-01,13.0,3.0,4.0,4.0,11.0,1015140.0,22.0,3.0
2020-04-02,26.0,3.0,4.0,7.0,8.0,1015538.0,25.0,3.0
2020-04-03,31.0,5.0,4.0,4.0,15.0,1015712.0,29.0,4.0
2020-04-04,30.0,3.0,7.0,4.0,15.0,1016340.0,33.0,4.0
2020-04-05,36.0,6.0,6.0,6.0,15.0,1017693.0,38.0,5.0
2020-04-06,39.0,5.0,7.0,6.0,22.0,1017267.0,44.0,6.0
2020-04-07,44.0,12.0,8.0,3.0,24.0,1017815.0,53.0,9.0
2020-04-08,42.0,13.0,6.0,4.0,35.0,1018548.0,59.0,6.0
2020-04-09,65.0,10.0,7.0,10.0,33.0,1017866.0,72.0,13.0
2020-04-10,66.0,9.0,17.0,12.0,39.0,1017503.0,83.0,11.0
2020-04-11,69.0,12.0,12.0,13.0,42.0,1017447.0,90.0,7.0
2020-04-12,67.0,15.0,14.0,10.0,63.0,1019048.0,106.0,16.0
2020-04-13,91.0,16.0,13.0,13.0,69.0,1019184.0,120.0,14.0
2020-04-14,93.0,16.0,15.0,13.0,67.0,1018518.0,134.0,14.0
2020-04-15,118.0,18.0,21.0,23.0,75.0,1019195.0,151.0,17.0
2020-04-16,128.0,30.0,22.0,24.0,104.0,1019628.0,178.0,27.0
2020-04-17,167.0,37.0,32.0,22.0,119.0,1018813.0,202.0,24.0
2020-04-18,206.0,44.0,40.0,22.0,151.0,1019003.0,237.0,35.0
2020-04-19,248.0,41.0,50.0,35.0,163.0,1019418.0,270.0,33.0
2020-04-20,293.0,56.0,53.0,37.0,219.0,1020395.0,322.0,52.0
2020-04-21,347.0,63.0,63.0,49.0,224.0,1019152.0,385.0,63.0
2020-04-22,423.0,80.0,71.0,62.0,254.0,1020695.0,443.0,58.0
2020-04-23,520.0,95.0,90.0,60.0,280.0,1021366.0,520.0,77.0
2020-04-24,630.0,120.0,94.0,85.0,353.0,1021038.0,611.0,91.0
2020-04-25,694.0,157.0,120.0,103.0,403.0,1021585.0,744.0,133.0
2020-04-26,791.0,177.0,148.0,119.0,495.0,1020717.0,882.0,138.0
2020-04-27,921.0,209.0,163.0,139.0,581.0,1020243.0,1042.0,160.0
2020-04-28,1132.0,245.0,208.0,153.0,684.0,1019422.0,1236.0,194.0
2020-04-29,1346.0,283.0,243.0,187.0,791.0,1018879.0,1470.0,234.0
2020-04-30,1587.0,356.0,292.0,179.0,939.0,1017859.0,1744.0,274.0
2020-05-01,1875.0,396.0,305.0,254.0,1105.0,1018709.0,2033.0,289.0
2020-05-02,2198.0,491.0,364.0,295.0,1268.0,1016431.0,2419.0,386.0
2020-05-03,2612.0,508.0,444.0,367.0,1412.0,1016665.0,2835.0,416.0
2020-05-04,2991.0,625.0,482.0,449.0,1638.0,1016529.0,3350.0,515.0
2020-05-05,3358.0,737.0,638.0,459.0,1961.0,1015424.0,3946.0,596.0
2020-05-06,3961.0,868.0,719.0,542.0,2308.0,1014887.0,4623.0,677.0
2020-05-07,4575.0,1022.0,832.0,664.0,2691.0,1012246.0,5412.0,789.0
2020-05-08,5367.0,1171.0,942.0,765.0,3173.0,1011601.0,6288.0,876.0
2020-05-09,6176.0,1376.0,1036.0,932.0,3715.0,1010411.0,7319.0,1031.0
2020-05-10,7202.0,1655.0,1262.0,1010.0,4340.0,1007154.0,8608.0,1289.0
2020-05-11,8470.0,1936.0,1485.0,1155.0,4998.0,1005711.0,10100.0,1492.0
