time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,0.0,0.0,0.0,970617.0,0.0,0.0
2020-03-07,0.0,2.0,0.0,0.0,0.0,973100.0,1.0,1.0
2020-03-08,1.0,1.0,0.0,0.0,0.0,980678.0,1.0,0.0
2020-03-09,1.0,0.0,0.0,0.0,0.0,988058.0,1.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,993832.0,1.0,0.0
2020-03-11,0.0,0.0,0.0,1.0,0.0,996852.0,1.0,0.0
2020-03-12,0.0,0.0,0.0,1.0,0.0,1000402.0,1.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,0.0,1001606.0,1.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,0.0,1003152.0,1.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,0.0,1007196.0,1.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,0.0,1008657.0,1.0,0.0
2020-03-17,1.0,0.0,0.0,0.0,0.0,1010383.0,1.0,0.0
2020-03-18,0.0,0.0,0.0,0.0,0.0,1011082.0,1.0,0.0
2020-03-19,2.0,0.0,0.0,0.0,0.0,1012184.0,1.0,0.0
2020-03-20,1.0,1.0,0.0,0.0,1.0,1012125.0,2.0,1.0
2020-03-21,4.0,0.0,1.0,0.0,0.0,1013026.0,2.0,0.0
2020-03-22,6.0,1.0,1.0,1.0,0.0,1013231.0,3.0,1.0
2020-03-23,6.0,1.0,1.0,1.0,1.0,1013275.0,6.0,3.0
2020-03-24,5.0,3.0,1.0,1.0,1.0,1013978.0,7.0,1.0
2020-03-25,3.0,3.0,2.0,2.0,2.0,1014109.0,9.0,2.0
2020-03-26,8.0,3.0,0.0,2.0,5.0,1013236.0,11.0,2.0
2020-03-27,7.0,3.0,2.0,0.0,3.0,1013175.0,13.0,2.0
2020-03-28,5.0,3.0,1.0,2.0,3.0,1013223.0,13.0,0.0
2020-03-29,4.0,1.0,1.0,4.0,3.0,1015004.0,13.0,0.0
2020-03-30,8.0,0.0,3.0,2.0,3.0,1016597.0,14.0,1.0
2020-03-31,11.0,1.0,0.0,3.0,5.0,1017345.0,14.0,0.0
2020-04-01,11.0,3.0,2.0,1.0,6.0,1017136.0,18.0,4.0
2020-04-02,15.0,4.0,2.0,1.0,12.0,1018012.0,21.0,3.0
2020-04-03,17.0,5.0,2.0,1.0,8.0,1017715.0,22.0,1.0
2020-04-04,20.0,6.0,5.0,2.0,15.0,1015264.0,24.0,2.0
2020-04-05,25.0,7.0,10.0,2.0,16.0,1015209.0,30.0,6.0
2020-04-06,35.0,7.0,11.0,5.0,15.0,1016022.0,36.0,6.0
2020-04-07,42.0,9.0,10.0,5.0,23.0,1017150.0,44.0,8.0
2020-04-08,54.0,15.0,5.0,9.0,32.0,1017562.0,51.0,7.0
2020-04-09,47.0,16.0,11.0,10.0,34.0,1018703.0,62.0,11.0
2020-04-10,60.0,15.0,10.0,10.0,37.0,1018596.0,72.0,10.0
2020-04-11,72.0,19.0,11.0,13.0,41.0,1017881.0,87.0,15.0
2020-04-12,66.0,20.0,16.0,11.0,40.0,1018394.0,103.0,16.0
2020-04-13,71.0,17.0,20.0,15.0,54.0,1018620.0,119.0,16.0
2020-04-14,94.0,23.0,21.0,18.0,60.0,1019788.0,134.0,15.0
2020-04-15,101.0,22.0,20.0,16.0,84.0,1021218.0,151.0,17.0
2020-04-16,137.0,31.0,27.0,16.0,90.0,1020146.0,170.0,19.0
2020-04-17,165.0,34.0,26.0,27.0,92.0,1019814.0,195.0,25.0
2020-04-18,201.0,45.0,38.0,29.0,94.0,1020242.0,229.0,34.0
2020-04-19,246.0,49.0,47.0,26.0,106.0,1020807.0,266.0,37.0
2020-04-20,279.0,61.0,44.0,33.0,132.0,1020218.0,307.0,41.0
2020-04-21,301.0,66.0,58.0,41.0,165.0,1022384.0,363.0,56.0
2020-04-22,378.0,73.0,74.0,48.0,194.0,1021855.0,419.0,56.0
2020-04-23,422.0,86.0,69.0,41.0,220.0,1020996.0,488.0,69.0
2020-04-24,454.0,107.0,74.0,57.0,262.0,1020884.0,574.0,86.0
2020-04-25,540.0,124.0,86.0,68.0,300.0,1020932.0,661.0,87.0
2020-04-26,623.0,132.0,116.0,75.0,344.0,1020702.0,764.0,103.0
2020-04-27,731.0,173.0,133.0,101.0,415.0,1020571.0,897.0,133.0
2020-04-28,846.0,178.0,137.0,129.0,475.0,1019630.0,1037.0,140.0
2020-04-29,971.0,225.0,165.0,144.0,552.0,1019135.0,1215.0,178.0
2020-04-30,1175.0,240.0,198.0,153.0,653.0,1020607.0,1387.0,172.0
2020-05-01,1311.0,262.0,246.0,187.0,773.0,1020095.0,1593.0,206.0
2020-05-02,1526.0,339.0,245.0,202.0,883.0,1020539.0,1829.0,236.0
2020-05-03,1734.0,391.0,299.0,244.0,1111.0,1019072.0,2136.0,307.0
2020-05-04,2104.0,454.0,358.0,326.0,1228.0,1018535.0,2469.0,333.0
2020-05-05,2475.0,540.0,469.0,329.0,1456.0,1018707.0,2898.0,429.0
2020-05-06,2942.0,619.0,527.0,418.0,1689.0,1018053.0,3368.0,470.0
2020-05-07,3439.0,775.0,584.0,494.0,1963.0,1016995.0,3976.0,608.0
2020-05-08,3956.0,845.0,698.0,552.0,2302.0,1015568.0,4630.0,654.0
2020-05-09,4628.0,992.0,771.0,644.0,2652.0,1015265.0,5401.0,771.0
2020-05-10,5438.0,1225.0,976.0,747.0,3116.0,1013080.0,6322.0,921.0
2020-05-11,6378.0,1374.0,1108.0,883.0,3648.0,1010242.0,7381.0,1059.0
2020-05-12,7433.0,1647.0,1279.0,1045.0,4246.0,1009810.0,8652.0,1271.0
2020-05-13,8697.0,1932.0,1526.0,1184.0,5005.0,1006166.0,10135.0,1483.0
2020-05-14,10235.0,2241.0,1813.0,1445.0,5731.0,1003129.0,11853.0,1718.0
2020-05-15,11999.0,2570.0,2147.0,1667.0,6695.0,1000084.0,13830.0,1977.0
2020-05-16,13745.0,2997.0,2392.0,1890.0,7956.0,997225.0,16104.0,2274.0
2020-05-17,15637.0,3542.0,2804.0,2247.0,9092.0,992747.0,18967.0,2863.0
2020-05-18,18374.0,4029.0,3312.0,2679.0,10544.0,986222.0,22036.0,3069.0
2020-05-19,21506.0,4689.0,3766.0,3071.0,12403.0,980147.0,25660.0,3624.0
