time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970469.0,0.0,0.0
2020-03-07,0.0,0.0,2.0,0.0,0.0,972437.0,0.0,0.0
2020-03-08,2.0,0.0,1.0,0.0,0.0,979095.0,0.0,0.0
2020-03-09,3.0,1.0,1.0,0.0,0.0,985568.0,1.0,1.0
2020-03-10,2.0,2.0,0.0,1.0,0.0,991089.0,2.0,1.0
2020-03-11,2.0,0.0,2.0,1.0,0.0,994958.0,2.0,0.0
2020-03-12,2.0,0.0,0.0,0.0,2.0,1000246.0,2.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,2.0,1002341.0,2.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,2.0,1004204.0,2.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,3.0,1007054.0,2.0,0.0
2020-03-16,0.0,0.0,0.0,1.0,3.0,1009040.0,2.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,2.0,1010230.0,2.0,0.0
2020-03-18,0.0,0.0,0.0,0.0,2.0,1011425.0,2.0,0.0
2020-03-19,0.0,0.0,0.0,0.0,2.0,1012297.0,2.0,0.0
2020-03-20,0.0,0.0,0.0,0.0,2.0,1012718.0,2.0,0.0
2020-03-21,0.0,0.0,0.0,0.0,2.0,1011646.0,2.0,0.0
2020-03-22,0.0,0.0,0.0,0.0,3.0,1013111.0,2.0,0.0
2020-03-23,0.0,0.0,0.0,0.0,2.0,1013733.0,2.0,0.0
2020-03-24,0.0,0.0,0.0,0.0,3.0,1014893.0,2.0,0.0
2020-03-25,1.0,0.0,0.0,0.0,0.0,1014237.0,2.0,0.0
2020-03-26,2.0,0.0,1.0,0.0,3.0,1014886.0,3.0,1.0
2020-03-27,1.0,0.0,0.0,0.0,1.0,1013605.0,3.0,0.0
2020-03-28,1.0,0.0,0.0,0.0,2.0,1014022.0,3.0,0.0
2020-03-29,1.0,0.0,0.0,0.0,2.0,1014025.0,3.0,0.0
2020-03-30,0.0,2.0,0.0,1.0,0.0,1014901.0,5.0,2.0
2020-03-31,1.0,0.0,0.0,1.0,1.0,1015101.0,5.0,0.0
2020-04-01,3.0,0.0,1.0,1.0,2.0,1014895.0,5.0,0.0
2020-04-02,3.0,1.0,0.0,1.0,3.0,1016191.0,6.0,1.0
2020-04-03,1.0,0.0,0.0,2.0,4.0,1017082.0,6.0,0.0
2020-04-04,2.0,0.0,0.0,0.0,5.0,1017391.0,6.0,0.0
2020-04-05,2.0,1.0,0.0,0.0,4.0,1016678.0,7.0,1.0
2020-04-06,4.0,1.0,0.0,0.0,4.0,1016707.0,7.0,0.0
2020-04-07,4.0,1.0,0.0,0.0,3.0,1017065.0,7.0,0.0
2020-04-08,9.0,2.0,1.0,0.0,3.0,1017545.0,7.0,0.0
2020-04-09,14.0,1.0,0.0,1.0,3.0,1017779.0,8.0,1.0
2020-04-10,13.0,4.0,1.0,0.0,6.0,1018414.0,13.0,5.0
2020-04-11,13.0,4.0,0.0,2.0,8.0,1017485.0,15.0,2.0
2020-04-12,10.0,1.0,3.0,1.0,7.0,1017597.0,18.0,3.0
2020-04-13,11.0,1.0,2.0,2.0,8.0,1017867.0,19.0,1.0
2020-04-14,13.0,1.0,2.0,3.0,11.0,1017694.0,20.0,1.0
2020-04-15,12.0,2.0,1.0,2.0,14.0,1017697.0,20.0,0.0
2020-04-16,20.0,1.0,0.0,4.0,16.0,1018542.0,20.0,0.0
2020-04-17,21.0,5.0,0.0,4.0,17.0,1018856.0,21.0,1.0
2020-04-18,43.0,3.0,9.0,3.0,20.0,1018425.0,24.0,3.0
2020-04-19,43.0,9.0,6.0,4.0,21.0,1019485.0,35.0,11.0
2020-04-20,43.0,12.0,4.0,3.0,28.0,1016984.0,43.0,8.0
2020-04-21,45.0,19.0,6.0,9.0,35.0,1017474.0,56.0,13.0
2020-04-22,56.0,14.0,9.0,8.0,38.0,1019505.0,63.0,7.0
2020-04-23,78.0,15.0,10.0,9.0,47.0,1020591.0,71.0,8.0
2020-04-24,87.0,20.0,17.0,12.0,49.0,1020583.0,86.0,15.0
2020-04-25,97.0,18.0,27.0,11.0,67.0,1021459.0,98.0,12.0
2020-04-26,120.0,18.0,26.0,26.0,75.0,1020849.0,116.0,18.0
2020-04-27,137.0,27.0,25.0,19.0,89.0,1021491.0,138.0,22.0
2020-04-28,174.0,39.0,30.0,22.0,118.0,1019633.0,167.0,29.0
2020-04-29,176.0,41.0,33.0,28.0,122.0,1022224.0,200.0,33.0
2020-04-30,225.0,51.0,48.0,23.0,125.0,1022183.0,242.0,42.0
2020-05-01,263.0,53.0,48.0,42.0,145.0,1022301.0,280.0,38.0
2020-05-02,317.0,80.0,50.0,40.0,184.0,1021736.0,330.0,50.0
2020-05-03,385.0,81.0,78.0,48.0,233.0,1020831.0,400.0,70.0
2020-05-04,480.0,105.0,90.0,77.0,261.0,1020184.0,488.0,88.0
2020-05-05,593.0,106.0,109.0,77.0,328.0,1020414.0,573.0,85.0
2020-05-06,709.0,139.0,123.0,99.0,371.0,1019863.0,674.0,101.0
2020-05-07,799.0,152.0,151.0,106.0,445.0,1020883.0,793.0,119.0
2020-05-08,928.0,189.0,157.0,135.0,491.0,1019966.0,953.0,160.0
2020-05-09,1069.0,220.0,178.0,148.0,571.0,1020595.0,1121.0,168.0
2020-05-10,1222.0,254.0,233.0,160.0,678.0,1020886.0,1345.0,224.0
2020-05-11,1469.0,306.0,256.0,205.0,792.0,1020515.0,1581.0,236.0
2020-05-12,1721.0,381.0,270.0,250.0,960.0,1020834.0,1886.0,305.0
2020-05-13,2027.0,455.0,326.0,274.0,1134.0,1019215.0,2227.0,341.0
2020-05-14,2436.0,520.0,408.0,334.0,1314.0,1019592.0,2595.0,368.0
2020-05-15,2720.0,632.0,477.0,407.0,1531.0,1017347.0,3087.0,492.0
