time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,0.0,0.0,0.0,970573.0,0.0,0.0
2020-03-07,2.0,1.0,2.0,0.0,0.0,972573.0,1.0,1.0
2020-03-08,2.0,0.0,1.0,1.0,0.0,979883.0,1.0,0.0
2020-03-09,1.0,0.0,0.0,1.0,0.0,986694.0,1.0,0.0
2020-03-10,1.0,0.0,0.0,0.0,1.0,991935.0,1.0,0.0
2020-03-11,2.0,0.0,1.0,0.0,1.0,996306.0,1.0,0.0
2020-03-12,2.0,0.0,1.0,0.0,0.0,1000278.0,1.0,0.0
2020-03-13,2.0,0.0,0.0,0.0,0.0,1003373.0,1.0,0.0
2020-03-14,2.0,0.0,1.0,0.0,0.0,1005154.0,2.0,1.0
2020-03-15,2.0,0.0,0.0,1.0,0.0,1007623.0,2.0,0.0
2020-03-16,2.0,0.0,2.0,2.0,1.0,1008957.0,3.0,1.0
2020-03-17,2.0,1.0,1.0,0.0,3.0,1010315.0,5.0,2.0
2020-03-18,2.0,0.0,0.0,2.0,3.0,1010336.0,5.0,0.0
2020-03-19,4.0,0.0,0.0,0.0,2.0,1009693.0,5.0,0.0
2020-03-20,7.0,0.0,0.0,1.0,2.0,1010879.0,5.0,0.0
2020-03-21,4.0,0.0,0.0,0.0,3.0,1012098.0,5.0,0.0
2020-03-22,3.0,0.0,0.0,0.0,2.0,1011833.0,5.0,0.0
2020-03-23,7.0,0.0,0.0,1.0,2.0,1012605.0,5.0,0.0
2020-03-24,6.0,3.0,1.0,0.0,1.0,1013231.0,8.0,3.0
2020-03-25,7.0,3.0,2.0,0.0,1.0,1014191.0,9.0,1.0
2020-03-26,5.0,3.0,1.0,2.0,3.0,1014323.0,10.0,1.0
2020-03-27,10.0,3.0,2.0,0.0,4.0,1013949.0,12.0,2.0
2020-03-28,9.0,2.0,0.0,2.0,3.0,1014122.0,12.0,0.0
2020-03-29,9.0,2.0,0.0,0.0,5.0,1013542.0,12.0,0.0
2020-03-30,11.0,0.0,1.0,1.0,5.0,1014605.0,12.0,0.0
2020-03-31,9.0,2.0,1.0,2.0,12.0,1014702.0,14.0,2.0
2020-04-01,11.0,4.0,4.0,1.0,14.0,1015266.0,15.0,1.0
2020-04-02,20.0,3.0,4.0,4.0,14.0,1014866.0,17.0,2.0
2020-04-03,21.0,2.0,2.0,6.0,18.0,1014920.0,18.0,1.0
2020-04-04,28.0,2.0,4.0,6.0,26.0,1014825.0,23.0,5.0
2020-04-05,30.0,7.0,4.0,5.0,26.0,1015762.0,26.0,3.0
2020-04-06,33.0,11.0,5.0,7.0,21.0,1015846.0,34.0,8.0
2020-04-07,37.0,6.0,7.0,5.0,31.0,1016373.0,40.0,6.0
2020-04-08,32.0,10.0,4.0,6.0,31.0,1017309.0,47.0,7.0
2020-04-09,40.0,11.0,5.0,5.0,37.0,1018279.0,54.0,7.0
2020-04-10,47.0,8.0,7.0,8.0,38.0,1016930.0,60.0,6.0
2020-04-11,65.0,15.0,9.0,3.0,36.0,1018035.0,71.0,11.0
2020-04-12,78.0,10.0,18.0,5.0,32.0,1018588.0,84.0,13.0
2020-04-13,92.0,15.0,12.0,13.0,40.0,1017739.0,95.0,11.0
2020-04-14,106.0,13.0,17.0,8.0,53.0,1018840.0,106.0,11.0
2020-04-15,111.0,23.0,12.0,19.0,55.0,1019187.0,123.0,17.0
2020-04-16,146.0,31.0,21.0,15.0,73.0,1018770.0,141.0,18.0
2020-04-17,159.0,35.0,23.0,21.0,94.0,1019142.0,164.0,23.0
2020-04-18,198.0,44.0,38.0,23.0,89.0,1018005.0,197.0,33.0
2020-04-19,245.0,41.0,55.0,24.0,117.0,1017511.0,233.0,36.0
2020-04-20,252.0,53.0,58.0,31.0,166.0,1017457.0,280.0,47.0
2020-04-21,316.0,63.0,60.0,37.0,186.0,1017882.0,336.0,56.0
2020-04-22,363.0,80.0,58.0,49.0,203.0,1018444.0,403.0,67.0
2020-04-23,385.0,90.0,72.0,67.0,230.0,1018787.0,476.0,73.0
2020-04-24,465.0,88.0,88.0,79.0,282.0,1019790.0,554.0,78.0
