time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970312.0,0.0,0.0
2020-03-07,3.0,1.0,3.0,0.0,0.0,972115.0,1.0,1.0
2020-03-08,5.0,1.0,3.0,1.0,0.0,981221.0,2.0,1.0
2020-03-09,5.0,3.0,3.0,0.0,1.0,986944.0,5.0,3.0
2020-03-10,5.0,2.0,4.0,0.0,0.0,993228.0,6.0,1.0
2020-03-11,5.0,2.0,1.0,3.0,0.0,998571.0,9.0,3.0
2020-03-12,5.0,2.0,1.0,2.0,2.0,1001057.0,9.0,0.0
2020-03-13,7.0,4.0,0.0,0.0,3.0,1002927.0,10.0,1.0
2020-03-14,5.0,0.0,2.0,0.0,0.0,1006327.0,11.0,1.0
2020-03-15,8.0,0.0,3.0,1.0,2.0,1006040.0,11.0,0.0
2020-03-16,8.0,0.0,3.0,2.0,1.0,1008027.0,12.0,1.0
2020-03-17,8.0,1.0,0.0,2.0,0.0,1010818.0,13.0,1.0
2020-03-18,7.0,4.0,1.0,0.0,1.0,1011087.0,17.0,4.0
2020-03-19,11.0,2.0,1.0,3.0,1.0,1010191.0,17.0,0.0
2020-03-20,8.0,1.0,1.0,1.0,4.0,1011243.0,19.0,2.0
2020-03-21,7.0,3.0,2.0,1.0,2.0,1010959.0,21.0,2.0
2020-03-22,11.0,3.0,3.0,2.0,2.0,1010513.0,22.0,1.0
2020-03-23,15.0,3.0,3.0,3.0,6.0,1012247.0,25.0,3.0
2020-03-24,21.0,6.0,1.0,2.0,10.0,1012846.0,28.0,3.0
2020-03-25,23.0,5.0,2.0,3.0,9.0,1013842.0,29.0,1.0
2020-03-26,18.0,9.0,3.0,1.0,12.0,1013927.0,33.0,4.0
2020-03-27,25.0,8.0,5.0,1.0,11.0,1015171.0,37.0,4.0
2020-03-28,33.0,7.0,11.0,2.0,14.0,1016057.0,43.0,6.0
2020-03-29,39.0,7.0,12.0,4.0,15.0,1016297.0,50.0,7.0
2020-03-30,38.0,11.0,7.0,4.0,26.0,1016318.0,57.0,7.0
2020-03-31,49.0,9.0,8.0,6.0,24.0,1015506.0,63.0,6.0
2020-04-01,51.0,8.0,9.0,5.0,24.0,1015565.0,70.0,7.0
2020-04-02,54.0,11.0,7.0,4.0,27.0,1015703.0,79.0,9.0
2020-04-03,47.0,12.0,7.0,8.0,28.0,1015671.0,88.0,9.0
2020-04-04,60.0,14.0,8.0,6.0,38.0,1015501.0,96.0,8.0
2020-04-05,65.0,20.0,12.0,8.0,38.0,1015773.0,112.0,16.0
2020-04-06,68.0,24.0,19.0,9.0,53.0,1017907.0,127.0,15.0
2020-04-07,88.0,13.0,18.0,17.0,60.0,1017379.0,139.0,12.0
2020-04-08,116.0,23.0,24.0,15.0,71.0,1017073.0,161.0,22.0
2020-04-09,134.0,24.0,28.0,22.0,93.0,1018164.0,183.0,22.0
2020-04-10,164.0,25.0,24.0,23.0,100.0,1016923.0,203.0,20.0
2020-04-11,182.0,45.0,25.0,28.0,109.0,1016796.0,237.0,34.0
2020-04-12,203.0,50.0,36.0,29.0,120.0,1017445.0,279.0,42.0
2020-04-13,254.0,68.0,44.0,31.0,147.0,1018075.0,329.0,50.0
2020-04-14,296.0,73.0,64.0,39.0,175.0,1017663.0,383.0,54.0
2020-04-15,348.0,75.0,62.0,62.0,223.0,1018290.0,454.0,71.0
2020-04-16,392.0,96.0,68.0,61.0,252.0,1017999.0,530.0,76.0
2020-04-17,477.0,117.0,83.0,81.0,286.0,1018713.0,611.0,81.0
2020-04-18,545.0,133.0,98.0,70.0,355.0,1017464.0,717.0,106.0
2020-04-19,650.0,157.0,108.0,101.0,384.0,1017647.0,822.0,105.0
2020-04-20,763.0,186.0,141.0,115.0,446.0,1017926.0,959.0,137.0
2020-04-21,911.0,183.0,170.0,138.0,512.0,1017460.0,1113.0,154.0
2020-04-22,1122.0,214.0,186.0,169.0,604.0,1018351.0,1271.0,158.0
2020-04-23,1256.0,274.0,205.0,179.0,681.0,1018891.0,1489.0,218.0
2020-04-24,1505.0,288.0,273.0,227.0,807.0,1016854.0,1722.0,233.0
2020-04-25,1695.0,377.0,283.0,239.0,964.0,1016557.0,2026.0,304.0
2020-04-26,2043.0,425.0,337.0,294.0,1106.0,1016301.0,2345.0,319.0
2020-04-27,2369.0,538.0,380.0,358.0,1284.0,1017134.0,2757.0,412.0
2020-04-28,2689.0,581.0,483.0,390.0,1528.0,1016039.0,3202.0,445.0
2020-04-29,3175.0,705.0,534.0,463.0,1831.0,1015357.0,3735.0,533.0
