time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,2.0,0.0,0.0,0.0,969910.0,0.0,0.0
2020-03-07,1.0,0.0,0.0,0.0,0.0,972079.0,0.0,0.0
2020-03-08,0.0,0.0,1.0,0.0,0.0,978108.0,1.0,1.0
2020-03-09,1.0,1.0,0.0,1.0,0.0,987274.0,1.0,0.0
2020-03-10,2.0,1.0,1.0,0.0,1.0,992212.0,2.0,1.0
2020-03-11,1.0,1.0,1.0,0.0,1.0,996812.0,3.0,1.0
2020-03-12,2.0,0.0,2.0,1.0,1.0,1000162.0,4.0,1.0
2020-03-13,3.0,0.0,1.0,2.0,2.0,1003081.0,4.0,0.0
2020-03-14,4.0,0.0,0.0,2.0,2.0,1005527.0,4.0,0.0
2020-03-15,4.0,0.0,0.0,1.0,3.0,1008062.0,4.0,0.0
2020-03-16,4.0,0.0,0.0,1.0,3.0,1008665.0,4.0,0.0
2020-03-17,6.0,1.0,0.0,1.0,1.0,1010098.0,4.0,0.0
2020-03-18,5.0,2.0,1.0,1.0,1.0,1010126.0,7.0,3.0
2020-03-19,5.0,1.0,2.0,1.0,0.0,1010215.0,7.0,0.0
2020-03-20,8.0,1.0,1.0,2.0,2.0,1011312.0,7.0,0.0
2020-03-21,9.0,0.0,1.0,2.0,4.0,1012126.0,7.0,0.0
2020-03-22,6.0,3.0,3.0,2.0,4.0,1012248.0,9.0,2.0
2020-03-23,8.0,0.0,2.0,3.0,6.0,1013392.0,10.0,1.0
2020-03-24,8.0,2.0,2.0,4.0,5.0,1013364.0,12.0,2.0
2020-03-25,11.0,6.0,3.0,2.0,5.0,1013392.0,17.0,5.0
2020-03-26,17.0,3.0,3.0,3.0,7.0,1013648.0,18.0,1.0
2020-03-27,13.0,7.0,2.0,2.0,10.0,1013494.0,23.0,5.0
2020-03-28,14.0,6.0,1.0,5.0,14.0,1014965.0,27.0,4.0
2020-03-29,17.0,3.0,3.0,3.0,11.0,1016847.0,28.0,1.0
2020-03-30,22.0,7.0,5.0,3.0,17.0,1015461.0,33.0,5.0
2020-03-31,27.0,11.0,5.0,5.0,20.0,1016388.0,38.0,5.0
2020-04-01,32.0,12.0,2.0,7.0,23.0,1015584.0,41.0,3.0
2020-04-02,43.0,11.0,7.0,6.0,24.0,1015749.0,50.0,9.0
2020-04-03,52.0,10.0,10.0,7.0,28.0,1016502.0,58.0,8.0
2020-04-04,70.0,6.0,12.0,8.0,42.0,1017090.0,66.0,8.0
2020-04-05,85.0,15.0,8.0,7.0,46.0,1016772.0,77.0,11.0
2020-04-06,76.0,20.0,14.0,13.0,32.0,1017049.0,94.0,17.0
2020-04-07,92.0,16.0,13.0,16.0,41.0,1016842.0,105.0,11.0
2020-04-08,105.0,33.0,15.0,20.0,43.0,1017899.0,129.0,24.0
2020-04-09,143.0,23.0,18.0,23.0,56.0,1017562.0,149.0,20.0
2020-04-10,150.0,37.0,26.0,14.0,74.0,1018618.0,183.0,34.0
2020-04-11,182.0,31.0,29.0,31.0,92.0,1019340.0,209.0,26.0
2020-04-12,216.0,42.0,39.0,37.0,114.0,1017758.0,245.0,36.0
2020-04-13,268.0,50.0,51.0,29.0,148.0,1017869.0,283.0,38.0
2020-04-14,289.0,65.0,46.0,39.0,169.0,1017259.0,333.0,50.0
2020-04-15,329.0,71.0,52.0,55.0,184.0,1017302.0,382.0,49.0
2020-04-16,385.0,79.0,73.0,49.0,245.0,1018727.0,445.0,63.0
2020-04-17,471.0,88.0,76.0,63.0,269.0,1017275.0,519.0,74.0
