time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970555.0,0.0,0.0
2020-03-07,2.0,2.0,0.0,1.0,0.0,972209.0,0.0,0.0
2020-03-08,2.0,1.0,1.0,0.0,0.0,979854.0,1.0,1.0
2020-03-09,1.0,0.0,0.0,0.0,0.0,985658.0,1.0,0.0
2020-03-10,2.0,0.0,0.0,0.0,0.0,991669.0,1.0,0.0
2020-03-11,2.0,0.0,0.0,0.0,0.0,996991.0,1.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,0.0,1001095.0,2.0,1.0
2020-03-13,0.0,0.0,0.0,0.0,1.0,1005107.0,2.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,1.0,1007108.0,2.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,0.0,1007772.0,2.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,0.0,1008504.0,2.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,0.0,1009714.0,2.0,0.0
2020-03-18,0.0,0.0,0.0,0.0,0.0,1010690.0,2.0,0.0
2020-03-19,0.0,0.0,0.0,0.0,0.0,1011515.0,2.0,0.0
2020-03-20,1.0,1.0,0.0,1.0,2.0,1012568.0,3.0,1.0
2020-03-21,2.0,0.0,0.0,1.0,3.0,1013231.0,3.0,0.0
2020-03-22,4.0,0.0,1.0,2.0,3.0,1012506.0,3.0,0.0
2020-03-23,5.0,1.0,0.0,1.0,5.0,1012363.0,4.0,1.0
2020-03-24,6.0,1.0,1.0,2.0,9.0,1013164.0,7.0,3.0
2020-03-25,6.0,1.0,1.0,1.0,12.0,1013145.0,8.0,1.0
2020-03-26,8.0,0.0,0.0,1.0,9.0,1014522.0,8.0,0.0
2020-03-27,2.0,0.0,0.0,1.0,6.0,1014346.0,9.0,1.0
2020-03-28,3.0,1.0,0.0,1.0,7.0,1014350.0,10.0,1.0
2020-03-29,7.0,0.0,2.0,0.0,9.0,1015122.0,10.0,0.0
2020-03-30,6.0,1.0,2.0,2.0,11.0,1015453.0,11.0,1.0
2020-03-31,9.0,0.0,1.0,3.0,10.0,1014961.0,12.0,1.0
2020-04-01,10.0,3.0,0.0,1.0,11.0,1015686.0,13.0,1.0
2020-04-02,15.0,6.0,3.0,0.0,11.0,1015524.0,20.0,7.0
2020-04-03,21.0,8.0,3.0,3.0,10.0,1015637.0,24.0,4.0
2020-04-04,18.0,6.0,5.0,3.0,11.0,1016587.0,27.0,3.0
2020-04-05,23.0,5.0,6.0,5.0,11.0,1017400.0,32.0,5.0
2020-04-06,39.0,5.0,6.0,6.0,13.0,1018461.0,37.0,5.0
2020-04-07,38.0,4.0,4.0,5.0,23.0,1016891.0,42.0,5.0
2020-04-08,36.0,11.0,2.0,2.0,30.0,1017532.0,51.0,9.0
2020-04-09,40.0,6.0,11.0,2.0,35.0,1018138.0,56.0,5.0
2020-04-10,41.0,4.0,10.0,6.0,33.0,1019956.0,62.0,6.0
2020-04-11,51.0,8.0,13.0,4.0,27.0,1021087.0,64.0,2.0
2020-04-12,65.0,9.0,9.0,8.0,31.0,1019246.0,72.0,8.0
2020-04-13,73.0,23.0,13.0,5.0,37.0,1019620.0,85.0,13.0
2020-04-14,85.0,21.0,22.0,8.0,50.0,1018725.0,101.0,16.0
2020-04-15,104.0,23.0,17.0,19.0,49.0,1018598.0,115.0,14.0
2020-04-16,103.0,24.0,16.0,20.0,63.0,1020227.0,137.0,22.0
2020-04-17,109.0,36.0,17.0,15.0,70.0,1019525.0,161.0,24.0
2020-04-18,119.0,40.0,29.0,23.0,82.0,1019007.0,184.0,23.0
2020-04-19,156.0,39.0,39.0,25.0,107.0,1020387.0,214.0,30.0
2020-04-20,199.0,37.0,41.0,38.0,109.0,1021144.0,240.0,26.0
2020-04-21,226.0,56.0,44.0,46.0,133.0,1019837.0,284.0,44.0
2020-04-22,264.0,81.0,41.0,42.0,176.0,1020829.0,340.0,56.0
2020-04-23,296.0,81.0,52.0,45.0,206.0,1019916.0,394.0,54.0
2020-04-24,343.0,80.0,63.0,48.0,227.0,1019975.0,460.0,66.0
2020-04-25,423.0,76.0,69.0,66.0,261.0,1019336.0,513.0,53.0
2020-04-26,480.0,102.0,92.0,61.0,306.0,1018180.0,601.0,88.0
2020-04-27,586.0,118.0,84.0,91.0,344.0,1019016.0,688.0,87.0
2020-04-28,704.0,135.0,96.0,88.0,399.0,1020183.0,798.0,110.0
2020-04-29,768.0,168.0,121.0,120.0,459.0,1019873.0,927.0,129.0
2020-04-30,927.0,196.0,174.0,141.0,537.0,1019923.0,1086.0,159.0
2020-05-01,1066.0,239.0,193.0,162.0,661.0,1019883.0,1283.0,197.0
2020-05-02,1243.0,282.0,240.0,146.0,737.0,1020250.0,1505.0,222.0
2020-05-03,1455.0,290.0,270.0,174.0,848.0,1019394.0,1735.0,230.0
2020-05-04,1666.0,378.0,282.0,206.0,960.0,1019692.0,2045.0,310.0
2020-05-05,1938.0,421.0,345.0,256.0,1085.0,1018598.0,2366.0,321.0
2020-05-06,2262.0,488.0,428.0,331.0,1332.0,1018964.0,2730.0,364.0
2020-05-07,2685.0,588.0,500.0,370.0,1545.0,1018225.0,3205.0,475.0
2020-05-08,3078.0,666.0,543.0,418.0,1808.0,1017136.0,3741.0,536.0
2020-05-09,3561.0,775.0,620.0,518.0,2160.0,1017692.0,4358.0,617.0
2020-05-10,4163.0,949.0,738.0,576.0,2483.0,1016539.0,5106.0,748.0
2020-05-11,4863.0,1053.0,849.0,644.0,2763.0,1014181.0,5912.0,806.0
2020-05-12,5652.0,1209.0,1038.0,799.0,3210.0,1012513.0,6859.0,947.0
2020-05-13,6621.0,1378.0,1129.0,925.0,3861.0,1010494.0,7952.0,1093.0
