time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,970170.0,0.0,0.0
2020-03-07,1.0,1.0,0.0,1.0,0.0,971898.0,1.0,1.0
2020-03-08,2.0,1.0,1.0,1.0,0.0,978881.0,2.0,1.0
2020-03-09,3.0,0.0,1.0,0.0,0.0,986804.0,2.0,0.0
2020-03-10,5.0,0.0,1.0,1.0,0.0,994085.0,2.0,0.0
2020-03-11,6.0,0.0,0.0,1.0,0.0,998147.0,2.0,0.0
2020-03-12,6.0,0.0,0.0,1.0,0.0,1002203.0,2.0,0.0
2020-03-13,10.0,1.0,0.0,0.0,0.0,1004935.0,2.0,0.0
2020-03-14,9.0,3.0,0.0,1.0,0.0,1006702.0,3.0,1.0
2020-03-15,7.0,1.0,0.0,0.0,0.0,1008302.0,4.0,1.0
2020-03-16,6.0,1.0,1.0,0.0,2.0,1009737.0,4.0,0.0
2020-03-17,3.0,0.0,3.0,0.0,2.0,1009690.0,5.0,1.0
2020-03-18,4.0,3.0,1.0,3.0,2.0,1011024.0,8.0,3.0
2020-03-19,2.0,2.0,1.0,2.0,2.0,1012939.0,9.0,1.0
2020-03-20,2.0,2.0,1.0,1.0,4.0,1012637.0,9.0,0.0
2020-03-21,5.0,1.0,1.0,2.0,4.0,1013277.0,10.0,1.0
2020-03-22,4.0,2.0,1.0,2.0,2.0,1013167.0,11.0,1.0
2020-03-23,7.0,1.0,3.0,1.0,4.0,1014020.0,13.0,2.0
2020-03-24,11.0,1.0,2.0,1.0,5.0,1014192.0,14.0,1.0
2020-03-25,17.0,2.0,3.0,2.0,7.0,1014406.0,15.0,1.0
2020-03-26,18.0,3.0,1.0,5.0,8.0,1015145.0,17.0,2.0
2020-03-27,19.0,8.0,3.0,1.0,7.0,1015346.0,25.0,8.0
2020-03-28,19.0,7.0,2.0,6.0,6.0,1015496.0,29.0,4.0
2020-03-29,28.0,5.0,3.0,3.0,12.0,1016144.0,31.0,2.0
2020-03-30,33.0,6.0,6.0,5.0,12.0,1014934.0,36.0,5.0
2020-03-31,41.0,10.0,5.0,4.0,11.0,1015692.0,44.0,8.0
2020-04-01,49.0,10.0,7.0,4.0,19.0,1016486.0,52.0,8.0
2020-04-02,52.0,11.0,3.0,5.0,21.0,1016190.0,62.0,10.0
2020-04-03,53.0,15.0,9.0,6.0,31.0,1016886.0,75.0,13.0
2020-04-04,42.0,17.0,8.0,10.0,37.0,1017654.0,89.0,14.0
2020-04-05,55.0,18.0,13.0,10.0,42.0,1016970.0,102.0,13.0
