time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970286.0,0.0,0.0
2020-03-07,0.0,2.0,1.0,0.0,0.0,973454.0,0.0,0.0
2020-03-08,0.0,0.0,2.0,0.0,0.0,980270.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,1.0,0.0,987127.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,1.0,0.0,993491.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,0.0,997384.0,0.0,0.0
2020-03-12,1.0,0.0,0.0,0.0,0.0,1001048.0,0.0,0.0
2020-03-13,1.0,0.0,0.0,0.0,0.0,1003247.0,0.0,0.0
2020-03-14,1.0,0.0,0.0,0.0,0.0,1005195.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,1.0,1005560.0,0.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,0.0,1007884.0,0.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,1.0,1008287.0,0.0,0.0
2020-03-18,0.0,0.0,0.0,0.0,1.0,1010453.0,0.0,0.0
2020-03-19,0.0,0.0,0.0,0.0,1.0,1011967.0,0.0,0.0
2020-03-20,1.0,0.0,0.0,0.0,1.0,1011817.0,0.0,0.0
2020-03-21,1.0,0.0,0.0,0.0,1.0,1012650.0,0.0,0.0
2020-03-22,0.0,1.0,0.0,0.0,1.0,1012083.0,1.0,1.0
2020-03-23,0.0,0.0,0.0,0.0,0.0,1013261.0,1.0,0.0
2020-03-24,0.0,0.0,0.0,0.0,0.0,1013283.0,1.0,0.0
2020-03-25,0.0,0.0,0.0,0.0,0.0,1014375.0,1.0,0.0
2020-03-26,0.0,0.0,0.0,0.0,0.0,1014506.0,1.0,0.0
2020-03-27,0.0,0.0,0.0,0.0,0.0,1015616.0,1.0,0.0
2020-03-28,0.0,0.0,0.0,0.0,0.0,1015263.0,1.0,0.0
2020-03-29,0.0,0.0,0.0,0.0,0.0,1015795.0,1.0,0.0
2020-03-30,0.0,0.0,0.0,0.0,0.0,1015014.0,1.0,0.0
2020-03-31,0.0,0.0,0.0,0.0,0.0,1015048.0,1.0,0.0
2020-04-01,2.0,0.0,1.0,0.0,0.0,1016167.0,1.0,0.0
2020-04-02,0.0,1.0,0.0,0.0,0.0,1015356.0,3.0,2.0
2020-04-03,1.0,2.0,1.0,1.0,0.0,1016438.0,3.0,0.0
2020-04-04,3.0,0.0,3.0,0.0,1.0,1017562.0,3.0,0.0
2020-04-05,4.0,0.0,0.0,1.0,3.0,1017332.0,3.0,0.0
2020-04-06,0.0,0.0,0.0,0.0,3.0,1017804.0,3.0,0.0
2020-04-07,5.0,1.0,0.0,1.0,2.0,1016770.0,3.0,0.0
2020-04-08,8.0,2.0,1.0,0.0,3.0,1017392.0,4.0,1.0
2020-04-09,11.0,3.0,0.0,1.0,4.0,1017604.0,7.0,3.0
2020-04-10,11.0,4.0,4.0,2.0,4.0,1018025.0,11.0,4.0
2020-04-11,22.0,3.0,2.0,5.0,4.0,1017526.0,11.0,0.0
2020-04-12,31.0,3.0,1.0,1.0,7.0,1017494.0,14.0,3.0
2020-04-13,31.0,3.0,0.0,1.0,7.0,1017616.0,15.0,1.0
2020-04-14,29.0,5.0,2.0,3.0,9.0,1017897.0,18.0,3.0
2020-04-15,29.0,4.0,3.0,1.0,15.0,1017645.0,23.0,5.0
2020-04-16,36.0,2.0,5.0,1.0,16.0,1017341.0,27.0,4.0
2020-04-17,42.0,5.0,7.0,1.0,17.0,1018166.0,35.0,8.0
2020-04-18,46.0,10.0,8.0,3.0,23.0,1019219.0,45.0,10.0
2020-04-19,59.0,7.0,9.0,6.0,33.0,1019037.0,51.0,6.0
2020-04-20,61.0,17.0,9.0,12.0,32.0,1021108.0,65.0,14.0
2020-04-21,71.0,14.0,14.0,14.0,31.0,1021298.0,79.0,14.0
2020-04-22,95.0,19.0,17.0,12.0,35.0,1019730.0,92.0,13.0
2020-04-23,88.0,24.0,20.0,9.0,58.0,1020612.0,111.0,19.0
2020-04-24,114.0,25.0,19.0,17.0,64.0,1021074.0,132.0,21.0
2020-04-25,135.0,37.0,20.0,19.0,78.0,1020084.0,157.0,25.0
2020-04-26,153.0,35.0,27.0,20.0,98.0,1019443.0,186.0,29.0
2020-04-27,160.0,34.0,31.0,24.0,106.0,1018975.0,213.0,27.0
2020-04-28,204.0,34.0,30.0,22.0,144.0,1019026.0,235.0,22.0
2020-04-29,232.0,54.0,34.0,28.0,153.0,1019270.0,271.0,36.0
2020-04-30,271.0,62.0,44.0,37.0,176.0,1019219.0,305.0,34.0
2020-05-01,357.0,77.0,64.0,36.0,219.0,1020862.0,366.0,61.0
2020-05-02,429.0,99.0,77.0,61.0,247.0,1020937.0,440.0,74.0
2020-05-03,478.0,105.0,75.0,71.0,304.0,1020676.0,527.0,87.0
2020-05-04,536.0,107.0,99.0,70.0,332.0,1020465.0,619.0,92.0
2020-05-05,663.0,131.0,115.0,88.0,380.0,1019999.0,723.0,104.0
2020-05-06,753.0,148.0,145.0,122.0,462.0,1018830.0,843.0,120.0
2020-05-07,942.0,186.0,163.0,130.0,553.0,1019067.0,988.0,145.0
2020-05-08,1116.0,251.0,184.0,165.0,647.0,1019666.0,1182.0,194.0
2020-05-09,1318.0,299.0,220.0,178.0,767.0,1019912.0,1404.0,222.0
2020-05-10,1532.0,348.0,279.0,217.0,926.0,1019303.0,1675.0,271.0
2020-05-11,1889.0,412.0,337.0,248.0,1065.0,1019144.0,1990.0,315.0
2020-05-12,2273.0,506.0,370.0,311.0,1256.0,1019839.0,2390.0,400.0
2020-05-13,2590.0,583.0,443.0,378.0,1469.0,1017677.0,2841.0,451.0
2020-05-14,3118.0,666.0,552.0,413.0,1715.0,1017250.0,3372.0,531.0
2020-05-15,3690.0,794.0,612.0,504.0,2050.0,1016743.0,3982.0,610.0
2020-05-16,4140.0,914.0,708.0,587.0,2386.0,1015247.0,4705.0,723.0
2020-05-17,4771.0,1104.0,825.0,672.0,2799.0,1013792.0,5554.0,849.0
2020-05-18,5594.0,1233.0,999.0,778.0,3347.0,1011347.0,6486.0,932.0
2020-05-19,6951.0,1419.0,1203.0,910.0,3908.0,1009372.0,7579.0,1093.0
2020-05-20,7895.0,1770.0,1378.0,1048.0,4631.0,1006963.0,8963.0,1384.0
2020-05-21,9101.0,2015.0,1584.0,1329.0,5482.0,1005837.0,10523.0,1560.0
2020-05-22,10765.0,2390.0,1935.0,1475.0,6435.0,1001858.0,12354.0,1831.0
2020-05-23,12664.0,2814.0,2284.0,1772.0,7524.0,997762.0,14541.0,2187.0
2020-05-24,14883.0,3255.0,2744.0,2155.0,8677.0,993777.0,17119.0,2578.0
2020-05-25,17373.0,3704.0,3085.0,2571.0,10271.0,988119.0,19996.0,2877.0
2020-05-26,20165.0,4431.0,3623.0,2882.0,12016.0,981964.0,23496.0,3500.0
2020-05-27,23463.0,5191.0,4208.0,3435.0,13924.0,975583.0,27505.0,4009.0
2020-05-28,27331.0,5988.0,4855.0,4053.0,16448.0,966668.0,32209.0,4704.0
2020-05-29,31646.0,6990.0,5654.0,4682.0,19203.0,957934.0,37662.0,5453.0
2020-05-30,36667.0,8087.0,6513.0,5327.0,22405.0,945847.0,43856.0,6194.0
2020-05-31,42069.0,9288.0,7571.0,6193.0,26164.0,933156.0,50921.0,7065.0
2020-06-01,48223.0,10866.0,8843.0,7211.0,30614.0,918663.0,59274.0,8353.0
2020-06-02,55493.0,12538.0,10181.0,8406.0,35962.0,903076.0,68765.0,9491.0
2020-06-03,63686.0,14176.0,11697.0,9751.0,41748.0,883683.0,79506.0,10741.0
2020-06-04,72099.0,16293.0,13152.0,11201.0,48792.0,862898.0,91927.0,12421.0
2020-06-05,81821.0,18844.0,15416.0,12622.0,56743.0,840656.0,106249.0,14322.0
2020-06-06,92118.0,21407.0,17553.0,14587.0,65651.0,814789.0,122329.0,16080.0
2020-06-07,103014.0,23974.0,20050.0,16764.0,76064.0,785440.0,140498.0,18169.0
2020-06-08,114757.0,26960.0,22670.0,18906.0,87603.0,755509.0,160813.0,20315.0
2020-06-09,126231.0,29878.0,25456.0,21158.0,100949.0,722744.0,183069.0,22256.0
2020-06-10,138175.0,32636.0,28250.0,23845.0,115758.0,686686.0,207350.0,24281.0
2020-06-11,149066.0,36025.0,31333.0,26506.0,132153.0,650442.0,234080.0,26730.0
2020-06-12,159878.0,39323.0,33983.0,29803.0,150316.0,612129.0,262796.0,28716.0
2020-06-13,169759.0,41976.0,37311.0,32769.0,170686.0,573165.0,293750.0,30954.0
2020-06-14,178188.0,44580.0,40582.0,35558.0,193349.0,533943.0,326093.0,32343.0
2020-06-15,185338.0,47013.0,42585.0,38812.0,218263.0,494286.0,359765.0,33672.0
2020-06-16,190160.0,48961.0,45505.0,40987.0,244356.0,456693.0,394665.0,34900.0
2020-06-17,192642.0,50347.0,47633.0,43770.0,272352.0,419728.0,430461.0,35796.0
2020-06-18,193749.0,51396.0,49175.0,46072.0,301941.0,384834.0,466589.0,36128.0
2020-06-19,192724.0,52137.0,50307.0,47609.0,333097.0,351939.0,502723.0,36134.0
2020-06-20,189405.0,51783.0,50749.0,49595.0,364306.0,320423.0,538370.0,35647.0
2020-06-21,185260.0,51123.0,51242.0,50197.0,396490.0,292492.0,573280.0,34910.0
2020-06-22,178697.0,50700.0,50989.0,50699.0,430260.0,266802.0,607766.0,34486.0
2020-06-23,170752.0,49237.0,50035.0,50294.0,463452.0,243350.0,640816.0,33050.0
2020-06-24,161154.0,47445.0,49375.0,49650.0,497017.0,222923.0,672236.0,31420.0
2020-06-25,152107.0,45140.0,47954.0,48805.0,529321.0,204483.0,702103.0,29867.0
2020-06-26,142291.0,42702.0,46014.0,47876.0,561697.0,188512.0,729964.0,27861.0
2020-06-27,131876.0,40011.0,43514.0,46010.0,592100.0,174186.0,755922.0,25958.0
2020-06-28,121679.0,37309.0,40889.0,44288.0,622340.0,161791.0,779917.0,23995.0
2020-06-29,111956.0,35114.0,38304.0,41780.0,650656.0,150587.0,801956.0,22039.0
2020-06-30,102661.0,32298.0,35965.0,39128.0,676208.0,140933.0,822319.0,20363.0
2020-07-01,93792.0,29643.0,33443.0,37059.0,700895.0,132728.0,841192.0,18873.0
2020-07-02,84823.0,27382.0,31049.0,34584.0,725070.0,125694.0,858643.0,17451.0
2020-07-03,77321.0,24656.0,28154.0,31962.0,746712.0,119453.0,873831.0,15188.0
2020-07-04,69679.0,22553.0,25909.0,29352.0,767762.0,114120.0,887788.0,13957.0
2020-07-05,62736.0,20351.0,23779.0,26903.0,785459.0,109582.0,900432.0,12644.0
2020-07-06,56787.0,18375.0,21449.0,24981.0,801253.0,105321.0,911781.0,11349.0
