time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,2.0,1.0,0.0,0.0,969854.0,0.0,0.0
2020-03-07,0.0,0.0,2.0,1.0,0.0,972417.0,0.0,0.0
2020-03-08,4.0,0.0,1.0,0.0,2.0,979432.0,0.0,0.0
2020-03-09,2.0,1.0,2.0,0.0,2.0,986720.0,2.0,2.0
2020-03-10,2.0,0.0,0.0,1.0,0.0,992480.0,2.0,0.0
2020-03-11,1.0,0.0,0.0,0.0,1.0,996858.0,2.0,0.0
2020-03-12,0.0,1.0,1.0,0.0,1.0,999634.0,4.0,2.0
2020-03-13,1.0,0.0,0.0,0.0,1.0,1003484.0,4.0,0.0
2020-03-14,1.0,0.0,0.0,0.0,1.0,1004865.0,4.0,0.0
2020-03-15,1.0,1.0,0.0,0.0,1.0,1006638.0,4.0,0.0
2020-03-16,2.0,0.0,1.0,0.0,3.0,1008362.0,4.0,0.0
2020-03-17,1.0,0.0,0.0,1.0,4.0,1010040.0,5.0,1.0
2020-03-18,2.0,0.0,1.0,0.0,1.0,1010906.0,5.0,0.0
2020-03-19,3.0,0.0,0.0,1.0,0.0,1012711.0,6.0,1.0
2020-03-20,5.0,0.0,1.0,0.0,1.0,1014110.0,6.0,0.0
2020-03-21,6.0,3.0,1.0,0.0,1.0,1013158.0,9.0,3.0
2020-03-22,8.0,3.0,0.0,2.0,0.0,1013526.0,10.0,1.0
2020-03-23,9.0,0.0,4.0,2.0,1.0,1014247.0,11.0,1.0
2020-03-24,16.0,2.0,1.0,3.0,2.0,1013221.0,12.0,1.0
2020-03-25,11.0,3.0,3.0,1.0,4.0,1013200.0,16.0,4.0
2020-03-26,9.0,1.0,0.0,1.0,6.0,1013673.0,16.0,0.0
2020-03-27,10.0,0.0,1.0,2.0,7.0,1013852.0,16.0,0.0
2020-03-28,7.0,0.0,0.0,1.0,9.0,1014489.0,17.0,1.0
2020-03-29,8.0,2.0,1.0,0.0,7.0,1015173.0,19.0,2.0
2020-03-30,13.0,1.0,1.0,3.0,9.0,1015485.0,20.0,1.0
2020-03-31,20.0,4.0,3.0,2.0,12.0,1014958.0,22.0,2.0
2020-04-01,21.0,4.0,2.0,5.0,12.0,1015859.0,24.0,2.0
2020-04-02,18.0,6.0,3.0,3.0,14.0,1016912.0,29.0,5.0
2020-04-03,30.0,8.0,3.0,2.0,12.0,1015825.0,31.0,2.0
2020-04-04,32.0,8.0,1.0,5.0,15.0,1015433.0,36.0,5.0
2020-04-05,39.0,5.0,7.0,3.0,17.0,1015244.0,44.0,8.0
2020-04-06,46.0,8.0,3.0,5.0,21.0,1016047.0,51.0,7.0
2020-04-07,57.0,10.0,7.0,8.0,22.0,1017956.0,60.0,9.0
2020-04-08,65.0,11.0,9.0,11.0,33.0,1019554.0,72.0,12.0
2020-04-09,70.0,13.0,14.0,15.0,38.0,1019552.0,83.0,11.0
2020-04-10,83.0,16.0,16.0,14.0,43.0,1020040.0,96.0,13.0
2020-04-11,99.0,13.0,21.0,17.0,57.0,1018969.0,111.0,15.0
