time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,3.0,3.0,0.0,0.0,0.0,969648.0,0.0,0.0
2020-03-07,1.0,4.0,0.0,0.0,0.0,973043.0,1.0,1.0
2020-03-08,1.0,2.0,1.0,0.0,0.0,980939.0,1.0,0.0
2020-03-09,1.0,1.0,1.0,0.0,0.0,986340.0,1.0,0.0
2020-03-10,2.0,0.0,0.0,1.0,0.0,991554.0,1.0,0.0
2020-03-11,3.0,0.0,0.0,1.0,0.0,996536.0,1.0,0.0
2020-03-12,2.0,0.0,0.0,1.0,1.0,999886.0,1.0,0.0
2020-03-13,3.0,1.0,0.0,0.0,1.0,1001549.0,1.0,0.0
2020-03-14,3.0,1.0,0.0,0.0,1.0,1004104.0,2.0,1.0
2020-03-15,3.0,0.0,1.0,0.0,1.0,1006734.0,2.0,0.0
2020-03-16,3.0,0.0,0.0,1.0,1.0,1007779.0,2.0,0.0
2020-03-17,3.0,0.0,0.0,0.0,3.0,1009072.0,2.0,0.0
2020-03-18,3.0,0.0,0.0,0.0,2.0,1009816.0,2.0,0.0
2020-03-19,3.0,0.0,0.0,0.0,2.0,1010686.0,2.0,0.0
2020-03-20,4.0,1.0,0.0,0.0,0.0,1011947.0,3.0,1.0
2020-03-21,3.0,0.0,1.0,0.0,2.0,1013102.0,3.0,0.0
2020-03-22,2.0,0.0,0.0,0.0,2.0,1012555.0,3.0,0.0
2020-03-23,3.0,1.0,0.0,0.0,2.0,1012932.0,4.0,1.0
2020-03-24,2.0,1.0,0.0,0.0,2.0,1013624.0,5.0,1.0
2020-03-25,2.0,0.0,0.0,1.0,1.0,1014091.0,6.0,1.0
2020-03-26,4.0,2.0,1.0,1.0,1.0,1014957.0,8.0,2.0
2020-03-27,4.0,0.0,2.0,0.0,1.0,1015141.0,8.0,0.0
2020-03-28,3.0,2.0,1.0,0.0,1.0,1015865.0,10.0,2.0
2020-03-29,2.0,1.0,0.0,0.0,2.0,1016089.0,12.0,2.0
2020-03-30,3.0,0.0,1.0,0.0,3.0,1016335.0,12.0,0.0
2020-03-31,5.0,1.0,2.0,0.0,6.0,1016311.0,14.0,2.0
2020-04-01,5.0,2.0,1.0,1.0,7.0,1015627.0,14.0,0.0
2020-04-02,8.0,3.0,0.0,1.0,7.0,1016393.0,15.0,1.0
2020-04-03,7.0,3.0,2.0,1.0,7.0,1016505.0,17.0,2.0
2020-04-04,8.0,3.0,5.0,2.0,8.0,1017440.0,19.0,2.0
2020-04-05,10.0,2.0,3.0,3.0,11.0,1017019.0,20.0,1.0
2020-04-06,13.0,6.0,2.0,2.0,15.0,1015643.0,26.0,6.0
2020-04-07,21.0,5.0,1.0,3.0,12.0,1015675.0,28.0,2.0
2020-04-08,14.0,7.0,5.0,1.0,14.0,1016965.0,33.0,5.0
2020-04-09,23.0,6.0,5.0,4.0,16.0,1016409.0,37.0,4.0
2020-04-10,23.0,8.0,4.0,3.0,15.0,1016397.0,41.0,4.0
2020-04-11,31.0,8.0,5.0,4.0,18.0,1017035.0,46.0,5.0
2020-04-12,32.0,6.0,7.0,5.0,15.0,1017772.0,54.0,8.0
2020-04-13,40.0,9.0,8.0,5.0,25.0,1017592.0,64.0,10.0
2020-04-14,43.0,14.0,11.0,6.0,31.0,1017691.0,76.0,12.0
2020-04-15,66.0,12.0,12.0,8.0,29.0,1017215.0,81.0,5.0
2020-04-16,68.0,11.0,12.0,10.0,33.0,1017521.0,94.0,13.0
2020-04-17,65.0,13.0,10.0,10.0,45.0,1018407.0,107.0,13.0
2020-04-18,82.0,12.0,19.0,10.0,42.0,1020137.0,115.0,8.0
2020-04-19,99.0,21.0,17.0,14.0,52.0,1021048.0,129.0,14.0
2020-04-20,114.0,25.0,23.0,15.0,62.0,1020964.0,146.0,17.0
2020-04-21,126.0,29.0,22.0,27.0,75.0,1020220.0,169.0,23.0
2020-04-22,182.0,40.0,26.0,28.0,95.0,1019589.0,187.0,18.0
2020-04-23,207.0,33.0,27.0,38.0,101.0,1019252.0,214.0,27.0
2020-04-24,248.0,44.0,34.0,43.0,119.0,1019500.0,254.0,40.0
2020-04-25,303.0,60.0,45.0,42.0,151.0,1019625.0,306.0,52.0
2020-04-26,342.0,75.0,44.0,38.0,164.0,1019913.0,362.0,56.0
2020-04-27,385.0,92.0,55.0,54.0,191.0,1020505.0,417.0,55.0
2020-04-28,457.0,104.0,80.0,62.0,235.0,1019307.0,498.0,81.0
2020-04-29,559.0,117.0,85.0,74.0,289.0,1019018.0,585.0,87.0
2020-04-30,659.0,137.0,108.0,97.0,319.0,1020494.0,689.0,104.0
2020-05-01,771.0,149.0,148.0,126.0,388.0,1021738.0,811.0,122.0
2020-05-02,880.0,185.0,152.0,132.0,521.0,1022001.0,954.0,143.0
2020-05-03,1008.0,218.0,166.0,127.0,594.0,1022228.0,1134.0,180.0
2020-05-04,1230.0,252.0,217.0,156.0,648.0,1022475.0,1325.0,191.0
2020-05-05,1410.0,298.0,218.0,187.0,758.0,1022529.0,1562.0,237.0
2020-05-06,1590.0,350.0,260.0,211.0,844.0,1020699.0,1829.0,267.0
2020-05-07,1867.0,372.0,361.0,261.0,986.0,1020764.0,2116.0,287.0
2020-05-08,2182.0,509.0,377.0,307.0,1204.0,1019560.0,2498.0,382.0
2020-05-09,2644.0,601.0,449.0,346.0,1412.0,1017820.0,2941.0,443.0
2020-05-10,3012.0,698.0,538.0,428.0,1674.0,1017552.0,3502.0,561.0
2020-05-11,3508.0,800.0,604.0,529.0,1951.0,1017887.0,4076.0,574.0
2020-05-12,4097.0,881.0,707.0,624.0,2238.0,1015017.0,4780.0,704.0
2020-05-13,4820.0,1007.0,857.0,676.0,2607.0,1013162.0,5590.0,810.0
2020-05-14,5547.0,1203.0,963.0,819.0,3157.0,1013102.0,6547.0,957.0
2020-05-15,6412.0,1413.0,1133.0,919.0,3615.0,1011637.0,7645.0,1098.0
2020-05-16,7370.0,1594.0,1345.0,1062.0,4337.0,1009325.0,8919.0,1274.0
2020-05-17,8486.0,1992.0,1564.0,1257.0,5029.0,1006897.0,10471.0,1552.0
2020-05-18,10036.0,2197.0,1803.0,1460.0,5859.0,1003716.0,12178.0,1707.0
2020-05-19,11559.0,2626.0,2075.0,1643.0,6761.0,1000588.0,14181.0,2003.0
2020-05-20,13443.0,3001.0,2384.0,1983.0,7850.0,996122.0,16470.0,2289.0
2020-05-21,15693.0,3401.0,2877.0,2259.0,9187.0,992052.0,19145.0,2675.0
2020-05-22,18370.0,4122.0,3193.0,2649.0,10788.0,986693.0,22268.0,3123.0
2020-05-23,21461.0,4746.0,3872.0,3119.0,12551.0,979127.0,25952.0,3684.0
2020-05-24,25004.0,5506.0,4418.0,3670.0,14845.0,972016.0,30251.0,4299.0
2020-05-25,28925.0,6491.0,5220.0,4199.0,17350.0,963764.0,35259.0,5008.0
2020-05-26,33436.0,7347.0,6007.0,4858.0,20394.0,953354.0,40981.0,5722.0
2020-05-27,38137.0,8626.0,6909.0,5543.0,23733.0,943779.0,47603.0,6622.0
2020-05-28,43901.0,9843.0,8001.0,6682.0,27390.0,931901.0,55128.0,7525.0
2020-05-29,50347.0,11424.0,9196.0,7684.0,32148.0,915566.0,63972.0,8844.0
2020-05-30,57806.0,13046.0,10553.0,8827.0,37342.0,899678.0,73851.0,9879.0
2020-05-31,65718.0,14861.0,12256.0,10040.0,43273.0,881690.0,85243.0,11392.0
2020-06-01,74313.0,17056.0,13934.0,11637.0,50273.0,860847.0,98182.0,12939.0
2020-06-02,84078.0,19210.0,15901.0,13191.0,58281.0,837521.0,112651.0,14469.0
2020-06-03,93994.0,21795.0,18552.0,14867.0,67329.0,812039.0,129232.0,16581.0
2020-06-04,105115.0,24457.0,20717.0,17025.0,77502.0,783028.0,147793.0,18561.0
2020-06-05,117484.0,27115.0,23225.0,19425.0,89026.0,751359.0,168088.0,20295.0
2020-06-06,128904.0,30270.0,25770.0,21919.0,101816.0,718480.0,190666.0,22578.0
2020-06-07,140142.0,33421.0,28411.0,24465.0,117082.0,683828.0,215455.0,24789.0
2020-06-08,151781.0,36743.0,31693.0,27158.0,133784.0,647267.0,242439.0,26984.0
2020-06-09,162398.0,39802.0,34903.0,29813.0,152263.0,609888.0,271664.0,29225.0
2020-06-10,171405.0,42520.0,37974.0,32962.0,172765.0,571336.0,302881.0,31217.0
2020-06-11,180140.0,45166.0,40530.0,35872.0,195202.0,532425.0,335465.0,32584.0
2020-06-12,186015.0,47932.0,43107.0,38825.0,218951.0,494506.0,369703.0,34238.0
2020-06-13,190821.0,49552.0,45559.0,41447.0,244755.0,456413.0,405061.0,35358.0
2020-06-14,193179.0,50728.0,47483.0,43915.0,272187.0,419168.0,441016.0,35955.0
2020-06-15,194165.0,51675.0,49232.0,46127.0,301371.0,384642.0,477245.0,36229.0
2020-06-16,192901.0,52499.0,50499.0,47904.0,331640.0,352958.0,513900.0,36655.0
2020-06-17,190112.0,52379.0,51361.0,49215.0,362762.0,322130.0,549607.0,35707.0
2020-06-18,184686.0,52157.0,51483.0,50432.0,395227.0,294231.0,585504.0,35897.0
2020-06-19,178614.0,50971.0,51957.0,50864.0,427947.0,268424.0,620020.0,34516.0
2020-06-20,170818.0,49412.0,50447.0,51219.0,461377.0,245450.0,653038.0,33018.0
2020-06-21,163230.0,47427.0,49470.0,50372.0,493503.0,224260.0,684396.0,31358.0
2020-06-22,153420.0,45605.0,47550.0,49470.0,525168.0,206401.0,714630.0,30234.0
2020-06-23,143822.0,43386.0,45984.0,48607.0,556838.0,190639.0,742958.0,28328.0
2020-06-24,133607.0,40504.0,44126.0,46393.0,587389.0,176395.0,769013.0,26055.0
2020-06-25,124038.0,37786.0,41796.0,44589.0,617562.0,164318.0,793305.0,24292.0
2020-06-26,114341.0,35354.0,39206.0,42378.0,645058.0,153164.0,815933.0,22628.0
2020-06-27,105382.0,32795.0,36364.0,40118.0,671376.0,143348.0,836669.0,20736.0
2020-06-28,96213.0,30302.0,33934.0,37688.0,695776.0,134453.0,855929.0,19260.0
2020-06-29,87605.0,27912.0,31516.0,35163.0,719545.0,126812.0,873389.0,17460.0
2020-06-30,79629.0,25352.0,29068.0,33017.0,741874.0,120726.0,889160.0,15771.0
2020-07-01,71598.0,23022.0,26528.0,30590.0,762317.0,115449.0,903588.0,14428.0
2020-07-02,65121.0,20890.0,24300.0,28002.0,781713.0,111245.0,916602.0,13014.0
2020-07-03,58776.0,18781.0,22009.0,25480.0,798418.0,106789.0,928285.0,11683.0
2020-07-04,52407.0,17141.0,20019.0,23200.0,813916.0,103249.0,938877.0,10592.0
2020-07-05,47277.0,15329.0,18089.0,21040.0,827479.0,99769.0,948178.0,9301.0
2020-07-06,42440.0,13710.0,16455.0,19141.0,840515.0,96655.0,956674.0,8496.0
