time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,969830.0,0.0,0.0
2020-03-07,1.0,0.0,3.0,0.0,0.0,972916.0,0.0,0.0
2020-03-08,0.0,0.0,1.0,0.0,0.0,980156.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,1.0,0.0,986682.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,992331.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,0.0,996174.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,0.0,999980.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,0.0,1001988.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,0.0,1004458.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,0.0,1006578.0,0.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,1.0,1007636.0,0.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,1.0,1009910.0,0.0,0.0
2020-03-18,0.0,0.0,0.0,0.0,1.0,1011882.0,0.0,0.0
2020-03-19,0.0,0.0,0.0,0.0,1.0,1011871.0,0.0,0.0
2020-03-20,0.0,0.0,0.0,0.0,0.0,1013053.0,0.0,0.0
2020-03-21,1.0,0.0,0.0,0.0,0.0,1012533.0,0.0,0.0
2020-03-22,1.0,0.0,2.0,0.0,0.0,1012682.0,1.0,1.0
2020-03-23,3.0,1.0,1.0,2.0,1.0,1012959.0,1.0,0.0
2020-03-24,6.0,0.0,1.0,2.0,1.0,1012915.0,1.0,0.0
2020-03-25,6.0,0.0,0.0,3.0,0.0,1012894.0,1.0,0.0
2020-03-26,4.0,2.0,0.0,2.0,0.0,1014069.0,3.0,2.0
2020-03-27,4.0,4.0,2.0,1.0,1.0,1015189.0,6.0,3.0
2020-03-28,8.0,1.0,0.0,1.0,1.0,1014930.0,6.0,0.0
2020-03-29,7.0,2.0,0.0,1.0,2.0,1015938.0,7.0,1.0
2020-03-30,6.0,1.0,2.0,0.0,5.0,1015904.0,8.0,1.0
2020-03-31,11.0,0.0,2.0,1.0,5.0,1015481.0,10.0,2.0
2020-04-01,13.0,3.0,0.0,0.0,6.0,1016153.0,12.0,2.0
2020-04-02,21.0,4.0,3.0,0.0,8.0,1016250.0,16.0,4.0
2020-04-03,16.0,3.0,4.0,2.0,7.0,1016713.0,22.0,6.0
2020-04-04,18.0,4.0,5.0,3.0,8.0,1016983.0,25.0,3.0
2020-04-05,19.0,5.0,8.0,3.0,9.0,1015603.0,30.0,5.0
2020-04-06,26.0,4.0,5.0,5.0,14.0,1015350.0,33.0,3.0
2020-04-07,30.0,9.0,4.0,5.0,15.0,1016438.0,40.0,7.0
2020-04-08,28.0,5.0,4.0,7.0,13.0,1017205.0,44.0,4.0
2020-04-09,29.0,5.0,6.0,2.0,21.0,1017716.0,47.0,3.0
2020-04-10,37.0,8.0,3.0,5.0,28.0,1017587.0,52.0,5.0
2020-04-11,44.0,11.0,5.0,3.0,28.0,1017740.0,60.0,8.0
2020-04-12,51.0,7.0,5.0,3.0,28.0,1017834.0,65.0,5.0
2020-04-13,42.0,9.0,4.0,6.0,31.0,1017747.0,73.0,8.0
2020-04-14,46.0,12.0,9.0,8.0,32.0,1017986.0,82.0,9.0
2020-04-15,62.0,14.0,15.0,5.0,35.0,1019040.0,95.0,13.0
2020-04-16,64.0,18.0,10.0,10.0,45.0,1018873.0,109.0,14.0
2020-04-17,78.0,20.0,17.0,13.0,42.0,1018732.0,124.0,15.0
2020-04-18,92.0,12.0,18.0,15.0,57.0,1018786.0,131.0,7.0
2020-04-19,101.0,24.0,16.0,19.0,58.0,1020459.0,149.0,18.0
2020-04-20,112.0,32.0,28.0,18.0,74.0,1020403.0,174.0,25.0
2020-04-21,130.0,33.0,34.0,20.0,106.0,1021656.0,200.0,26.0
2020-04-22,144.0,36.0,25.0,32.0,105.0,1021739.0,216.0,16.0
2020-04-23,175.0,41.0,32.0,32.0,118.0,1022317.0,249.0,33.0
2020-04-24,232.0,47.0,40.0,35.0,137.0,1022189.0,281.0,32.0
2020-04-25,276.0,62.0,58.0,36.0,155.0,1021094.0,331.0,50.0
2020-04-26,319.0,75.0,58.0,34.0,194.0,1020301.0,388.0,57.0
2020-04-27,386.0,90.0,61.0,50.0,221.0,1020904.0,449.0,61.0
2020-04-28,457.0,95.0,80.0,55.0,242.0,1020985.0,522.0,73.0
2020-04-29,514.0,105.0,100.0,74.0,290.0,1021880.0,598.0,76.0
2020-04-30,542.0,153.0,109.0,101.0,331.0,1020999.0,719.0,121.0
2020-05-01,702.0,155.0,136.0,110.0,398.0,1021232.0,832.0,113.0
