time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970275.0,0.0,0.0
2020-03-07,3.0,0.0,2.0,0.0,0.0,972688.0,0.0,0.0
2020-03-08,2.0,0.0,0.0,3.0,0.0,980206.0,1.0,1.0
2020-03-09,2.0,1.0,0.0,1.0,1.0,987208.0,2.0,1.0
2020-03-10,2.0,0.0,0.0,0.0,1.0,992113.0,2.0,0.0
2020-03-11,2.0,0.0,0.0,0.0,1.0,996208.0,2.0,0.0
2020-03-12,1.0,0.0,1.0,0.0,2.0,999486.0,2.0,0.0
2020-03-13,1.0,0.0,1.0,1.0,1.0,1002971.0,2.0,0.0
2020-03-14,3.0,0.0,1.0,1.0,1.0,1004428.0,2.0,0.0
2020-03-15,3.0,0.0,0.0,0.0,3.0,1005191.0,2.0,0.0
2020-03-16,3.0,0.0,0.0,0.0,2.0,1007486.0,2.0,0.0
2020-03-17,1.0,0.0,0.0,0.0,2.0,1008262.0,2.0,0.0
2020-03-18,1.0,0.0,0.0,0.0,2.0,1010332.0,2.0,0.0
2020-03-19,1.0,0.0,0.0,0.0,1.0,1011206.0,2.0,0.0
2020-03-20,1.0,0.0,0.0,0.0,0.0,1010860.0,2.0,0.0
2020-03-21,2.0,0.0,0.0,0.0,1.0,1011397.0,2.0,0.0
2020-03-22,2.0,0.0,2.0,0.0,0.0,1011815.0,2.0,0.0
2020-03-23,3.0,1.0,1.0,1.0,0.0,1011683.0,3.0,1.0
2020-03-24,8.0,0.0,1.0,1.0,0.0,1013305.0,4.0,1.0
2020-03-25,5.0,0.0,1.0,1.0,0.0,1013961.0,5.0,1.0
2020-03-26,5.0,0.0,0.0,2.0,0.0,1014446.0,5.0,0.0
2020-03-27,9.0,1.0,1.0,3.0,1.0,1014703.0,7.0,2.0
2020-03-28,7.0,3.0,2.0,0.0,1.0,1013989.0,10.0,3.0
2020-03-29,8.0,2.0,2.0,2.0,2.0,1014382.0,12.0,2.0
2020-03-30,5.0,4.0,0.0,2.0,4.0,1014064.0,14.0,2.0
2020-03-31,9.0,1.0,1.0,1.0,7.0,1013849.0,16.0,2.0
2020-04-01,10.0,1.0,2.0,3.0,6.0,1014515.0,16.0,0.0
2020-04-02,14.0,1.0,3.0,2.0,8.0,1016266.0,17.0,1.0
2020-04-03,9.0,5.0,1.0,3.0,8.0,1016196.0,21.0,4.0
2020-04-04,15.0,1.0,3.0,3.0,10.0,1017226.0,22.0,1.0
2020-04-05,17.0,4.0,5.0,4.0,14.0,1016277.0,27.0,5.0
2020-04-06,27.0,6.0,2.0,5.0,11.0,1017065.0,29.0,2.0
2020-04-07,27.0,11.0,2.0,3.0,18.0,1016944.0,35.0,6.0
2020-04-08,36.0,12.0,6.0,6.0,20.0,1017194.0,44.0,9.0
2020-04-09,52.0,10.0,8.0,6.0,23.0,1016332.0,51.0,7.0
2020-04-10,69.0,10.0,10.0,4.0,24.0,1018101.0,57.0,6.0
2020-04-11,81.0,20.0,14.0,8.0,28.0,1018618.0,79.0,22.0
2020-04-12,96.0,16.0,14.0,15.0,36.0,1018798.0,91.0,12.0
2020-04-13,86.0,13.0,15.0,18.0,41.0,1019204.0,104.0,13.0
2020-04-14,119.0,18.0,22.0,15.0,45.0,1020529.0,121.0,17.0
2020-04-15,116.0,28.0,21.0,25.0,58.0,1020626.0,150.0,29.0
2020-04-16,134.0,29.0,29.0,24.0,72.0,1019787.0,181.0,31.0
2020-04-17,157.0,40.0,29.0,25.0,94.0,1019659.0,214.0,33.0
2020-04-18,208.0,40.0,35.0,20.0,104.0,1019904.0,240.0,26.0
2020-04-19,228.0,59.0,37.0,29.0,124.0,1019844.0,284.0,44.0
2020-04-20,282.0,57.0,57.0,43.0,143.0,1019864.0,326.0,42.0
2020-04-21,323.0,64.0,69.0,43.0,164.0,1020010.0,386.0,60.0
2020-04-22,387.0,74.0,59.0,60.0,203.0,1020676.0,445.0,59.0
2020-04-23,429.0,91.0,69.0,57.0,258.0,1021016.0,519.0,74.0
2020-04-24,514.0,104.0,84.0,87.0,290.0,1019914.0,598.0,79.0
2020-04-25,615.0,129.0,100.0,87.0,353.0,1020713.0,689.0,91.0
2020-04-26,678.0,156.0,104.0,117.0,392.0,1020613.0,822.0,133.0
2020-04-27,772.0,167.0,116.0,106.0,464.0,1019717.0,954.0,132.0
2020-04-28,915.0,219.0,150.0,123.0,541.0,1019580.0,1137.0,183.0
2020-04-29,1118.0,233.0,194.0,155.0,626.0,1019723.0,1313.0,176.0
2020-04-30,1265.0,306.0,241.0,182.0,721.0,1019026.0,1563.0,250.0
2020-05-01,1532.0,321.0,289.0,196.0,878.0,1018596.0,1806.0,243.0
2020-05-02,1728.0,388.0,302.0,256.0,1024.0,1020416.0,2091.0,285.0
2020-05-03,2049.0,440.0,379.0,293.0,1179.0,1019201.0,2455.0,364.0
2020-05-04,2421.0,519.0,446.0,339.0,1361.0,1017774.0,2887.0,432.0
2020-05-05,2857.0,599.0,533.0,390.0,1610.0,1016507.0,3363.0,476.0
2020-05-06,3328.0,703.0,593.0,461.0,1894.0,1016305.0,3927.0,564.0
2020-05-07,3793.0,834.0,673.0,548.0,2227.0,1015278.0,4591.0,664.0
2020-05-08,4509.0,960.0,789.0,646.0,2593.0,1013350.0,5343.0,752.0
2020-05-09,5399.0,1176.0,945.0,737.0,3024.0,1011937.0,6254.0,911.0
2020-05-10,6220.0,1392.0,1087.0,845.0,3546.0,1009654.0,7312.0,1058.0
2020-05-11,7103.0,1598.0,1285.0,987.0,4125.0,1006962.0,8523.0,1211.0
2020-05-12,8536.0,1830.0,1565.0,1157.0,4722.0,1005662.0,9955.0,1432.0
2020-05-13,9990.0,2123.0,1781.0,1425.0,5548.0,1003316.0,11597.0,1642.0
2020-05-14,11576.0,2505.0,2035.0,1688.0,6412.0,1000763.0,13587.0,1990.0
2020-05-15,13339.0,2996.0,2343.0,1896.0,7651.0,996709.0,15991.0,2404.0
2020-05-16,15537.0,3373.0,2768.0,2178.0,8862.0,991882.0,18604.0,2613.0
2020-05-17,17861.0,3916.0,3164.0,2582.0,10485.0,986348.0,21695.0,3091.0
2020-05-18,20708.0,4507.0,3658.0,2953.0,12430.0,980491.0,25233.0,3538.0
2020-05-19,24154.0,5306.0,4255.0,3411.0,14289.0,974440.0,29367.0,4134.0
2020-05-20,27815.0,6247.0,4904.0,4083.0,16658.0,965872.0,34074.0,4707.0
2020-05-21,32258.0,7314.0,5824.0,4774.0,19425.0,956153.0,39757.0,5683.0
2020-05-22,37055.0,8330.0,6763.0,5366.0,22704.0,945841.0,46099.0,6342.0
2020-05-23,42640.0,9635.0,7816.0,6207.0,26167.0,933260.0,53371.0,7272.0
2020-05-24,48926.0,11008.0,8976.0,7173.0,30586.0,918455.0,61780.0,8409.0
2020-05-25,55949.0,12420.0,10438.0,8320.0,35515.0,901698.0,71469.0,9689.0
2020-05-26,63674.0,14331.0,11585.0,9660.0,41236.0,883427.0,82496.0,11027.0
2020-05-27,72268.0,16461.0,13494.0,11160.0,47798.0,864227.0,95136.0,12640.0
2020-05-28,81315.0,19047.0,15417.0,12674.0,55166.0,840348.0,109440.0,14304.0
2020-05-29,91674.0,21042.0,17650.0,14428.0,64055.0,817442.0,125219.0,15779.0
2020-05-30,102197.0,23713.0,19988.0,16526.0,73558.0,790272.0,143089.0,17870.0
2020-05-31,113267.0,26447.0,22285.0,18752.0,85208.0,761905.0,162984.0,19895.0
2020-06-01,124895.0,29498.0,25017.0,20974.0,98135.0,730080.0,185011.0,22027.0
2020-06-02,136429.0,32232.0,28132.0,23599.0,112438.0,695032.0,209219.0,24208.0
2020-06-03,147411.0,35692.0,30630.0,26535.0,128197.0,658034.0,235616.0,26397.0
2020-06-04,157864.0,38659.0,33885.0,29146.0,145421.0,620204.0,264247.0,28631.0
2020-06-05,167679.0,41227.0,36815.0,32156.0,165630.0,582518.0,294363.0,30116.0
2020-06-06,176823.0,44396.0,39768.0,34931.0,186826.0,544413.0,326456.0,32093.0
2020-06-07,184455.0,46533.0,42694.0,38020.0,210174.0,506503.0,359836.0,33380.0
2020-06-08,189161.0,48855.0,45030.0,40564.0,234790.0,468005.0,394884.0,35048.0
2020-06-09,192324.0,50617.0,46884.0,43198.0,261548.0,430851.0,430690.0,35806.0
2020-06-10,194081.0,52028.0,48409.0,45310.0,290306.0,396049.0,467053.0,36363.0
2020-06-11,193750.0,52332.0,49736.0,47343.0,320059.0,363417.0,503343.0,36290.0
2020-06-12,190626.0,52401.0,50848.0,49204.0,351913.0,332536.0,539610.0,36267.0
2020-06-13,187052.0,52380.0,51297.0,49703.0,383554.0,303624.0,575224.0,35614.0
2020-06-14,180765.0,51358.0,51604.0,50185.0,415383.0,276903.0,610104.0,34880.0
2020-06-15,173788.0,49806.0,50618.0,50632.0,447871.0,253364.0,643286.0,33182.0
2020-06-16,165253.0,48251.0,49593.0,50301.0,479921.0,233164.0,675372.0,32086.0
2020-06-17,156062.0,45732.0,48553.0,49745.0,511481.0,214563.0,705762.0,30390.0
2020-06-18,147236.0,43478.0,46336.0,48673.0,543243.0,197732.0,734255.0,28493.0
2020-06-19,137262.0,41295.0,44184.0,46730.0,574325.0,183463.0,761224.0,26969.0
2020-06-20,127251.0,38677.0,41937.0,45071.0,602370.0,170684.0,786207.0,24983.0
2020-06-21,117681.0,36411.0,39718.0,42709.0,630610.0,158934.0,809384.0,23177.0
2020-06-22,108240.0,33564.0,37569.0,40741.0,656846.0,148748.0,831050.0,21666.0
2020-06-23,99566.0,31087.0,34770.0,38514.0,682941.0,139514.0,850668.0,19618.0
2020-06-24,91294.0,28545.0,32148.0,36136.0,707583.0,131820.0,868777.0,18109.0
2020-06-25,82836.0,26481.0,29837.0,33659.0,729368.0,125016.0,885555.0,16778.0
2020-06-26,75492.0,23882.0,27583.0,31306.0,750484.0,119120.0,900324.0,14769.0
2020-06-27,67992.0,21931.0,25170.0,28978.0,769129.0,114461.0,913992.0,13668.0
2020-06-28,61775.0,19997.0,22771.0,26513.0,786001.0,110010.0,926223.0,12231.0
2020-06-29,55476.0,17971.0,20675.0,24014.0,802378.0,106239.0,937212.0,10989.0
2020-06-30,49819.0,16223.0,18931.0,22075.0,816906.0,102732.0,947109.0,9897.0
2020-07-01,44887.0,14684.0,17298.0,20153.0,830731.0,99702.0,956081.0,8972.0
2020-07-02,40533.0,13314.0,15586.0,18326.0,843240.0,96990.0,964279.0,8198.0
2020-07-03,36529.0,11867.0,14195.0,16690.0,854380.0,94590.0,971491.0,7212.0
2020-07-04,32667.0,10553.0,12833.0,14964.0,864729.0,92901.0,978046.0,6555.0
2020-07-05,29150.0,9656.0,11522.0,13651.0,873286.0,90712.0,984008.0,5962.0
2020-07-06,26234.0,8673.0,10342.0,12245.0,881311.0,88931.0,989266.0,5258.0
