time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,0.0,0.0,0.0,969900.0,0.0,0.0
2020-03-07,0.0,1.0,1.0,0.0,0.0,971887.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,0.0,0.0,978247.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,0.0,0.0,985346.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,0.0,0.0,991465.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,0.0,995811.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,1.0,1000231.0,0.0,0.0
2020-03-13,0.0,0.0,1.0,0.0,1.0,1003162.0,0.0,0.0
2020-03-14,0.0,1.0,0.0,1.0,1.0,1005326.0,1.0,1.0
2020-03-15,1.0,1.0,0.0,1.0,1.0,1008156.0,1.0,0.0
2020-03-16,2.0,0.0,0.0,1.0,2.0,1008058.0,1.0,0.0
2020-03-17,1.0,0.0,0.0,1.0,2.0,1009323.0,1.0,0.0
2020-03-18,2.0,0.0,0.0,0.0,1.0,1010021.0,1.0,0.0
2020-03-19,2.0,0.0,0.0,0.0,1.0,1010750.0,1.0,0.0
2020-03-20,1.0,0.0,0.0,0.0,1.0,1012238.0,1.0,0.0
2020-03-21,0.0,0.0,0.0,0.0,0.0,1012979.0,1.0,0.0
2020-03-22,1.0,0.0,0.0,0.0,0.0,1012511.0,1.0,0.0
2020-03-23,1.0,0.0,0.0,0.0,0.0,1013539.0,1.0,0.0
2020-03-24,1.0,0.0,0.0,0.0,0.0,1014492.0,1.0,0.0
2020-03-25,1.0,1.0,0.0,0.0,0.0,1014507.0,2.0,1.0
2020-03-26,1.0,1.0,0.0,0.0,0.0,1013464.0,2.0,0.0
2020-03-27,0.0,0.0,0.0,0.0,0.0,1015001.0,2.0,0.0
2020-03-28,1.0,0.0,0.0,0.0,0.0,1015220.0,2.0,0.0
2020-03-29,1.0,0.0,0.0,0.0,0.0,1016663.0,2.0,0.0
2020-03-30,1.0,0.0,0.0,0.0,0.0,1014688.0,2.0,0.0
2020-03-31,3.0,0.0,0.0,0.0,0.0,1014754.0,2.0,0.0
2020-04-01,4.0,0.0,1.0,0.0,1.0,1015678.0,3.0,1.0
2020-04-02,5.0,4.0,1.0,0.0,1.0,1015061.0,6.0,3.0
2020-04-03,8.0,3.0,2.0,0.0,2.0,1016087.0,7.0,1.0
2020-04-04,10.0,6.0,1.0,0.0,4.0,1016509.0,10.0,3.0
2020-04-05,11.0,3.0,3.0,1.0,4.0,1018172.0,12.0,2.0
2020-04-06,13.0,3.0,2.0,0.0,7.0,1018268.0,15.0,3.0
2020-04-07,15.0,2.0,2.0,3.0,9.0,1018096.0,16.0,1.0
