time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,2.0,2.0,0.0,0.0,0.0,969274.0,0.0,0.0
2020-03-07,3.0,1.0,1.0,0.0,0.0,971590.0,0.0,0.0
2020-03-08,1.0,1.0,2.0,0.0,0.0,980016.0,2.0,2.0
2020-03-09,3.0,0.0,2.0,0.0,0.0,986325.0,3.0,1.0
2020-03-10,4.0,0.0,0.0,2.0,0.0,991731.0,3.0,0.0
2020-03-11,4.0,1.0,0.0,1.0,1.0,996187.0,4.0,1.0
2020-03-12,4.0,0.0,0.0,1.0,2.0,1000796.0,4.0,0.0
2020-03-13,4.0,1.0,0.0,0.0,2.0,1003018.0,4.0,0.0
2020-03-14,5.0,0.0,0.0,0.0,1.0,1006297.0,4.0,0.0
2020-03-15,4.0,1.0,0.0,0.0,1.0,1009238.0,5.0,1.0
2020-03-16,5.0,0.0,1.0,0.0,1.0,1009522.0,5.0,0.0
2020-03-17,5.0,1.0,0.0,0.0,1.0,1009949.0,6.0,1.0
2020-03-18,7.0,1.0,1.0,1.0,3.0,1010856.0,7.0,1.0
2020-03-19,7.0,1.0,3.0,0.0,4.0,1010896.0,9.0,2.0
2020-03-20,4.0,1.0,3.0,1.0,4.0,1011176.0,11.0,2.0
2020-03-21,7.0,1.0,1.0,1.0,3.0,1011233.0,11.0,0.0
2020-03-22,5.0,0.0,2.0,0.0,5.0,1012211.0,11.0,0.0
2020-03-23,7.0,1.0,1.0,1.0,6.0,1014015.0,11.0,0.0
2020-03-24,9.0,2.0,1.0,1.0,6.0,1015071.0,13.0,2.0
2020-03-25,8.0,1.0,1.0,1.0,6.0,1015239.0,14.0,1.0
2020-03-26,11.0,2.0,1.0,2.0,10.0,1015967.0,17.0,3.0
2020-03-27,16.0,3.0,2.0,3.0,11.0,1016728.0,19.0,2.0
2020-03-28,23.0,2.0,2.0,3.0,12.0,1016416.0,20.0,1.0
2020-03-29,25.0,5.0,4.0,2.0,11.0,1017090.0,26.0,6.0
2020-03-30,31.0,12.0,1.0,5.0,7.0,1016606.0,33.0,7.0
2020-03-31,38.0,13.0,9.0,7.0,13.0,1016974.0,41.0,8.0
2020-04-01,57.0,12.0,13.0,11.0,18.0,1015494.0,48.0,7.0
2020-04-02,66.0,13.0,20.0,12.0,20.0,1015849.0,64.0,16.0
2020-04-03,82.0,16.0,16.0,13.0,32.0,1016055.0,76.0,12.0
2020-04-04,66.0,18.0,16.0,18.0,49.0,1015706.0,92.0,16.0
2020-04-05,90.0,18.0,17.0,13.0,63.0,1016521.0,105.0,13.0
2020-04-06,119.0,26.0,20.0,14.0,59.0,1016059.0,124.0,19.0
2020-04-07,123.0,24.0,27.0,14.0,77.0,1016360.0,143.0,19.0
2020-04-08,150.0,26.0,22.0,22.0,91.0,1016297.0,168.0,25.0
2020-04-09,186.0,46.0,26.0,18.0,87.0,1016265.0,203.0,35.0
2020-04-10,200.0,52.0,30.0,15.0,109.0,1017509.0,243.0,40.0
2020-04-11,217.0,58.0,44.0,23.0,116.0,1017833.0,291.0,48.0
2020-04-12,257.0,61.0,48.0,38.0,130.0,1017343.0,324.0,33.0
2020-04-13,288.0,82.0,49.0,41.0,156.0,1018932.0,392.0,68.0
2020-04-14,359.0,76.0,67.0,42.0,185.0,1017290.0,447.0,55.0
2020-04-15,402.0,98.0,60.0,63.0,226.0,1018997.0,524.0,77.0
2020-04-16,474.0,117.0,84.0,63.0,264.0,1018469.0,616.0,92.0
2020-04-17,560.0,127.0,94.0,77.0,310.0,1018159.0,708.0,92.0
2020-04-18,655.0,142.0,108.0,86.0,369.0,1019004.0,816.0,108.0
2020-04-19,710.0,170.0,129.0,96.0,429.0,1019110.0,942.0,126.0
2020-04-20,850.0,195.0,154.0,126.0,517.0,1017496.0,1090.0,148.0
2020-04-21,1023.0,223.0,188.0,145.0,615.0,1017404.0,1252.0,162.0
2020-04-22,1223.0,267.0,207.0,167.0,739.0,1016414.0,1449.0,197.0
2020-04-23,1473.0,325.0,237.0,212.0,844.0,1017743.0,1710.0,261.0
2020-04-24,1681.0,329.0,308.0,237.0,954.0,1017439.0,1977.0,267.0
2020-04-25,1928.0,424.0,301.0,232.0,1079.0,1017757.0,2303.0,326.0
2020-04-26,2215.0,495.0,379.0,310.0,1262.0,1016772.0,2691.0,388.0
2020-04-27,2576.0,597.0,447.0,352.0,1504.0,1015701.0,3124.0,433.0
2020-04-28,3034.0,683.0,549.0,423.0,1692.0,1016295.0,3638.0,514.0
2020-04-29,3536.0,808.0,624.0,528.0,1981.0,1014566.0,4247.0,609.0
2020-04-30,4176.0,892.0,754.0,625.0,2349.0,1014005.0,4952.0,705.0
2020-05-01,4915.0,1092.0,840.0,725.0,2816.0,1013577.0,5830.0,878.0
