time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,2.0,0.0,0.0,0.0,970409.0,0.0,0.0
2020-03-07,2.0,1.0,0.0,0.0,0.0,972888.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,0.0,0.0,979869.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,0.0,0.0,987025.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,0.0,0.0,992552.0,0.0,0.0
2020-03-11,2.0,0.0,0.0,0.0,0.0,996676.0,0.0,0.0
2020-03-12,2.0,0.0,0.0,0.0,0.0,997912.0,0.0,0.0
2020-03-13,2.0,0.0,0.0,0.0,0.0,1002154.0,0.0,0.0
2020-03-14,2.0,0.0,0.0,0.0,0.0,1003894.0,0.0,0.0
2020-03-15,1.0,0.0,0.0,0.0,1.0,1005844.0,0.0,0.0
2020-03-16,3.0,0.0,0.0,0.0,2.0,1006125.0,0.0,0.0
2020-03-17,2.0,1.0,0.0,0.0,1.0,1008225.0,1.0,1.0
2020-03-18,0.0,1.0,0.0,1.0,0.0,1010404.0,2.0,1.0
2020-03-19,0.0,0.0,0.0,0.0,1.0,1012056.0,2.0,0.0
2020-03-20,0.0,0.0,0.0,0.0,2.0,1013326.0,2.0,0.0
2020-03-21,0.0,0.0,0.0,0.0,3.0,1012931.0,2.0,0.0
2020-03-22,0.0,0.0,0.0,0.0,4.0,1012950.0,2.0,0.0
2020-03-23,1.0,0.0,0.0,0.0,3.0,1013525.0,2.0,0.0
2020-03-24,1.0,1.0,0.0,0.0,3.0,1014415.0,3.0,1.0
2020-03-25,1.0,0.0,1.0,0.0,2.0,1013771.0,3.0,0.0
2020-03-26,6.0,0.0,0.0,1.0,1.0,1012520.0,3.0,0.0
2020-03-27,2.0,2.0,0.0,2.0,1.0,1013971.0,4.0,1.0
2020-03-28,10.0,1.0,1.0,1.0,5.0,1014595.0,4.0,0.0
2020-03-29,7.0,3.0,1.0,1.0,5.0,1015025.0,7.0,3.0
2020-03-30,8.0,2.0,2.0,0.0,4.0,1016035.0,9.0,2.0
2020-03-31,7.0,2.0,1.0,0.0,11.0,1015687.0,10.0,1.0
2020-04-01,11.0,3.0,2.0,1.0,5.0,1015305.0,12.0,2.0
2020-04-02,14.0,4.0,1.0,5.0,10.0,1014633.0,15.0,3.0
2020-04-03,19.0,5.0,2.0,4.0,8.0,1015739.0,17.0,2.0
2020-04-04,22.0,2.0,1.0,5.0,5.0,1016655.0,17.0,0.0
2020-04-05,24.0,7.0,0.0,4.0,9.0,1016709.0,21.0,4.0
2020-04-06,22.0,8.0,6.0,5.0,16.0,1017310.0,27.0,6.0
2020-04-07,32.0,8.0,4.0,9.0,23.0,1016556.0,31.0,4.0
2020-04-08,33.0,8.0,7.0,5.0,24.0,1016607.0,37.0,6.0
2020-04-09,45.0,9.0,7.0,6.0,24.0,1015469.0,43.0,6.0
2020-04-10,47.0,10.0,9.0,5.0,27.0,1016778.0,53.0,10.0
2020-04-11,49.0,22.0,9.0,10.0,36.0,1017686.0,68.0,15.0
2020-04-12,56.0,14.0,14.0,16.0,39.0,1017328.0,85.0,17.0
2020-04-13,83.0,14.0,13.0,13.0,54.0,1018034.0,93.0,8.0
2020-04-14,89.0,14.0,19.0,11.0,70.0,1019540.0,105.0,12.0
2020-04-15,98.0,24.0,18.0,16.0,72.0,1019581.0,121.0,16.0
2020-04-16,124.0,27.0,20.0,18.0,67.0,1020283.0,140.0,19.0
2020-04-17,145.0,38.0,27.0,17.0,93.0,1019538.0,165.0,25.0
2020-04-18,176.0,35.0,35.0,21.0,118.0,1020606.0,184.0,19.0
2020-04-19,195.0,43.0,34.0,32.0,131.0,1020183.0,216.0,32.0
2020-04-20,230.0,58.0,38.0,33.0,135.0,1019150.0,261.0,45.0
2020-04-21,268.0,63.0,42.0,37.0,165.0,1018696.0,313.0,52.0
2020-04-22,327.0,65.0,63.0,42.0,196.0,1020241.0,365.0,52.0
2020-04-23,356.0,86.0,79.0,44.0,226.0,1021438.0,435.0,70.0
2020-04-24,418.0,104.0,89.0,72.0,249.0,1020165.0,517.0,82.0
2020-04-25,498.0,125.0,100.0,84.0,312.0,1020733.0,613.0,96.0
2020-04-26,619.0,132.0,126.0,105.0,371.0,1021280.0,712.0,99.0
2020-04-27,744.0,151.0,120.0,125.0,406.0,1020709.0,823.0,111.0
2020-04-28,868.0,192.0,143.0,148.0,490.0,1020273.0,970.0,147.0
