time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,969885.0,0.0,0.0
2020-03-07,0.0,2.0,1.0,0.0,0.0,972351.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,1.0,1.0,979047.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,1.0,1.0,986477.0,0.0,0.0
2020-03-10,2.0,0.0,0.0,1.0,1.0,991875.0,0.0,0.0
2020-03-11,2.0,0.0,0.0,0.0,1.0,995235.0,0.0,0.0
2020-03-12,1.0,1.0,0.0,0.0,1.0,1001286.0,1.0,1.0
2020-03-13,1.0,0.0,0.0,0.0,2.0,1002599.0,1.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,2.0,1004890.0,1.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,1.0,1007197.0,1.0,0.0
2020-03-16,0.0,0.0,1.0,0.0,2.0,1008784.0,1.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,2.0,1009223.0,1.0,0.0
2020-03-18,1.0,0.0,0.0,0.0,1.0,1010839.0,1.0,0.0
2020-03-19,2.0,0.0,0.0,0.0,1.0,1011566.0,1.0,0.0
2020-03-20,4.0,1.0,0.0,0.0,1.0,1012143.0,2.0,1.0
2020-03-21,5.0,1.0,1.0,0.0,1.0,1012550.0,3.0,1.0
2020-03-22,7.0,5.0,0.0,0.0,0.0,1012300.0,7.0,4.0
2020-03-23,7.0,2.0,2.0,1.0,0.0,1013780.0,9.0,2.0
2020-03-24,8.0,2.0,3.0,2.0,0.0,1015026.0,11.0,2.0
2020-03-25,8.0,2.0,2.0,2.0,1.0,1015807.0,12.0,1.0
2020-03-26,8.0,4.0,1.0,1.0,1.0,1015366.0,15.0,3.0
2020-03-27,8.0,2.0,1.0,1.0,1.0,1015088.0,15.0,0.0
2020-03-28,9.0,2.0,3.0,3.0,3.0,1015935.0,18.0,3.0
2020-03-29,12.0,2.0,3.0,1.0,5.0,1016010.0,18.0,0.0
2020-03-30,16.0,4.0,3.0,2.0,7.0,1017013.0,21.0,3.0
2020-03-31,19.0,5.0,2.0,0.0,7.0,1016065.0,24.0,3.0
2020-04-01,14.0,6.0,7.0,2.0,6.0,1015718.0,30.0,6.0
2020-04-02,22.0,2.0,5.0,1.0,9.0,1016277.0,33.0,3.0
2020-04-03,21.0,5.0,4.0,2.0,15.0,1017086.0,37.0,4.0
2020-04-04,23.0,7.0,5.0,1.0,17.0,1016705.0,44.0,7.0
2020-04-05,27.0,8.0,6.0,1.0,15.0,1015993.0,50.0,6.0
2020-04-06,35.0,7.0,8.0,2.0,15.0,1015357.0,57.0,7.0
2020-04-07,33.0,7.0,3.0,5.0,19.0,1016846.0,59.0,2.0
2020-04-08,45.0,8.0,9.0,2.0,25.0,1017299.0,67.0,8.0
2020-04-09,48.0,14.0,6.0,11.0,30.0,1018005.0,80.0,13.0
2020-04-10,59.0,16.0,13.0,11.0,35.0,1018227.0,94.0,14.0
2020-04-11,84.0,18.0,13.0,11.0,54.0,1018267.0,105.0,11.0
2020-04-12,95.0,23.0,22.0,18.0,67.0,1017193.0,123.0,18.0
2020-04-13,114.0,24.0,28.0,16.0,79.0,1016958.0,138.0,15.0
2020-04-14,141.0,25.0,24.0,22.0,85.0,1017206.0,161.0,23.0
2020-04-15,181.0,40.0,30.0,27.0,97.0,1018148.0,201.0,40.0
2020-04-16,189.0,43.0,39.0,20.0,116.0,1017983.0,229.0,28.0
2020-04-17,228.0,45.0,58.0,31.0,122.0,1018253.0,268.0,39.0
2020-04-18,281.0,52.0,56.0,36.0,177.0,1017833.0,312.0,44.0
2020-04-19,323.0,74.0,59.0,45.0,196.0,1016940.0,373.0,61.0
2020-04-20,355.0,95.0,60.0,54.0,222.0,1018087.0,439.0,66.0
2020-04-21,444.0,104.0,89.0,65.0,255.0,1018383.0,527.0,88.0
2020-04-22,547.0,127.0,94.0,85.0,322.0,1019879.0,619.0,92.0
2020-04-23,639.0,133.0,110.0,102.0,384.0,1019790.0,713.0,94.0
2020-04-24,737.0,160.0,129.0,94.0,450.0,1019326.0,842.0,129.0
2020-04-25,837.0,189.0,159.0,110.0,515.0,1018945.0,989.0,147.0
2020-04-26,928.0,227.0,164.0,125.0,594.0,1019055.0,1153.0,164.0
2020-04-27,1144.0,259.0,187.0,160.0,695.0,1017557.0,1333.0,180.0
2020-04-28,1368.0,274.0,229.0,182.0,814.0,1018033.0,1540.0,207.0
2020-04-29,1517.0,363.0,272.0,212.0,902.0,1017477.0,1825.0,285.0
2020-04-30,1840.0,388.0,322.0,250.0,1075.0,1016687.0,2102.0,277.0
2020-05-01,2142.0,445.0,393.0,302.0,1238.0,1017766.0,2466.0,364.0
2020-05-02,2490.0,551.0,438.0,360.0,1503.0,1017570.0,2915.0,449.0
2020-05-03,3013.0,621.0,528.0,387.0,1706.0,1018049.0,3371.0,456.0
2020-05-04,3466.0,742.0,608.0,453.0,1987.0,1017276.0,3940.0,569.0
2020-05-05,4080.0,857.0,700.0,521.0,2339.0,1015273.0,4627.0,687.0
2020-05-06,4728.0,1037.0,868.0,628.0,2684.0,1014696.0,5454.0,827.0
2020-05-07,5563.0,1208.0,1005.0,770.0,3190.0,1013369.0,6383.0,929.0
2020-05-08,6444.0,1315.0,1153.0,920.0,3719.0,1010002.0,7428.0,1045.0
2020-05-09,7500.0,1675.0,1305.0,1081.0,4311.0,1008437.0,8743.0,1315.0
2020-05-10,8798.0,1929.0,1580.0,1246.0,5021.0,1006129.0,10236.0,1493.0
2020-05-11,10288.0,2287.0,1770.0,1434.0,5937.0,1003138.0,11950.0,1714.0
2020-05-12,12253.0,2600.0,2126.0,1745.0,6876.0,998551.0,14027.0,2077.0
2020-05-13,14151.0,3029.0,2418.0,2074.0,8099.0,994862.0,16404.0,2377.0
2020-05-14,16313.0,3690.0,2923.0,2343.0,9506.0,990205.0,19261.0,2857.0
2020-05-15,19008.0,4196.0,3444.0,2783.0,11209.0,984872.0,22480.0,3219.0
2020-05-16,22218.0,4912.0,3995.0,3148.0,13091.0,978143.0,26251.0,3771.0
2020-05-17,25867.0,5693.0,4612.0,3664.0,15319.0,970935.0,30644.0,4393.0
2020-05-18,29929.0,6561.0,5380.0,4335.0,17745.0,960415.0,35777.0,5133.0
2020-05-19,34178.0,7712.0,6186.0,5074.0,20751.0,951300.0,41733.0,5956.0
2020-05-20,39555.0,8848.0,7147.0,5922.0,24236.0,938749.0,48467.0,6734.0
2020-05-21,45554.0,10081.0,8124.0,6879.0,28377.0,927147.0,56243.0,7776.0
2020-05-22,52075.0,11530.0,9417.0,7686.0,33192.0,911659.0,65071.0,8828.0
2020-05-23,59504.0,13344.0,10876.0,8872.0,38244.0,894919.0,75221.0,10150.0
2020-05-24,67740.0,15168.0,12661.0,10122.0,44514.0,875235.0,86866.0,11645.0
2020-05-25,76780.0,17378.0,14251.0,11834.0,51277.0,854075.0,100091.0,13225.0
2020-05-26,86438.0,19752.0,16258.0,13682.0,59312.0,830176.0,115091.0,15000.0
2020-05-27,96969.0,22231.0,18568.0,15738.0,68711.0,803792.0,132013.0,16922.0
