time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,1.0,1.0,0.0,0.0,969245.0,0.0,0.0
2020-03-07,2.0,1.0,1.0,0.0,0.0,972376.0,0.0,0.0
2020-03-08,2.0,1.0,1.0,0.0,0.0,979169.0,1.0,1.0
2020-03-09,2.0,0.0,1.0,1.0,0.0,984949.0,1.0,0.0
2020-03-10,2.0,0.0,1.0,0.0,1.0,991006.0,1.0,0.0
2020-03-11,2.0,0.0,0.0,1.0,1.0,995781.0,1.0,0.0
2020-03-12,2.0,0.0,0.0,0.0,2.0,1000277.0,1.0,0.0
2020-03-13,1.0,0.0,0.0,0.0,2.0,1004388.0,1.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,1.0,1007429.0,1.0,0.0
2020-03-15,1.0,0.0,0.0,0.0,0.0,1008085.0,1.0,0.0
2020-03-16,1.0,0.0,0.0,0.0,0.0,1009329.0,1.0,0.0
2020-03-17,2.0,0.0,0.0,0.0,0.0,1009774.0,1.0,0.0
2020-03-18,1.0,0.0,1.0,0.0,0.0,1010020.0,2.0,1.0
2020-03-19,0.0,0.0,0.0,0.0,2.0,1010631.0,2.0,0.0
2020-03-20,0.0,0.0,0.0,0.0,2.0,1011727.0,2.0,0.0
2020-03-21,1.0,0.0,0.0,0.0,2.0,1011701.0,2.0,0.0
2020-03-22,1.0,0.0,0.0,1.0,2.0,1011794.0,2.0,0.0
2020-03-23,1.0,0.0,0.0,0.0,3.0,1012090.0,2.0,0.0
2020-03-24,2.0,0.0,1.0,0.0,2.0,1013464.0,2.0,0.0
2020-03-25,4.0,1.0,0.0,1.0,2.0,1013402.0,3.0,1.0
2020-03-26,3.0,1.0,0.0,1.0,2.0,1014198.0,4.0,1.0
2020-03-27,5.0,0.0,2.0,0.0,2.0,1012695.0,5.0,1.0
2020-03-28,4.0,1.0,2.0,0.0,1.0,1012957.0,6.0,1.0
2020-03-29,3.0,3.0,0.0,1.0,2.0,1012722.0,8.0,2.0
2020-03-30,4.0,0.0,1.0,0.0,3.0,1013802.0,8.0,0.0
2020-03-31,4.0,0.0,0.0,1.0,2.0,1014124.0,8.0,0.0
2020-04-01,5.0,2.0,1.0,0.0,3.0,1013460.0,10.0,2.0
2020-04-02,9.0,0.0,2.0,2.0,4.0,1013938.0,11.0,1.0
2020-04-03,11.0,1.0,2.0,1.0,3.0,1013818.0,12.0,1.0
2020-04-04,9.0,3.0,3.0,2.0,3.0,1016133.0,16.0,4.0
2020-04-05,7.0,4.0,2.0,1.0,6.0,1016851.0,19.0,3.0
2020-04-06,8.0,2.0,2.0,1.0,10.0,1016733.0,20.0,1.0
2020-04-07,13.0,2.0,1.0,2.0,11.0,1017698.0,21.0,1.0
2020-04-08,17.0,4.0,1.0,1.0,12.0,1018900.0,24.0,3.0
2020-04-09,27.0,2.0,3.0,2.0,11.0,1018586.0,25.0,1.0
2020-04-10,21.0,5.0,3.0,3.0,11.0,1018658.0,29.0,4.0
2020-04-11,22.0,5.0,2.0,3.0,12.0,1018612.0,34.0,5.0
2020-04-12,24.0,2.0,8.0,0.0,18.0,1019218.0,39.0,5.0
2020-04-13,30.0,7.0,7.0,5.0,21.0,1018859.0,44.0,5.0
2020-04-14,31.0,6.0,7.0,2.0,25.0,1018326.0,50.0,6.0
2020-04-15,39.0,5.0,6.0,9.0,31.0,1018664.0,53.0,3.0
2020-04-16,47.0,5.0,9.0,7.0,32.0,1018032.0,57.0,4.0
2020-04-17,54.0,9.0,6.0,4.0,36.0,1019666.0,65.0,8.0
2020-04-18,52.0,13.0,11.0,10.0,38.0,1020323.0,76.0,11.0
2020-04-19,65.0,11.0,19.0,9.0,49.0,1021893.0,85.0,9.0
2020-04-20,81.0,21.0,16.0,19.0,53.0,1021461.0,103.0,18.0
2020-04-21,85.0,26.0,21.0,12.0,75.0,1021563.0,122.0,19.0
2020-04-22,119.0,31.0,21.0,17.0,75.0,1021365.0,139.0,17.0
2020-04-23,138.0,31.0,27.0,15.0,84.0,1020763.0,161.0,22.0
2020-04-24,153.0,33.0,36.0,23.0,108.0,1019588.0,191.0,30.0
2020-04-25,182.0,30.0,30.0,32.0,129.0,1020536.0,217.0,26.0
2020-04-26,221.0,44.0,36.0,25.0,133.0,1020617.0,240.0,23.0
2020-04-27,290.0,61.0,46.0,31.0,157.0,1021466.0,288.0,48.0
2020-04-28,353.0,72.0,67.0,29.0,160.0,1020920.0,345.0,57.0
2020-04-29,435.0,91.0,71.0,59.0,185.0,1021044.0,410.0,65.0
2020-04-30,476.0,94.0,83.0,68.0,247.0,1021526.0,501.0,91.0
2020-05-01,563.0,111.0,106.0,70.0,301.0,1021602.0,597.0,96.0
2020-05-02,652.0,132.0,120.0,85.0,359.0,1020674.0,709.0,112.0
2020-05-03,764.0,162.0,123.0,118.0,445.0,1020895.0,851.0,142.0
2020-05-04,890.0,198.0,155.0,133.0,524.0,1021407.0,1023.0,172.0
2020-05-05,1098.0,212.0,201.0,152.0,614.0,1020612.0,1186.0,163.0
2020-05-06,1241.0,277.0,227.0,210.0,704.0,1021640.0,1415.0,229.0
2020-05-07,1444.0,311.0,265.0,242.0,820.0,1021322.0,1674.0,259.0
2020-05-08,1675.0,368.0,305.0,251.0,963.0,1020053.0,1958.0,284.0
2020-05-09,2071.0,414.0,359.0,288.0,1122.0,1019049.0,2294.0,336.0
2020-05-10,2361.0,529.0,377.0,344.0,1313.0,1018424.0,2728.0,434.0
2020-05-11,2775.0,547.0,466.0,371.0,1602.0,1017856.0,3149.0,421.0
2020-05-12,3299.0,719.0,517.0,419.0,1831.0,1017039.0,3678.0,529.0
2020-05-13,3819.0,881.0,651.0,481.0,2125.0,1015410.0,4363.0,685.0
2020-05-14,4454.0,1024.0,804.0,618.0,2402.0,1014385.0,5177.0,814.0
2020-05-15,5225.0,1236.0,976.0,725.0,2864.0,1012725.0,6113.0,936.0
2020-05-16,6244.0,1382.0,1073.0,907.0,3417.0,1011997.0,7163.0,1050.0
2020-05-17,7300.0,1668.0,1296.0,1057.0,4074.0,1009839.0,8470.0,1307.0
2020-05-18,8552.0,1848.0,1535.0,1200.0,4842.0,1006536.0,9913.0,1443.0
2020-05-19,9897.0,2189.0,1772.0,1438.0,5722.0,1003396.0,11624.0,1711.0
2020-05-20,11454.0,2588.0,2039.0,1616.0,6659.0,999633.0,13611.0,1987.0
2020-05-21,13529.0,2937.0,2407.0,1900.0,7905.0,995333.0,15921.0,2310.0
2020-05-22,15750.0,3422.0,2755.0,2263.0,9248.0,991065.0,18523.0,2602.0
2020-05-23,18224.0,4026.0,3186.0,2643.0,10739.0,985578.0,21599.0,3076.0
2020-05-24,21170.0,4719.0,3732.0,3076.0,12468.0,978907.0,25242.0,3643.0
2020-05-25,24279.0,5461.0,4383.0,3428.0,14630.0,971334.0,29395.0,4153.0
2020-05-26,28439.0,6222.0,5140.0,4045.0,17094.0,963241.0,34111.0,4716.0
2020-05-27,32758.0,7163.0,5875.0,4852.0,19904.0,954456.0,39672.0,5561.0
2020-05-28,37858.0,8577.0,6704.0,5489.0,23289.0,943141.0,46274.0,6602.0
2020-05-29,43558.0,9697.0,7901.0,6294.0,27196.0,930614.0,53747.0,7473.0
2020-05-30,49539.0,11087.0,8916.0,7325.0,31471.0,916853.0,62210.0,8463.0
2020-05-31,56807.0,12693.0,10384.0,8512.0,36525.0,899768.0,71927.0,9717.0
2020-06-01,64731.0,14466.0,11878.0,9944.0,42467.0,881081.0,83235.0,11308.0
2020-06-02,73174.0,16722.0,13702.0,11199.0,49243.0,860039.0,96014.0,12779.0
2020-06-03,82845.0,18899.0,15592.0,12993.0,56764.0,837474.0,110367.0,14353.0
2020-06-04,93474.0,21508.0,17906.0,14793.0,65863.0,812145.0,126657.0,16290.0
2020-06-05,104248.0,24175.0,20371.0,16769.0,76488.0,784108.0,144822.0,18165.0
2020-06-06,115419.0,27155.0,22775.0,19261.0,87771.0,753859.0,165007.0,20185.0
2020-06-07,127010.0,29825.0,25480.0,21708.0,101239.0,721408.0,187344.0,22337.0
2020-06-08,138781.0,33078.0,28252.0,24325.0,115999.0,685798.0,211719.0,24375.0
2020-06-09,149963.0,36147.0,31707.0,26791.0,132689.0,648919.0,238505.0,26786.0
2020-06-10,160433.0,39122.0,34306.0,30125.0,151115.0,610947.0,267370.0,28865.0
2020-06-11,170463.0,42142.0,37553.0,32877.0,171352.0,572038.0,298159.0,30789.0
2020-06-12,179076.0,45262.0,40242.0,35846.0,193475.0,532669.0,330766.0,32607.0
2020-06-13,186191.0,47553.0,43158.0,38742.0,217769.0,493433.0,364925.0,34159.0
2020-06-14,190903.0,49300.0,45573.0,41704.0,243859.0,455290.0,399861.0,34936.0
2020-06-15,194072.0,50871.0,47993.0,44337.0,271657.0,418664.0,435977.0,36116.0
2020-06-16,194555.0,51890.0,49254.0,46319.0,301159.0,384134.0,472315.0,36338.0
2020-06-17,193244.0,52320.0,50585.0,48032.0,332106.0,350906.0,508562.0,36247.0
2020-06-18,189973.0,52430.0,50864.0,49379.0,364936.0,319498.0,544721.0,36159.0
2020-06-19,184716.0,51758.0,51588.0,50059.0,396218.0,292060.0,579987.0,35266.0
2020-06-20,178208.0,51056.0,51318.0,50708.0,428003.0,266469.0,614252.0,34265.0
2020-06-21,171434.0,49206.0,50886.0,50958.0,461416.0,243749.0,647339.0,33087.0
2020-06-22,162249.0,47615.0,49509.0,50416.0,494741.0,222933.0,678899.0,31560.0
2020-06-23,153433.0,45175.0,47707.0,49465.0,527048.0,204461.0,708675.0,29776.0
2020-06-24,143600.0,42844.0,45540.0,47866.0,558590.0,188439.0,736589.0,27914.0
2020-06-25,133513.0,40160.0,43735.0,46355.0,589324.0,174483.0,762883.0,26294.0
2020-06-26,124254.0,37499.0,41133.0,44258.0,619104.0,162244.0,786948.0,24065.0
2020-06-27,113319.0,35174.0,38840.0,42186.0,647123.0,151280.0,809568.0,22620.0
2020-06-28,104043.0,32649.0,36175.0,39713.0,674384.0,141766.0,830414.0,20846.0
2020-06-29,94852.0,30041.0,34057.0,37400.0,699017.0,133629.0,849428.0,19014.0
2020-06-30,86248.0,27311.0,31411.0,34951.0,722263.0,126199.0,866603.0,17175.0
2020-07-01,78527.0,25154.0,28666.0,32519.0,744437.0,119681.0,882393.0,15790.0
2020-07-02,71011.0,22965.0,26343.0,29917.0,764730.0,114479.0,896687.0,14294.0
2020-07-03,63923.0,20591.0,24122.0,27499.0,782912.0,109821.0,909478.0,12791.0
2020-07-04,57488.0,18529.0,21789.0,25241.0,799168.0,105604.0,920981.0,11503.0
2020-07-05,51776.0,16990.0,19948.0,23078.0,813343.0,101850.0,931530.0,10549.0
2020-07-06,46646.0,15430.0,17859.0,21140.0,828443.0,98752.0,940877.0,9347.0
