time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,969965.0,0.0,0.0
2020-03-07,1.0,0.0,1.0,0.0,0.0,971589.0,0.0,0.0
2020-03-08,3.0,0.0,0.0,1.0,0.0,980401.0,0.0,0.0
2020-03-09,4.0,0.0,0.0,1.0,0.0,987696.0,0.0,0.0
2020-03-10,3.0,1.0,1.0,0.0,1.0,993190.0,2.0,2.0
2020-03-11,3.0,0.0,0.0,0.0,1.0,996725.0,2.0,0.0
2020-03-12,1.0,1.0,0.0,0.0,1.0,1000267.0,2.0,0.0
2020-03-13,2.0,1.0,0.0,0.0,0.0,1003398.0,2.0,0.0
2020-03-14,2.0,1.0,0.0,1.0,0.0,1004891.0,3.0,1.0
2020-03-15,1.0,1.0,1.0,2.0,1.0,1007153.0,5.0,2.0
2020-03-16,4.0,0.0,2.0,0.0,2.0,1008357.0,5.0,0.0
2020-03-17,4.0,1.0,0.0,0.0,0.0,1009050.0,6.0,1.0
2020-03-18,4.0,1.0,0.0,0.0,0.0,1010755.0,6.0,0.0
2020-03-19,4.0,1.0,0.0,0.0,1.0,1011381.0,6.0,0.0
2020-03-20,5.0,0.0,1.0,0.0,1.0,1011956.0,6.0,0.0
2020-03-21,6.0,1.0,1.0,0.0,0.0,1013775.0,6.0,0.0
2020-03-22,4.0,2.0,3.0,1.0,0.0,1012029.0,10.0,4.0
2020-03-23,9.0,1.0,3.0,2.0,0.0,1013213.0,10.0,0.0
2020-03-24,6.0,3.0,1.0,2.0,3.0,1014310.0,12.0,2.0
2020-03-25,10.0,3.0,2.0,1.0,3.0,1014186.0,13.0,1.0
2020-03-26,10.0,4.0,4.0,2.0,2.0,1014906.0,15.0,2.0
2020-03-27,14.0,2.0,5.0,2.0,3.0,1015948.0,17.0,2.0
2020-03-28,17.0,6.0,5.0,0.0,4.0,1015529.0,23.0,6.0
2020-03-29,20.0,5.0,2.0,4.0,4.0,1015708.0,25.0,2.0
2020-03-30,20.0,7.0,2.0,3.0,6.0,1016094.0,28.0,3.0
2020-03-31,20.0,7.0,2.0,3.0,6.0,1016646.0,33.0,5.0
2020-04-01,18.0,3.0,4.0,1.0,6.0,1017495.0,34.0,1.0
2020-04-02,23.0,4.0,1.0,5.0,4.0,1017785.0,38.0,4.0
2020-04-03,22.0,7.0,3.0,2.0,12.0,1018052.0,48.0,10.0
2020-04-04,30.0,9.0,8.0,3.0,12.0,1018673.0,52.0,4.0
2020-04-05,35.0,12.0,9.0,2.0,11.0,1018709.0,63.0,11.0
2020-04-06,43.0,12.0,15.0,9.0,14.0,1018450.0,71.0,8.0
2020-04-07,57.0,16.0,12.0,9.0,21.0,1018383.0,80.0,9.0
2020-04-08,58.0,17.0,14.0,7.0,24.0,1019537.0,90.0,10.0
2020-04-09,62.0,20.0,12.0,14.0,29.0,1018097.0,108.0,18.0
2020-04-10,80.0,22.0,18.0,10.0,45.0,1019600.0,121.0,13.0
2020-04-11,105.0,23.0,19.0,19.0,56.0,1019145.0,137.0,16.0
2020-04-12,137.0,29.0,23.0,25.0,62.0,1019257.0,158.0,21.0
2020-04-13,156.0,19.0,23.0,27.0,81.0,1019002.0,174.0,16.0
2020-04-14,167.0,32.0,20.0,23.0,87.0,1019036.0,203.0,29.0
2020-04-15,206.0,37.0,27.0,23.0,110.0,1018800.0,232.0,29.0
2020-04-16,207.0,52.0,35.0,33.0,135.0,1018117.0,282.0,50.0
2020-04-17,238.0,58.0,42.0,38.0,165.0,1019924.0,327.0,45.0
2020-04-18,297.0,81.0,49.0,39.0,198.0,1021637.0,385.0,58.0
2020-04-19,369.0,89.0,67.0,68.0,221.0,1020972.0,451.0,66.0
2020-04-20,461.0,100.0,73.0,64.0,246.0,1020551.0,517.0,66.0
2020-04-21,484.0,119.0,101.0,82.0,300.0,1020847.0,625.0,108.0
2020-04-22,581.0,127.0,109.0,85.0,326.0,1018984.0,724.0,99.0
2020-04-23,654.0,159.0,116.0,101.0,355.0,1018935.0,848.0,124.0
2020-04-24,767.0,173.0,122.0,132.0,419.0,1018030.0,988.0,140.0
