time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,1.0,0.0,0.0,0.0,970461.0,0.0,0.0
2020-03-07,1.0,0.0,0.0,0.0,0.0,973818.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,0.0,0.0,981148.0,0.0,0.0
2020-03-09,2.0,0.0,0.0,0.0,0.0,987314.0,0.0,0.0
2020-03-10,2.0,0.0,0.0,0.0,0.0,991934.0,0.0,0.0
2020-03-11,1.0,0.0,0.0,0.0,0.0,996348.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,0.0,999533.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,0.0,1002625.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,0.0,1005462.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,1.0,1006169.0,0.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,2.0,1006674.0,0.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,2.0,1009758.0,0.0,0.0
2020-03-18,0.0,0.0,1.0,0.0,2.0,1010972.0,0.0,0.0
2020-03-19,0.0,1.0,1.0,1.0,0.0,1010794.0,1.0,1.0
2020-03-20,1.0,0.0,1.0,2.0,0.0,1011985.0,1.0,0.0
2020-03-21,3.0,1.0,0.0,0.0,3.0,1012868.0,2.0,1.0
2020-03-22,4.0,1.0,0.0,0.0,3.0,1013279.0,3.0,1.0
2020-03-23,4.0,1.0,2.0,0.0,4.0,1013713.0,4.0,1.0
2020-03-24,4.0,1.0,0.0,0.0,5.0,1014001.0,5.0,1.0
2020-03-25,3.0,1.0,0.0,0.0,4.0,1013625.0,6.0,1.0
2020-03-26,5.0,0.0,0.0,2.0,1.0,1014037.0,6.0,0.0
2020-03-27,4.0,1.0,1.0,1.0,5.0,1013156.0,8.0,2.0
2020-03-28,5.0,2.0,2.0,0.0,5.0,1013021.0,11.0,3.0
2020-03-29,4.0,1.0,0.0,2.0,4.0,1015618.0,12.0,1.0
2020-03-30,9.0,0.0,2.0,1.0,3.0,1015921.0,13.0,1.0
2020-03-31,14.0,2.0,3.0,2.0,2.0,1014484.0,15.0,2.0
2020-04-01,11.0,4.0,3.0,2.0,6.0,1015272.0,18.0,3.0
2020-04-02,9.0,1.0,2.0,1.0,13.0,1016714.0,20.0,2.0
2020-04-03,11.0,3.0,2.0,2.0,9.0,1017993.0,22.0,2.0
2020-04-04,17.0,4.0,3.0,2.0,11.0,1018143.0,28.0,6.0
2020-04-05,24.0,5.0,3.0,4.0,10.0,1016956.0,32.0,4.0
2020-04-06,29.0,7.0,5.0,4.0,20.0,1016538.0,37.0,5.0
2020-04-07,27.0,13.0,7.0,5.0,18.0,1017277.0,46.0,9.0
2020-04-08,38.0,10.0,11.0,6.0,19.0,1017217.0,53.0,7.0
2020-04-09,44.0,7.0,8.0,13.0,26.0,1017643.0,57.0,4.0
2020-04-10,50.0,13.0,8.0,8.0,29.0,1017906.0,68.0,11.0
2020-04-11,55.0,13.0,9.0,7.0,34.0,1018941.0,78.0,10.0
2020-04-12,59.0,16.0,7.0,11.0,40.0,1018636.0,92.0,14.0
2020-04-13,64.0,13.0,15.0,8.0,56.0,1019392.0,105.0,13.0
2020-04-14,90.0,19.0,13.0,14.0,57.0,1020237.0,118.0,13.0
2020-04-15,101.0,23.0,19.0,17.0,55.0,1020285.0,137.0,19.0
2020-04-16,102.0,18.0,20.0,17.0,75.0,1019274.0,157.0,20.0
2020-04-17,132.0,25.0,29.0,19.0,80.0,1021147.0,176.0,19.0
2020-04-18,177.0,36.0,31.0,27.0,103.0,1019305.0,207.0,31.0
