time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,969527.0,0.0,0.0
2020-03-07,3.0,1.0,1.0,0.0,0.0,972253.0,0.0,0.0
2020-03-08,3.0,0.0,0.0,1.0,1.0,978943.0,0.0,0.0
2020-03-09,3.0,0.0,0.0,1.0,1.0,985515.0,0.0,0.0
2020-03-10,2.0,1.0,0.0,0.0,1.0,990233.0,1.0,1.0
2020-03-11,0.0,0.0,0.0,0.0,0.0,996803.0,1.0,0.0
2020-03-12,1.0,0.0,0.0,0.0,0.0,999482.0,1.0,0.0
2020-03-13,2.0,0.0,0.0,0.0,0.0,1003208.0,1.0,0.0
2020-03-14,3.0,0.0,0.0,0.0,1.0,1005276.0,1.0,0.0
2020-03-15,3.0,1.0,0.0,0.0,1.0,1006793.0,2.0,1.0
2020-03-16,3.0,1.0,1.0,0.0,1.0,1008301.0,3.0,1.0
2020-03-17,2.0,1.0,1.0,1.0,1.0,1008091.0,4.0,1.0
2020-03-18,4.0,1.0,1.0,0.0,2.0,1009635.0,4.0,0.0
2020-03-19,2.0,2.0,0.0,0.0,1.0,1010391.0,6.0,2.0
2020-03-20,3.0,2.0,3.0,0.0,0.0,1011696.0,7.0,1.0
2020-03-21,6.0,2.0,5.0,1.0,0.0,1012809.0,10.0,3.0
2020-03-22,6.0,3.0,0.0,1.0,1.0,1012929.0,10.0,0.0
2020-03-23,7.0,5.0,1.0,1.0,2.0,1013310.0,15.0,5.0
2020-03-24,10.0,3.0,2.0,1.0,3.0,1014119.0,17.0,2.0
2020-03-25,10.0,3.0,2.0,2.0,2.0,1014630.0,19.0,2.0
2020-03-26,13.0,5.0,1.0,1.0,3.0,1014056.0,20.0,1.0
2020-03-27,15.0,7.0,3.0,3.0,3.0,1014626.0,24.0,4.0
2020-03-28,19.0,11.0,5.0,3.0,3.0,1014246.0,29.0,5.0
2020-03-29,30.0,10.0,5.0,3.0,7.0,1015194.0,33.0,4.0
2020-03-30,34.0,8.0,4.0,1.0,9.0,1015810.0,40.0,7.0
2020-03-31,36.0,9.0,5.0,2.0,14.0,1015111.0,44.0,4.0
2020-04-01,33.0,7.0,7.0,2.0,16.0,1015255.0,51.0,7.0
2020-04-02,34.0,3.0,9.0,5.0,17.0,1015737.0,52.0,1.0
2020-04-03,44.0,10.0,8.0,6.0,23.0,1015877.0,61.0,9.0
2020-04-04,57.0,13.0,12.0,11.0,26.0,1016358.0,70.0,9.0
2020-04-05,56.0,17.0,10.0,13.0,31.0,1016863.0,82.0,12.0
2020-04-06,70.0,24.0,11.0,13.0,39.0,1017469.0,97.0,15.0
2020-04-07,74.0,19.0,22.0,12.0,54.0,1017559.0,111.0,14.0
2020-04-08,96.0,23.0,18.0,14.0,60.0,1016953.0,131.0,20.0
2020-04-09,112.0,31.0,15.0,20.0,68.0,1017707.0,154.0,23.0
2020-04-10,139.0,32.0,25.0,21.0,79.0,1018665.0,177.0,23.0
2020-04-11,170.0,34.0,27.0,26.0,95.0,1018301.0,201.0,24.0
2020-04-12,201.0,43.0,30.0,35.0,107.0,1017287.0,243.0,42.0
2020-04-13,229.0,44.0,45.0,35.0,123.0,1016450.0,281.0,38.0
2020-04-14,254.0,44.0,46.0,37.0,127.0,1017259.0,323.0,42.0
2020-04-15,279.0,65.0,49.0,40.0,165.0,1017252.0,375.0,52.0
2020-04-16,326.0,73.0,58.0,45.0,195.0,1018424.0,434.0,59.0
2020-04-17,388.0,78.0,76.0,51.0,229.0,1018071.0,486.0,52.0
2020-04-18,410.0,104.0,67.0,67.0,246.0,1018747.0,576.0,90.0
2020-04-19,505.0,106.0,105.0,74.0,293.0,1019731.0,670.0,94.0
2020-04-20,604.0,140.0,107.0,95.0,341.0,1020128.0,786.0,116.0
2020-04-21,702.0,166.0,123.0,102.0,391.0,1019481.0,908.0,122.0
2020-04-22,847.0,172.0,143.0,101.0,472.0,1019154.0,1037.0,129.0
2020-04-23,939.0,214.0,155.0,140.0,512.0,1017714.0,1220.0,183.0
2020-04-24,1079.0,260.0,202.0,141.0,596.0,1019016.0,1410.0,190.0
2020-04-25,1270.0,267.0,216.0,199.0,687.0,1017931.0,1609.0,199.0
2020-04-26,1452.0,304.0,260.0,191.0,786.0,1018153.0,1845.0,236.0
2020-04-27,1705.0,349.0,278.0,220.0,950.0,1018461.0,2115.0,270.0
2020-04-28,1979.0,475.0,331.0,275.0,1086.0,1016789.0,2495.0,380.0
2020-04-29,2318.0,490.0,419.0,319.0,1229.0,1015584.0,2847.0,352.0
2020-04-30,2758.0,594.0,507.0,370.0,1451.0,1015060.0,3296.0,449.0
2020-05-01,3152.0,737.0,603.0,468.0,1685.0,1014187.0,3901.0,605.0
2020-05-02,3790.0,831.0,686.0,526.0,2058.0,1012907.0,4494.0,593.0
