time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,970160.0,0.0,0.0
2020-03-07,0.0,1.0,1.0,1.0,0.0,973038.0,0.0,0.0
2020-03-08,2.0,0.0,1.0,0.0,0.0,979924.0,0.0,0.0
2020-03-09,2.0,0.0,0.0,0.0,0.0,986859.0,0.0,0.0
2020-03-10,2.0,0.0,1.0,0.0,0.0,992679.0,1.0,1.0
2020-03-11,1.0,0.0,0.0,0.0,1.0,997397.0,1.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,1.0,1000837.0,1.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,1.0,1003511.0,1.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,1.0,1005339.0,1.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,1.0,1006587.0,1.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,1.0,1007134.0,1.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,1.0,1008920.0,1.0,0.0
2020-03-18,0.0,0.0,0.0,0.0,1.0,1010444.0,1.0,0.0
2020-03-19,0.0,0.0,0.0,0.0,1.0,1012384.0,1.0,0.0
2020-03-20,0.0,1.0,0.0,0.0,2.0,1012479.0,1.0,0.0
2020-03-21,3.0,1.0,0.0,0.0,2.0,1012879.0,1.0,0.0
2020-03-22,6.0,0.0,0.0,0.0,1.0,1012888.0,2.0,1.0
2020-03-23,3.0,2.0,1.0,0.0,0.0,1013363.0,2.0,0.0
2020-03-24,11.0,2.0,3.0,1.0,2.0,1013432.0,2.0,0.0
2020-03-25,14.0,2.0,3.0,0.0,2.0,1014229.0,5.0,3.0
2020-03-26,17.0,4.0,5.0,1.0,4.0,1014060.0,10.0,5.0
2020-03-27,20.0,4.0,5.0,2.0,10.0,1013294.0,13.0,3.0
2020-03-28,19.0,7.0,3.0,3.0,12.0,1013507.0,15.0,2.0
2020-03-29,22.0,4.0,5.0,2.0,13.0,1014011.0,17.0,2.0
2020-03-30,26.0,2.0,7.0,2.0,12.0,1014821.0,21.0,4.0
2020-03-31,32.0,4.0,7.0,5.0,10.0,1015464.0,26.0,5.0
2020-04-01,40.0,6.0,8.0,4.0,11.0,1016871.0,30.0,4.0
2020-04-02,52.0,6.0,5.0,4.0,12.0,1017918.0,34.0,4.0
2020-04-03,52.0,8.0,6.0,4.0,17.0,1015727.0,38.0,4.0
2020-04-04,50.0,9.0,11.0,6.0,24.0,1015713.0,49.0,11.0
2020-04-05,55.0,7.0,5.0,11.0,25.0,1015268.0,55.0,6.0
2020-04-06,74.0,8.0,5.0,9.0,35.0,1015809.0,64.0,9.0
2020-04-07,78.0,20.0,12.0,9.0,45.0,1016707.0,81.0,17.0
2020-04-08,90.0,17.0,18.0,17.0,51.0,1017534.0,102.0,21.0
2020-04-09,102.0,22.0,17.0,20.0,56.0,1019076.0,120.0,18.0
2020-04-10,126.0,36.0,28.0,22.0,76.0,1019266.0,154.0,34.0
2020-04-11,160.0,33.0,29.0,24.0,92.0,1020469.0,174.0,20.0
2020-04-12,164.0,41.0,39.0,19.0,102.0,1018833.0,204.0,30.0
2020-04-13,189.0,40.0,33.0,28.0,122.0,1019612.0,235.0,31.0
2020-04-14,184.0,42.0,38.0,24.0,128.0,1018749.0,267.0,32.0
2020-04-15,235.0,52.0,48.0,37.0,144.0,1018917.0,312.0,45.0
2020-04-16,319.0,63.0,53.0,41.0,159.0,1018168.0,357.0,45.0
2020-04-17,386.0,80.0,61.0,52.0,200.0,1017599.0,422.0,65.0
2020-04-18,439.0,93.0,68.0,53.0,237.0,1018331.0,487.0,65.0
2020-04-19,467.0,112.0,95.0,72.0,296.0,1018931.0,577.0,90.0
2020-04-20,526.0,119.0,116.0,76.0,341.0,1020344.0,673.0,96.0
2020-04-21,634.0,151.0,134.0,89.0,410.0,1019715.0,800.0,127.0
2020-04-22,750.0,146.0,170.0,116.0,449.0,1018896.0,925.0,125.0
2020-04-23,897.0,193.0,167.0,133.0,539.0,1018350.0,1081.0,156.0
2020-04-24,1101.0,232.0,188.0,166.0,623.0,1017606.0,1256.0,175.0
2020-04-25,1313.0,264.0,216.0,181.0,782.0,1018476.0,1471.0,215.0
2020-04-26,1548.0,297.0,237.0,211.0,884.0,1017818.0,1715.0,244.0
2020-04-27,1733.0,399.0,280.0,229.0,1006.0,1017580.0,2037.0,322.0
2020-04-28,2057.0,433.0,337.0,294.0,1144.0,1017591.0,2374.0,337.0
2020-04-29,2347.0,541.0,390.0,348.0,1302.0,1017107.0,2776.0,402.0
2020-04-30,2782.0,591.0,472.0,384.0,1540.0,1015696.0,3221.0,445.0
2020-05-01,3274.0,687.0,536.0,470.0,1762.0,1015918.0,3767.0,546.0
2020-05-02,3789.0,809.0,664.0,530.0,2117.0,1014931.0,4422.0,655.0
2020-05-03,4384.0,976.0,807.0,574.0,2472.0,1014138.0,5176.0,754.0
2020-05-04,5118.0,1103.0,897.0,739.0,2848.0,1010866.0,6029.0,853.0
2020-05-05,6069.0,1382.0,1051.0,878.0,3307.0,1009686.0,7074.0,1045.0
2020-05-06,7088.0,1639.0,1261.0,1012.0,3930.0,1008539.0,8390.0,1316.0
2020-05-07,8285.0,1892.0,1433.0,1179.0,4626.0,1006663.0,9749.0,1359.0
2020-05-08,9596.0,2134.0,1676.0,1352.0,5439.0,1003998.0,11411.0,1662.0
2020-05-09,11146.0,2470.0,1935.0,1579.0,6371.0,1000128.0,13297.0,1886.0
2020-05-10,12827.0,2790.0,2304.0,1874.0,7335.0,996829.0,15488.0,2191.0
2020-05-11,14781.0,3235.0,2680.0,2122.0,8668.0,992659.0,18009.0,2521.0
2020-05-12,17201.0,3765.0,3012.0,2456.0,10016.0,987350.0,20931.0,2922.0
2020-05-13,20012.0,4410.0,3463.0,2869.0,11684.0,981404.0,24352.0,3421.0
2020-05-14,23424.0,5132.0,4048.0,3311.0,13710.0,974045.0,28325.0,3973.0
2020-05-15,27230.0,5881.0,4828.0,3889.0,15970.0,966977.0,32852.0,4527.0
2020-05-16,31131.0,7012.0,5520.0,4445.0,18725.0,958277.0,38284.0,5432.0
2020-05-17,35756.0,7966.0,6463.0,5334.0,21615.0,948820.0,44323.0,6039.0
2020-05-18,41023.0,9267.0,7528.0,6134.0,25305.0,936158.0,51416.0,7093.0
2020-05-19,47302.0,10468.0,8595.0,7010.0,29645.0,922035.0,59459.0,8043.0
2020-05-20,53771.0,12037.0,9963.0,8061.0,34332.0,906600.0,68858.0,9399.0
2020-05-21,61490.0,13695.0,11404.0,9224.0,40164.0,889233.0,79368.0,10510.0
2020-05-22,69659.0,15738.0,13067.0,10470.0,46235.0,870442.0,91353.0,11985.0
2020-05-23,78486.0,17899.0,14734.0,12317.0,53159.0,848246.0,104882.0,13529.0
2020-05-24,88024.0,20311.0,16851.0,13830.0,61609.0,824815.0,120215.0,15333.0
2020-05-25,98868.0,23016.0,19238.0,15807.0,71142.0,797591.0,137627.0,17412.0
2020-05-26,108975.0,25690.0,21642.0,17892.0,81994.0,768529.0,156856.0,19229.0
2020-05-27,120336.0,28458.0,24164.0,20290.0,94359.0,737661.0,178257.0,21401.0
2020-05-28,131590.0,31648.0,26577.0,22899.0,108251.0,704051.0,201690.0,23433.0
2020-05-29,143444.0,34642.0,29736.0,25391.0,123636.0,668587.0,227232.0,25542.0
2020-05-30,154694.0,37525.0,32663.0,28016.0,140736.0,631804.0,254699.0,27467.0
2020-05-31,164682.0,40594.0,35521.0,31082.0,160006.0,594448.0,284481.0,29782.0
2020-06-01,173261.0,43410.0,38346.0,34051.0,181481.0,556526.0,315897.0,31416.0
2020-06-02,181374.0,45669.0,41581.0,36846.0,203786.0,517611.0,348982.0,33085.0
2020-06-03,187080.0,47958.0,44363.0,39462.0,227948.0,479778.0,383542.0,34560.0
2020-06-04,191959.0,50037.0,46347.0,42280.0,254227.0,441313.0,418767.0,35225.0
2020-06-05,193875.0,51209.0,48032.0,44767.0,282121.0,407188.0,454574.0,35807.0
2020-06-06,193890.0,52123.0,49637.0,46466.0,311569.0,373614.0,490975.0,36401.0
2020-06-07,192402.0,52422.0,50614.0,48168.0,342764.0,341159.0,527239.0,36264.0
2020-06-08,187691.0,52401.0,51405.0,49649.0,373701.0,311423.0,563354.0,36115.0
2020-06-09,182150.0,51644.0,51479.0,50721.0,405468.0,284668.0,598316.0,34962.0
2020-06-10,175944.0,50671.0,51006.0,51058.0,438075.0,260331.0,632404.0,34088.0
2020-06-11,167978.0,48734.0,50454.0,50654.0,470307.0,238355.0,665013.0,32609.0
2020-06-12,159575.0,46563.0,49067.0,50450.0,502057.0,218971.0,696067.0,31054.0
2020-06-13,150391.0,44590.0,47153.0,48931.0,534035.0,202259.0,725298.0,29231.0
2020-06-14,140463.0,42194.0,45311.0,47335.0,565467.0,186675.0,752768.0,27470.0
2020-06-15,130560.0,39747.0,43313.0,45781.0,594658.0,172329.0,778549.0,25781.0
2020-06-16,120464.0,37125.0,40949.0,43877.0,624784.0,160829.0,802429.0,23880.0
2020-06-17,111414.0,34416.0,38469.0,41595.0,652365.0,150444.0,824497.0,22068.0
2020-06-18,102457.0,31675.0,35728.0,39364.0,676985.0,141484.0,844658.0,20161.0
2020-06-19,93555.0,29592.0,32886.0,36469.0,699761.0,133892.0,863270.0,18612.0
2020-06-20,85256.0,26998.0,30658.0,33918.0,723258.0,126386.0,880396.0,17126.0
2020-06-21,77639.0,24650.0,28341.0,31744.0,744685.0,120132.0,895807.0,15411.0
2020-06-22,70170.0,22396.0,25803.0,29497.0,763895.0,115393.0,909867.0,14060.0
2020-06-23,63316.0,20319.0,23782.0,26883.0,781085.0,110882.0,922540.0,12673.0
2020-06-24,57172.0,18292.0,21602.0,24861.0,798139.0,107099.0,933814.0,11274.0
2020-06-25,51505.0,16765.0,19611.0,22576.0,813122.0,103206.0,944167.0,10353.0
2020-06-26,46241.0,15124.0,17858.0,20740.0,828482.0,100269.0,953499.0,9332.0
2020-06-27,41648.0,13587.0,15927.0,18937.0,839783.0,97677.0,961939.0,8440.0
2020-06-28,37578.0,12309.0,14480.0,17205.0,851710.0,95134.0,969530.0,7591.0
2020-06-29,33477.0,11046.0,13132.0,15571.0,861637.0,92830.0,976337.0,6807.0
2020-06-30,29756.0,9941.0,11925.0,14183.0,870882.0,90919.0,982425.0,6088.0
2020-07-01,26554.0,8824.0,10556.0,12712.0,880295.0,89568.0,987777.0,5352.0
