time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,0.0,0.0,0.0,970324.0,0.0,0.0
2020-03-07,2.0,0.0,1.0,1.0,0.0,972127.0,0.0,0.0
2020-03-08,2.0,0.0,0.0,1.0,0.0,978402.0,0.0,0.0
2020-03-09,2.0,0.0,0.0,0.0,0.0,986389.0,0.0,0.0
2020-03-10,2.0,0.0,0.0,0.0,1.0,993145.0,0.0,0.0
2020-03-11,2.0,0.0,0.0,0.0,0.0,998204.0,0.0,0.0
2020-03-12,3.0,0.0,0.0,0.0,1.0,1002353.0,0.0,0.0
2020-03-13,1.0,1.0,0.0,0.0,1.0,1004368.0,1.0,1.0
2020-03-14,3.0,0.0,0.0,0.0,2.0,1006435.0,1.0,0.0
2020-03-15,1.0,3.0,0.0,1.0,2.0,1006241.0,4.0,3.0
2020-03-16,5.0,2.0,0.0,1.0,3.0,1008517.0,5.0,1.0
2020-03-17,3.0,2.0,2.0,1.0,2.0,1009506.0,8.0,3.0
2020-03-18,4.0,1.0,2.0,1.0,3.0,1010230.0,8.0,0.0
2020-03-19,4.0,3.0,0.0,1.0,2.0,1010741.0,8.0,0.0
2020-03-20,3.0,2.0,2.0,0.0,2.0,1010635.0,9.0,1.0
2020-03-21,5.0,4.0,0.0,1.0,1.0,1011575.0,11.0,2.0
2020-03-22,7.0,1.0,0.0,0.0,4.0,1011894.0,11.0,0.0
2020-03-23,7.0,0.0,0.0,0.0,4.0,1013734.0,11.0,0.0
2020-03-24,6.0,0.0,0.0,0.0,9.0,1013442.0,11.0,0.0
2020-03-25,4.0,1.0,1.0,0.0,10.0,1012598.0,14.0,3.0
2020-03-26,6.0,2.0,1.0,0.0,10.0,1014469.0,15.0,1.0
2020-03-27,10.0,2.0,0.0,1.0,7.0,1015219.0,16.0,1.0
2020-03-28,13.0,3.0,1.0,1.0,4.0,1016671.0,18.0,2.0
2020-03-29,17.0,3.0,1.0,0.0,9.0,1014783.0,21.0,3.0
2020-03-30,18.0,3.0,2.0,2.0,8.0,1014739.0,23.0,2.0
2020-03-31,19.0,8.0,2.0,1.0,15.0,1015747.0,27.0,4.0
2020-04-01,24.0,8.0,4.0,3.0,18.0,1015750.0,32.0,5.0
2020-04-02,33.0,12.0,4.0,5.0,14.0,1015754.0,38.0,6.0
2020-04-03,35.0,14.0,5.0,8.0,21.0,1016830.0,45.0,7.0
2020-04-04,53.0,8.0,11.0,8.0,21.0,1016502.0,50.0,5.0
2020-04-05,68.0,11.0,15.0,8.0,32.0,1017069.0,57.0,7.0
2020-04-06,70.0,13.0,11.0,10.0,35.0,1015409.0,66.0,9.0
2020-04-07,68.0,17.0,12.0,7.0,35.0,1016731.0,82.0,16.0
2020-04-08,81.0,15.0,12.0,11.0,46.0,1017706.0,94.0,12.0
2020-04-09,94.0,20.0,15.0,12.0,56.0,1018903.0,108.0,14.0
2020-04-10,116.0,23.0,22.0,11.0,68.0,1019489.0,126.0,18.0
2020-04-11,123.0,32.0,27.0,13.0,67.0,1018597.0,159.0,33.0
2020-04-12,151.0,34.0,32.0,18.0,80.0,1017156.0,189.0,30.0
2020-04-13,179.0,45.0,38.0,34.0,91.0,1017439.0,223.0,34.0
2020-04-14,223.0,59.0,42.0,34.0,107.0,1016974.0,258.0,35.0
2020-04-15,258.0,65.0,48.0,33.0,134.0,1017402.0,301.0,43.0
2020-04-16,304.0,67.0,45.0,54.0,155.0,1017656.0,357.0,56.0
2020-04-17,339.0,66.0,55.0,57.0,187.0,1017433.0,406.0,49.0
2020-04-18,360.0,91.0,53.0,49.0,222.0,1018127.0,468.0,62.0
2020-04-19,424.0,97.0,73.0,61.0,270.0,1018484.0,540.0,72.0
2020-04-20,509.0,123.0,81.0,71.0,312.0,1017937.0,631.0,91.0
2020-04-21,590.0,116.0,93.0,89.0,347.0,1019843.0,713.0,82.0
2020-04-22,624.0,144.0,108.0,98.0,423.0,1019263.0,830.0,117.0
2020-04-23,779.0,173.0,150.0,98.0,512.0,1019158.0,967.0,137.0
2020-04-24,944.0,205.0,170.0,136.0,563.0,1019142.0,1123.0,156.0
2020-04-25,1110.0,233.0,213.0,156.0,685.0,1018701.0,1311.0,188.0
2020-04-26,1259.0,278.0,230.0,183.0,771.0,1019148.0,1521.0,210.0
2020-04-27,1505.0,311.0,254.0,225.0,936.0,1018509.0,1754.0,233.0
2020-04-28,1721.0,360.0,311.0,250.0,1036.0,1019463.0,2039.0,285.0
2020-04-29,2130.0,449.0,375.0,274.0,1161.0,1019253.0,2409.0,370.0
2020-04-30,2472.0,554.0,382.0,374.0,1357.0,1017683.0,2827.0,418.0
2020-05-01,2810.0,653.0,484.0,382.0,1649.0,1018501.0,3306.0,479.0
2020-05-02,3346.0,725.0,618.0,442.0,2000.0,1019214.0,3894.0,588.0
2020-05-03,3956.0,833.0,716.0,569.0,2264.0,1017621.0,4580.0,686.0
2020-05-04,4566.0,1005.0,805.0,699.0,2618.0,1014231.0,5375.0,795.0
2020-05-05,5320.0,1200.0,908.0,824.0,2975.0,1011643.0,6309.0,934.0
2020-05-06,6257.0,1332.0,1078.0,898.0,3475.0,1010068.0,7328.0,1019.0
2020-05-07,7255.0,1668.0,1312.0,1049.0,4073.0,1008325.0,8643.0,1315.0
2020-05-08,8661.0,1928.0,1536.0,1256.0,4831.0,1004312.0,10137.0,1494.0
2020-05-09,9988.0,2222.0,1812.0,1410.0,5722.0,1001151.0,11840.0,1703.0
2020-05-10,11741.0,2641.0,2047.0,1632.0,6780.0,998588.0,13883.0,2043.0
2020-05-11,13633.0,3114.0,2359.0,1951.0,7896.0,994268.0,16303.0,2420.0
2020-05-12,15973.0,3544.0,2820.0,2267.0,9271.0,989920.0,18978.0,2675.0
2020-05-13,18430.0,4093.0,3335.0,2618.0,10879.0,984139.0,22079.0,3101.0
2020-05-14,21522.0,4743.0,3850.0,3084.0,12635.0,978348.0,25715.0,3636.0
2020-05-15,25070.0,5530.0,4498.0,3606.0,14814.0,971226.0,29933.0,4218.0
2020-05-16,28790.0,6447.0,5217.0,4205.0,17220.0,962445.0,34907.0,4974.0
2020-05-17,33145.0,7206.0,6008.0,4860.0,19966.0,951632.0,40448.0,5541.0
2020-05-18,38240.0,8561.0,6943.0,5589.0,23257.0,941462.0,47117.0,6669.0
2020-05-19,44116.0,9754.0,8004.0,6463.0,27174.0,927790.0,54592.0,7475.0
2020-05-20,50638.0,11103.0,9223.0,7574.0,31750.0,913782.0,63114.0,8522.0
2020-05-21,57712.0,13025.0,10665.0,8777.0,37076.0,896953.0,73134.0,10020.0
