time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,2.0,1.0,0.0,0.0,970041.0,0.0,0.0
2020-03-07,1.0,1.0,1.0,0.0,0.0,973539.0,0.0,0.0
2020-03-08,1.0,0.0,1.0,0.0,0.0,980432.0,0.0,0.0
2020-03-09,0.0,1.0,1.0,0.0,0.0,987067.0,0.0,0.0
2020-03-10,1.0,1.0,0.0,1.0,0.0,991321.0,0.0,0.0
2020-03-11,2.0,1.0,1.0,0.0,1.0,997579.0,1.0,1.0
2020-03-12,2.0,0.0,3.0,0.0,0.0,1001249.0,2.0,1.0
2020-03-13,2.0,3.0,2.0,0.0,0.0,1003638.0,5.0,3.0
2020-03-14,2.0,3.0,1.0,0.0,0.0,1006145.0,7.0,2.0
2020-03-15,3.0,1.0,2.0,0.0,1.0,1007474.0,7.0,0.0
2020-03-16,2.0,0.0,1.0,0.0,3.0,1008271.0,7.0,0.0
2020-03-17,3.0,0.0,0.0,0.0,2.0,1009377.0,7.0,0.0
2020-03-18,1.0,1.0,1.0,0.0,2.0,1010127.0,9.0,2.0
2020-03-19,2.0,0.0,0.0,2.0,1.0,1011968.0,9.0,0.0
2020-03-20,2.0,0.0,0.0,0.0,4.0,1011846.0,9.0,0.0
2020-03-21,1.0,0.0,0.0,0.0,4.0,1012054.0,9.0,0.0
2020-03-22,4.0,0.0,1.0,0.0,4.0,1012965.0,9.0,0.0
2020-03-23,6.0,0.0,1.0,0.0,1.0,1012693.0,9.0,0.0
2020-03-24,6.0,2.0,1.0,1.0,1.0,1014226.0,11.0,2.0
2020-03-25,8.0,0.0,0.0,3.0,1.0,1014919.0,11.0,0.0
2020-03-26,6.0,1.0,0.0,2.0,6.0,1014120.0,13.0,2.0
2020-03-27,13.0,5.0,0.0,3.0,4.0,1014941.0,16.0,3.0
2020-03-28,21.0,4.0,1.0,2.0,7.0,1015969.0,18.0,2.0
2020-03-29,22.0,7.0,2.0,4.0,13.0,1015787.0,23.0,5.0
2020-03-30,25.0,4.0,5.0,1.0,15.0,1015910.0,25.0,2.0
2020-03-31,27.0,6.0,4.0,4.0,15.0,1015657.0,29.0,4.0
2020-04-01,30.0,6.0,8.0,9.0,15.0,1016525.0,34.0,5.0
2020-04-02,32.0,8.0,4.0,7.0,20.0,1015899.0,37.0,3.0
2020-04-03,38.0,7.0,7.0,7.0,27.0,1015747.0,45.0,8.0
2020-04-04,45.0,8.0,7.0,8.0,32.0,1016278.0,53.0,8.0
2020-04-05,48.0,9.0,14.0,9.0,26.0,1016595.0,59.0,6.0
2020-04-06,60.0,10.0,12.0,8.0,36.0,1017389.0,71.0,12.0
2020-04-07,74.0,16.0,9.0,11.0,43.0,1018188.0,88.0,17.0
2020-04-08,78.0,15.0,17.0,7.0,53.0,1017698.0,94.0,6.0
2020-04-09,89.0,18.0,13.0,13.0,59.0,1018261.0,107.0,13.0
2020-04-10,116.0,19.0,12.0,11.0,69.0,1018628.0,120.0,13.0
2020-04-11,114.0,29.0,12.0,12.0,81.0,1018712.0,136.0,16.0
2020-04-12,121.0,31.0,22.0,15.0,89.0,1018675.0,164.0,28.0
2020-04-13,148.0,35.0,24.0,23.0,91.0,1017956.0,196.0,32.0
2020-04-14,163.0,39.0,29.0,27.0,102.0,1018965.0,228.0,32.0
2020-04-15,196.0,36.0,32.0,38.0,120.0,1017945.0,256.0,28.0
2020-04-16,255.0,51.0,41.0,36.0,150.0,1018970.0,297.0,41.0
2020-04-17,299.0,58.0,46.0,32.0,175.0,1019624.0,339.0,42.0
2020-04-18,322.0,69.0,53.0,49.0,200.0,1019107.0,389.0,50.0
2020-04-19,398.0,74.0,69.0,50.0,218.0,1020282.0,452.0,63.0
