time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,969585.0,0.0,0.0
2020-03-07,2.0,0.0,1.0,0.0,0.0,973321.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,1.0,0.0,979326.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,1.0,986624.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,992574.0,0.0,0.0
2020-03-11,1.0,0.0,0.0,0.0,0.0,997080.0,0.0,0.0
2020-03-12,1.0,0.0,0.0,0.0,0.0,1000465.0,0.0,0.0
2020-03-13,1.0,1.0,0.0,0.0,0.0,1003676.0,0.0,0.0
2020-03-14,1.0,0.0,0.0,0.0,0.0,1006224.0,0.0,0.0
2020-03-15,1.0,0.0,0.0,0.0,0.0,1007692.0,0.0,0.0
2020-03-16,2.0,0.0,0.0,0.0,0.0,1008214.0,0.0,0.0
2020-03-17,3.0,1.0,1.0,0.0,0.0,1010698.0,1.0,1.0
2020-03-18,2.0,2.0,2.0,0.0,0.0,1012693.0,3.0,2.0
2020-03-19,2.0,1.0,0.0,2.0,1.0,1012087.0,3.0,0.0
2020-03-20,5.0,0.0,1.0,1.0,2.0,1012753.0,3.0,0.0
2020-03-21,11.0,1.0,1.0,0.0,3.0,1012677.0,4.0,1.0
2020-03-22,9.0,0.0,2.0,1.0,1.0,1013516.0,6.0,2.0
2020-03-23,11.0,0.0,3.0,0.0,3.0,1013756.0,7.0,1.0
2020-03-24,12.0,2.0,1.0,0.0,4.0,1013746.0,10.0,3.0
2020-03-25,8.0,0.0,0.0,0.0,1.0,1014499.0,11.0,1.0
2020-03-26,4.0,2.0,1.0,1.0,4.0,1014622.0,13.0,2.0
2020-03-27,13.0,3.0,1.0,3.0,3.0,1015096.0,15.0,2.0
2020-03-28,10.0,5.0,3.0,1.0,4.0,1014195.0,19.0,4.0
2020-03-29,11.0,3.0,4.0,2.0,7.0,1015869.0,23.0,4.0
2020-03-30,13.0,5.0,2.0,3.0,10.0,1016722.0,26.0,3.0
2020-03-31,16.0,4.0,0.0,2.0,13.0,1016927.0,30.0,4.0
2020-04-01,15.0,8.0,2.0,1.0,13.0,1017060.0,35.0,5.0
2020-04-02,19.0,6.0,2.0,3.0,14.0,1018339.0,37.0,2.0
2020-04-03,18.0,8.0,6.0,2.0,16.0,1018051.0,43.0,6.0
2020-04-04,19.0,6.0,6.0,1.0,18.0,1017581.0,48.0,5.0
2020-04-05,21.0,7.0,11.0,5.0,18.0,1017391.0,54.0,6.0
2020-04-06,29.0,8.0,7.0,7.0,21.0,1018632.0,60.0,6.0
2020-04-07,38.0,10.0,8.0,6.0,25.0,1017656.0,65.0,5.0
2020-04-08,47.0,12.0,12.0,8.0,36.0,1017282.0,80.0,15.0
2020-04-09,59.0,14.0,7.0,13.0,45.0,1018395.0,91.0,11.0
2020-04-10,70.0,20.0,11.0,10.0,53.0,1017594.0,105.0,14.0
2020-04-11,98.0,19.0,11.0,17.0,61.0,1017895.0,119.0,14.0
2020-04-12,114.0,26.0,13.0,18.0,62.0,1018172.0,143.0,24.0
2020-04-13,115.0,28.0,26.0,14.0,74.0,1017464.0,168.0,25.0
2020-04-14,141.0,31.0,25.0,15.0,91.0,1018238.0,191.0,23.0
2020-04-15,175.0,31.0,27.0,24.0,92.0,1019426.0,218.0,27.0
2020-04-16,206.0,41.0,26.0,21.0,102.0,1020835.0,253.0,35.0
2020-04-17,225.0,41.0,31.0,27.0,110.0,1021508.0,285.0,32.0
2020-04-18,230.0,59.0,36.0,30.0,151.0,1022291.0,326.0,41.0
2020-04-19,277.0,53.0,45.0,35.0,168.0,1021003.0,361.0,35.0
2020-04-20,320.0,61.0,50.0,39.0,189.0,1020775.0,411.0,50.0
2020-04-21,364.0,78.0,60.0,57.0,214.0,1019892.0,473.0,62.0
2020-04-22,441.0,95.0,63.0,62.0,246.0,1020390.0,545.0,72.0
2020-04-23,474.0,117.0,84.0,44.0,286.0,1021445.0,636.0,91.0
2020-04-24,555.0,121.0,97.0,69.0,327.0,1020066.0,724.0,88.0
2020-04-25,641.0,138.0,106.0,94.0,371.0,1020912.0,820.0,96.0
2020-04-26,768.0,154.0,147.0,92.0,447.0,1020578.0,936.0,116.0
2020-04-27,922.0,169.0,154.0,105.0,512.0,1020644.0,1077.0,141.0
