time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970598.0,0.0,0.0
2020-03-07,1.0,1.0,2.0,0.0,0.0,971881.0,0.0,0.0
2020-03-08,1.0,1.0,0.0,1.0,0.0,978090.0,0.0,0.0
2020-03-09,0.0,1.0,0.0,0.0,0.0,985930.0,0.0,0.0
2020-03-10,0.0,1.0,0.0,0.0,0.0,992144.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,1.0,998719.0,0.0,0.0
2020-03-12,0.0,0.0,1.0,0.0,1.0,1000192.0,0.0,0.0
2020-03-13,1.0,0.0,1.0,0.0,0.0,1001917.0,0.0,0.0
2020-03-14,1.0,1.0,0.0,0.0,0.0,1004410.0,1.0,1.0
2020-03-15,2.0,1.0,1.0,0.0,0.0,1005599.0,2.0,1.0
2020-03-16,2.0,1.0,0.0,0.0,1.0,1007774.0,2.0,0.0
2020-03-17,1.0,1.0,1.0,0.0,0.0,1007462.0,3.0,1.0
2020-03-18,2.0,0.0,1.0,0.0,1.0,1009187.0,3.0,0.0
2020-03-19,4.0,0.0,1.0,0.0,1.0,1010331.0,3.0,0.0
2020-03-20,6.0,0.0,1.0,0.0,0.0,1011825.0,3.0,0.0
2020-03-21,7.0,0.0,0.0,1.0,0.0,1011586.0,3.0,0.0
2020-03-22,4.0,1.0,0.0,0.0,1.0,1012470.0,4.0,1.0
2020-03-23,5.0,0.0,1.0,0.0,1.0,1011588.0,4.0,0.0
2020-03-24,4.0,2.0,0.0,0.0,3.0,1012421.0,6.0,2.0
2020-03-25,2.0,1.0,0.0,0.0,3.0,1013200.0,6.0,0.0
2020-03-26,4.0,0.0,0.0,1.0,3.0,1014003.0,6.0,0.0
2020-03-27,6.0,0.0,1.0,1.0,2.0,1012948.0,6.0,0.0
2020-03-28,4.0,0.0,1.0,1.0,1.0,1014792.0,7.0,1.0
2020-03-29,7.0,2.0,0.0,1.0,3.0,1015859.0,9.0,2.0
2020-03-30,7.0,3.0,1.0,0.0,4.0,1016039.0,11.0,2.0
2020-03-31,5.0,2.0,4.0,1.0,2.0,1016038.0,11.0,0.0
2020-04-01,9.0,1.0,1.0,3.0,5.0,1017521.0,11.0,0.0
2020-04-02,9.0,2.0,1.0,0.0,8.0,1018329.0,14.0,3.0
2020-04-03,8.0,1.0,0.0,0.0,6.0,1019056.0,14.0,0.0
2020-04-04,8.0,2.0,2.0,0.0,7.0,1017999.0,16.0,2.0
2020-04-05,11.0,1.0,3.0,1.0,5.0,1018241.0,17.0,1.0
2020-04-06,16.0,1.0,6.0,1.0,9.0,1017439.0,19.0,2.0
2020-04-07,13.0,1.0,3.0,4.0,10.0,1018347.0,19.0,0.0
2020-04-08,12.0,1.0,2.0,5.0,11.0,1018896.0,22.0,3.0
2020-04-09,18.0,5.0,1.0,4.0,13.0,1019345.0,26.0,4.0
