time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,1.0,1.0,0.0,0.0,970350.0,0.0,0.0
2020-03-07,3.0,0.0,0.0,2.0,0.0,972741.0,0.0,0.0
2020-03-08,2.0,0.0,0.0,1.0,1.0,979969.0,0.0,0.0
2020-03-09,5.0,0.0,1.0,1.0,0.0,986181.0,1.0,1.0
2020-03-10,6.0,1.0,0.0,1.0,0.0,992235.0,2.0,1.0
2020-03-11,2.0,1.0,1.0,0.0,0.0,995850.0,3.0,1.0
2020-03-12,1.0,0.0,1.0,0.0,0.0,999587.0,3.0,0.0
2020-03-13,2.0,1.0,0.0,1.0,0.0,1002810.0,4.0,1.0
2020-03-14,2.0,0.0,1.0,0.0,2.0,1006172.0,5.0,1.0
2020-03-15,2.0,1.0,1.0,0.0,1.0,1007933.0,6.0,1.0
2020-03-16,2.0,0.0,1.0,0.0,1.0,1008627.0,6.0,0.0
2020-03-17,3.0,1.0,0.0,1.0,0.0,1010047.0,7.0,1.0
2020-03-18,2.0,1.0,3.0,2.0,0.0,1011083.0,8.0,1.0
2020-03-19,5.0,3.0,1.0,2.0,2.0,1011990.0,10.0,2.0
2020-03-20,8.0,1.0,3.0,1.0,4.0,1013280.0,10.0,0.0
2020-03-21,5.0,0.0,2.0,2.0,2.0,1012706.0,10.0,0.0
2020-03-22,7.0,0.0,1.0,2.0,4.0,1013975.0,10.0,0.0
2020-03-23,9.0,3.0,0.0,0.0,4.0,1013988.0,13.0,3.0
2020-03-24,9.0,4.0,0.0,0.0,3.0,1013254.0,14.0,1.0
2020-03-25,9.0,3.0,2.0,0.0,4.0,1013819.0,16.0,2.0
2020-03-26,13.0,1.0,2.0,0.0,2.0,1014855.0,18.0,2.0
2020-03-27,13.0,3.0,3.0,0.0,8.0,1015756.0,20.0,2.0
2020-03-28,11.0,2.0,4.0,1.0,8.0,1014943.0,21.0,1.0
2020-03-29,10.0,3.0,3.0,2.0,13.0,1014942.0,24.0,3.0
2020-03-30,19.0,4.0,7.0,5.0,8.0,1013874.0,28.0,4.0
2020-03-31,22.0,3.0,3.0,8.0,11.0,1014107.0,31.0,3.0
2020-04-01,22.0,7.0,5.0,4.0,23.0,1015056.0,37.0,6.0
2020-04-02,33.0,8.0,5.0,7.0,26.0,1015292.0,44.0,7.0
2020-04-03,29.0,14.0,6.0,5.0,31.0,1015656.0,53.0,9.0
2020-04-04,40.0,10.0,13.0,5.0,28.0,1016646.0,61.0,8.0
2020-04-05,50.0,11.0,15.0,11.0,39.0,1016689.0,73.0,12.0
2020-04-06,59.0,13.0,13.0,10.0,51.0,1017524.0,88.0,15.0
2020-04-07,79.0,20.0,12.0,10.0,48.0,1018859.0,103.0,15.0
2020-04-08,86.0,18.0,17.0,15.0,55.0,1017659.0,118.0,15.0
2020-04-09,122.0,24.0,20.0,22.0,66.0,1016466.0,137.0,19.0
2020-04-10,134.0,26.0,19.0,22.0,92.0,1016979.0,160.0,23.0
2020-04-11,143.0,41.0,20.0,22.0,99.0,1018249.0,189.0,29.0
2020-04-12,169.0,37.0,24.0,17.0,119.0,1017711.0,218.0,29.0
2020-04-13,206.0,44.0,39.0,22.0,121.0,1019727.0,249.0,31.0
2020-04-14,231.0,51.0,39.0,26.0,128.0,1020545.0,289.0,40.0
2020-04-15,260.0,65.0,45.0,29.0,152.0,1019744.0,332.0,43.0
2020-04-16,303.0,73.0,60.0,43.0,199.0,1019498.0,390.0,58.0
2020-04-17,376.0,64.0,84.0,58.0,239.0,1019445.0,442.0,52.0
2020-04-18,445.0,83.0,89.0,70.0,291.0,1019255.0,509.0,67.0
2020-04-19,523.0,106.0,85.0,81.0,308.0,1018890.0,600.0,91.0
2020-04-20,580.0,134.0,89.0,77.0,365.0,1018391.0,707.0,107.0
2020-04-21,698.0,141.0,117.0,96.0,391.0,1019855.0,812.0,105.0
2020-04-22,798.0,196.0,127.0,111.0,445.0,1019791.0,955.0,143.0
2020-04-23,950.0,214.0,166.0,131.0,511.0,1019924.0,1101.0,146.0
2020-04-24,1054.0,232.0,207.0,140.0,644.0,1018831.0,1281.0,180.0
2020-04-25,1281.0,281.0,208.0,177.0,733.0,1019158.0,1474.0,193.0
2020-04-26,1484.0,352.0,264.0,219.0,879.0,1019444.0,1743.0,269.0
2020-04-27,1734.0,390.0,320.0,255.0,963.0,1019421.0,2031.0,288.0
2020-04-28,2061.0,473.0,341.0,305.0,1157.0,1017468.0,2382.0,351.0
2020-04-29,2364.0,517.0,393.0,338.0,1379.0,1016611.0,2780.0,398.0
2020-04-30,2777.0,638.0,461.0,402.0,1609.0,1017247.0,3275.0,495.0
2020-05-01,3208.0,780.0,577.0,467.0,1830.0,1016020.0,3893.0,618.0
2020-05-02,3819.0,897.0,653.0,545.0,2181.0,1015063.0,4568.0,675.0
2020-05-03,4463.0,1016.0,782.0,623.0,2511.0,1013680.0,5323.0,755.0
2020-05-04,5155.0,1112.0,971.0,705.0,3009.0,1011958.0,6197.0,874.0
2020-05-05,6226.0,1299.0,1092.0,884.0,3531.0,1011004.0,7197.0,1000.0
2020-05-06,7155.0,1639.0,1255.0,982.0,4173.0,1008216.0,8499.0,1302.0
2020-05-07,8264.0,1798.0,1526.0,1154.0,4788.0,1005237.0,9860.0,1361.0
2020-05-08,9682.0,2110.0,1665.0,1391.0,5589.0,1001918.0,11497.0,1637.0
2020-05-09,11269.0,2474.0,1959.0,1541.0,6512.0,998898.0,13395.0,1898.0
2020-05-10,13215.0,2866.0,2270.0,1808.0,7542.0,995999.0,15570.0,2175.0
2020-05-11,15138.0,3448.0,2602.0,2135.0,8793.0,991184.0,18229.0,2659.0
2020-05-12,17487.0,3784.0,3132.0,2523.0,10441.0,988014.0,21189.0,2960.0
2020-05-13,20307.0,4510.0,3601.0,2959.0,12224.0,980271.0,24662.0,3473.0
2020-05-14,23466.0,5266.0,4307.0,3349.0,14165.0,973311.0,28768.0,4106.0
2020-05-15,27167.0,6060.0,4884.0,3980.0,16547.0,964956.0,33328.0,4560.0
2020-05-16,31495.0,7167.0,5676.0,4506.0,19381.0,955490.0,38758.0,5430.0
2020-05-17,36390.0,8248.0,6511.0,5363.0,22578.0,945053.0,45082.0,6324.0
2020-05-18,42075.0,9369.0,7655.0,6223.0,26010.0,933873.0,52250.0,7168.0
2020-05-19,48102.0,10805.0,8770.0,7171.0,30172.0,920316.0,60481.0,8231.0
2020-05-20,54638.0,12343.0,10262.0,8206.0,35023.0,904871.0,69974.0,9493.0
2020-05-21,62367.0,14136.0,11606.0,9454.0,40779.0,887309.0,80741.0,10767.0
2020-05-22,70845.0,15966.0,13103.0,10924.0,47220.0,867572.0,92832.0,12091.0
2020-05-23,80015.0,18173.0,15132.0,12300.0,54372.0,845982.0,106637.0,13805.0
2020-05-24,89823.0,20483.0,16967.0,14116.0,62999.0,821673.0,122223.0,15586.0
2020-05-25,99680.0,23229.0,19517.0,15926.0,72873.0,794673.0,139919.0,17696.0
2020-05-26,110387.0,25776.0,21891.0,18402.0,83542.0,764844.0,159263.0,19344.0
2020-05-27,122224.0,28331.0,24649.0,20662.0,95986.0,733421.0,180547.0,21284.0
2020-05-28,133670.0,31749.0,27089.0,22970.0,110094.0,699799.0,204486.0,23939.0
2020-05-29,144915.0,34877.0,30238.0,25601.0,125146.0,664393.0,230491.0,26005.0
2020-05-30,155438.0,38017.0,33094.0,28521.0,142430.0,627290.0,258445.0,27954.0
2020-05-31,166262.0,40959.0,36185.0,31581.0,161621.0,589764.0,288245.0,29800.0
2020-06-01,174933.0,44034.0,38765.0,34362.0,182943.0,551862.0,319865.0,31620.0
2020-06-02,182436.0,46117.0,42073.0,37478.0,205555.0,512956.0,353315.0,33450.0
2020-06-03,188699.0,48105.0,44563.0,40465.0,230258.0,475063.0,387944.0,34629.0
2020-06-04,192045.0,50114.0,46229.0,42666.0,257306.0,438530.0,423516.0,35572.0
2020-06-05,193671.0,51647.0,48675.0,44877.0,285438.0,402795.0,459928.0,36412.0
2020-06-06,193131.0,52479.0,49777.0,46800.0,314577.0,369288.0,496562.0,36634.0
2020-06-07,191057.0,52766.0,50820.0,48729.0,344810.0,338029.0,532931.0,36369.0
2020-06-08,187287.0,52493.0,51337.0,49869.0,376166.0,309431.0,568663.0,35732.0
2020-06-09,182059.0,51329.0,51050.0,50505.0,408817.0,283896.0,603427.0,34764.0
2020-06-10,175125.0,49928.0,50858.0,50596.0,440837.0,259726.0,637474.0,34047.0
2020-06-11,167476.0,48775.0,49756.0,50332.0,473098.0,238264.0,670007.0,32533.0
2020-06-12,158922.0,46441.0,48744.0,49520.0,505896.0,218974.0,700859.0,30852.0
2020-06-13,149282.0,44488.0,47100.0,48776.0,536439.0,201392.0,730318.0,29459.0
2020-06-14,139320.0,41943.0,44997.0,47224.0,567881.0,185921.0,757600.0,27282.0
2020-06-15,130140.0,39563.0,42598.0,45694.0,597424.0,172465.0,783089.0,25489.0
2020-06-16,120322.0,37077.0,40166.0,43451.0,626051.0,160867.0,806894.0,23805.0
2020-06-17,111134.0,34176.0,38110.0,41094.0,652445.0,151009.0,828952.0,22058.0
2020-06-18,101271.0,31922.0,35189.0,38889.0,678143.0,142465.0,849362.0,20410.0
2020-06-19,92679.0,29278.0,33020.0,36444.0,701180.0,134757.0,867791.0,18429.0
2020-06-20,84219.0,27112.0,30789.0,33807.0,722985.0,127724.0,884759.0,16968.0
2020-06-21,76528.0,24442.0,28395.0,31707.0,742826.0,121478.0,899965.0,15206.0
2020-06-22,69519.0,22382.0,25809.0,29462.0,763718.0,116400.0,913867.0,13902.0
2020-06-23,62970.0,20252.0,23932.0,27057.0,780633.0,111665.0,926561.0,12694.0
2020-06-24,56951.0,18546.0,21633.0,24860.0,798787.0,107623.0,937967.0,11406.0
2020-06-25,51274.0,16933.0,19532.0,22702.0,813058.0,104104.0,948325.0,10358.0
