time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,2.0,1.0,0.0,0.0,970193.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0,0.0,972285.0,0.0,0.0
2020-03-08,0.0,1.0,0.0,0.0,0.0,979386.0,1.0,1.0
2020-03-09,2.0,1.0,0.0,0.0,0.0,985928.0,1.0,0.0
2020-03-10,2.0,0.0,0.0,1.0,0.0,990865.0,1.0,0.0
2020-03-11,3.0,0.0,0.0,0.0,0.0,996560.0,1.0,0.0
2020-03-12,3.0,0.0,0.0,1.0,0.0,1000126.0,1.0,0.0
2020-03-13,2.0,0.0,0.0,0.0,0.0,1003591.0,2.0,1.0
2020-03-14,1.0,2.0,0.0,0.0,0.0,1005901.0,3.0,1.0
2020-03-15,2.0,1.0,0.0,0.0,2.0,1008617.0,3.0,0.0
2020-03-16,2.0,0.0,1.0,0.0,0.0,1009203.0,3.0,0.0
2020-03-17,3.0,0.0,0.0,1.0,2.0,1008338.0,4.0,1.0
2020-03-18,3.0,0.0,0.0,1.0,2.0,1010305.0,4.0,0.0
2020-03-19,4.0,0.0,0.0,2.0,3.0,1011638.0,4.0,0.0
2020-03-20,3.0,3.0,0.0,0.0,5.0,1011411.0,6.0,2.0
2020-03-21,2.0,4.0,0.0,0.0,2.0,1011921.0,7.0,1.0
2020-03-22,8.0,4.0,0.0,1.0,1.0,1012339.0,9.0,2.0
2020-03-23,6.0,7.0,3.0,1.0,2.0,1012468.0,14.0,5.0
2020-03-24,9.0,2.0,5.0,2.0,3.0,1013023.0,14.0,0.0
2020-03-25,12.0,2.0,4.0,3.0,4.0,1012920.0,17.0,3.0
2020-03-26,21.0,3.0,2.0,5.0,4.0,1013666.0,20.0,3.0
2020-03-27,26.0,6.0,5.0,2.0,12.0,1013870.0,26.0,6.0
2020-03-28,19.0,5.0,4.0,5.0,11.0,1013666.0,31.0,5.0
2020-03-29,28.0,6.0,1.0,2.0,18.0,1013517.0,34.0,3.0
2020-03-30,29.0,6.0,5.0,2.0,23.0,1014990.0,41.0,7.0
2020-03-31,36.0,10.0,5.0,3.0,20.0,1014516.0,47.0,6.0
2020-04-01,37.0,10.0,11.0,4.0,20.0,1016027.0,57.0,10.0
2020-04-02,53.0,5.0,5.0,9.0,17.0,1015802.0,60.0,3.0
2020-04-03,52.0,7.0,6.0,9.0,23.0,1015954.0,65.0,5.0
2020-04-04,57.0,8.0,8.0,7.0,27.0,1017294.0,71.0,6.0
2020-04-05,57.0,15.0,11.0,9.0,40.0,1016464.0,83.0,12.0
2020-04-06,69.0,19.0,10.0,10.0,48.0,1016786.0,95.0,12.0
2020-04-07,96.0,14.0,18.0,7.0,55.0,1017415.0,109.0,14.0
2020-04-08,104.0,18.0,13.0,15.0,58.0,1018541.0,126.0,17.0
2020-04-09,108.0,21.0,15.0,15.0,59.0,1018197.0,149.0,23.0
2020-04-10,131.0,21.0,19.0,17.0,70.0,1019127.0,165.0,16.0
2020-04-11,148.0,32.0,20.0,21.0,75.0,1018475.0,190.0,25.0
2020-04-12,171.0,32.0,22.0,20.0,100.0,1018352.0,211.0,21.0
2020-04-13,188.0,48.0,31.0,21.0,108.0,1018262.0,252.0,41.0
2020-04-14,226.0,63.0,33.0,31.0,103.0,1017972.0,293.0,41.0
2020-04-15,257.0,51.0,46.0,22.0,136.0,1017827.0,332.0,39.0
2020-04-16,271.0,66.0,46.0,32.0,169.0,1017579.0,378.0,46.0
2020-04-17,343.0,92.0,54.0,46.0,203.0,1018503.0,441.0,63.0
2020-04-18,390.0,93.0,64.0,58.0,241.0,1018496.0,499.0,58.0
2020-04-19,441.0,112.0,89.0,65.0,266.0,1019221.0,587.0,88.0
2020-04-20,548.0,120.0,101.0,78.0,296.0,1019082.0,676.0,89.0
2020-04-21,667.0,116.0,113.0,93.0,370.0,1018287.0,766.0,90.0
2020-04-22,742.0,136.0,126.0,124.0,407.0,1018616.0,885.0,119.0
2020-04-23,822.0,193.0,147.0,118.0,470.0,1017502.0,1049.0,164.0
2020-04-24,969.0,203.0,173.0,121.0,590.0,1017960.0,1204.0,155.0
2020-04-25,1123.0,247.0,198.0,132.0,660.0,1017732.0,1400.0,196.0
2020-04-26,1308.0,254.0,262.0,173.0,760.0,1017830.0,1630.0,230.0
2020-04-27,1522.0,354.0,258.0,214.0,872.0,1018365.0,1905.0,275.0
