time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,0.0,0.0,0.0,971337.0,0.0,0.0
2020-03-07,1.0,0.0,1.0,0.0,0.0,973764.0,0.0,0.0
2020-03-08,2.0,0.0,0.0,0.0,1.0,980309.0,0.0,0.0
2020-03-09,0.0,1.0,0.0,0.0,1.0,986837.0,1.0,1.0
2020-03-10,0.0,0.0,1.0,0.0,1.0,992163.0,1.0,0.0
2020-03-11,1.0,0.0,0.0,0.0,1.0,997244.0,1.0,0.0
2020-03-12,1.0,0.0,0.0,0.0,0.0,1000197.0,1.0,0.0
2020-03-13,1.0,0.0,0.0,0.0,0.0,1002956.0,1.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,0.0,1005093.0,1.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,0.0,1006363.0,1.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,1.0,1007695.0,1.0,0.0
2020-03-17,1.0,0.0,0.0,0.0,1.0,1008597.0,1.0,0.0
2020-03-18,0.0,0.0,0.0,0.0,0.0,1010086.0,1.0,0.0
2020-03-19,0.0,0.0,0.0,0.0,0.0,1010172.0,1.0,0.0
2020-03-20,0.0,0.0,0.0,0.0,0.0,1011021.0,1.0,0.0
2020-03-21,1.0,0.0,0.0,0.0,0.0,1011236.0,1.0,0.0
2020-03-22,0.0,0.0,0.0,0.0,0.0,1012654.0,1.0,0.0
2020-03-23,0.0,0.0,1.0,0.0,0.0,1013894.0,1.0,0.0
2020-03-24,1.0,0.0,1.0,0.0,0.0,1015177.0,1.0,0.0
2020-03-25,2.0,0.0,0.0,0.0,0.0,1013508.0,1.0,0.0
2020-03-26,4.0,0.0,1.0,0.0,1.0,1013388.0,1.0,0.0
2020-03-27,5.0,0.0,1.0,1.0,1.0,1014502.0,1.0,0.0
2020-03-28,7.0,2.0,1.0,1.0,2.0,1015883.0,3.0,2.0
2020-03-29,8.0,1.0,3.0,0.0,3.0,1015846.0,4.0,1.0
2020-03-30,9.0,2.0,2.0,1.0,2.0,1016882.0,6.0,2.0
2020-03-31,13.0,2.0,3.0,1.0,5.0,1017752.0,7.0,1.0
2020-04-01,19.0,2.0,5.0,1.0,6.0,1018927.0,9.0,2.0
2020-04-02,15.0,1.0,3.0,1.0,11.0,1017478.0,10.0,1.0
2020-04-03,19.0,4.0,3.0,3.0,10.0,1016678.0,17.0,7.0
2020-04-04,23.0,6.0,4.0,2.0,10.0,1015904.0,21.0,4.0
2020-04-05,21.0,8.0,4.0,1.0,12.0,1016087.0,26.0,5.0
2020-04-06,29.0,6.0,7.0,1.0,17.0,1015452.0,29.0,3.0
2020-04-07,35.0,4.0,10.0,7.0,17.0,1014729.0,32.0,3.0
2020-04-08,30.0,12.0,4.0,5.0,22.0,1014579.0,43.0,11.0
2020-04-09,34.0,11.0,4.0,5.0,24.0,1016570.0,46.0,3.0
2020-04-10,42.0,11.0,6.0,6.0,25.0,1016141.0,55.0,9.0
2020-04-11,49.0,13.0,11.0,6.0,28.0,1016903.0,65.0,10.0
2020-04-12,79.0,15.0,7.0,14.0,37.0,1017106.0,72.0,7.0
2020-04-13,83.0,28.0,11.0,9.0,49.0,1017302.0,95.0,23.0
2020-04-14,88.0,22.0,24.0,12.0,60.0,1017101.0,111.0,16.0
2020-04-15,115.0,28.0,20.0,15.0,59.0,1020128.0,124.0,13.0
2020-04-16,137.0,39.0,26.0,20.0,78.0,1019817.0,150.0,26.0
2020-04-17,180.0,37.0,41.0,12.0,107.0,1019763.0,182.0,32.0
2020-04-18,195.0,46.0,37.0,24.0,101.0,1019571.0,218.0,36.0
2020-04-19,226.0,50.0,43.0,31.0,124.0,1019279.0,245.0,27.0
2020-04-20,274.0,63.0,47.0,36.0,132.0,1019709.0,295.0,50.0
2020-04-21,340.0,83.0,59.0,40.0,171.0,1018538.0,359.0,64.0
2020-04-22,373.0,96.0,68.0,49.0,190.0,1018989.0,430.0,71.0
2020-04-23,423.0,101.0,64.0,60.0,213.0,1019372.0,501.0,71.0
2020-04-24,521.0,95.0,83.0,55.0,276.0,1020198.0,579.0,78.0
2020-04-25,559.0,129.0,86.0,97.0,297.0,1019911.0,684.0,105.0
2020-04-26,661.0,135.0,117.0,100.0,363.0,1020818.0,797.0,113.0
2020-04-27,738.0,175.0,140.0,113.0,433.0,1020231.0,931.0,134.0
2020-04-28,897.0,197.0,172.0,127.0,508.0,1018943.0,1075.0,144.0
2020-04-29,1031.0,250.0,196.0,145.0,597.0,1019490.0,1273.0,198.0
2020-04-30,1211.0,280.0,212.0,175.0,708.0,1019870.0,1471.0,198.0
2020-05-01,1423.0,289.0,264.0,206.0,786.0,1019299.0,1694.0,223.0
2020-05-02,1690.0,341.0,311.0,225.0,916.0,1018804.0,1968.0,274.0
2020-05-03,1912.0,406.0,331.0,250.0,1082.0,1018783.0,2282.0,314.0
2020-05-04,2214.0,453.0,408.0,312.0,1241.0,1018817.0,2651.0,369.0
2020-05-05,2643.0,575.0,460.0,358.0,1470.0,1016810.0,3115.0,464.0
2020-05-06,3098.0,668.0,514.0,440.0,1750.0,1016644.0,3605.0,490.0
2020-05-07,3592.0,807.0,612.0,475.0,2090.0,1015410.0,4237.0,632.0
2020-05-08,4122.0,921.0,735.0,554.0,2369.0,1014239.0,4923.0,686.0
2020-05-09,4918.0,1048.0,851.0,653.0,2756.0,1013322.0,5713.0,790.0
2020-05-10,5705.0,1260.0,1017.0,768.0,3266.0,1010440.0,6721.0,1008.0
2020-05-11,6720.0,1438.0,1128.0,914.0,3816.0,1008577.0,7843.0,1122.0
2020-05-12,7797.0,1707.0,1327.0,1056.0,4399.0,1005839.0,9204.0,1361.0
2020-05-13,8980.0,1943.0,1588.0,1246.0,5196.0,1003385.0,10794.0,1590.0
2020-05-14,10526.0,2278.0,1864.0,1480.0,6143.0,1000409.0,12579.0,1785.0
