time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,2.0,0.0,0.0,0.0,969820.0,0.0,0.0
2020-03-07,1.0,1.0,0.0,1.0,0.0,972598.0,0.0,0.0
2020-03-08,0.0,0.0,1.0,0.0,0.0,979218.0,1.0,1.0
2020-03-09,0.0,0.0,0.0,0.0,0.0,987514.0,1.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,993493.0,1.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,0.0,998095.0,1.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,0.0,1000783.0,1.0,0.0
2020-03-13,1.0,0.0,1.0,0.0,0.0,1003716.0,1.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,0.0,1007005.0,1.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,1.0,1007316.0,1.0,0.0
2020-03-16,2.0,0.0,0.0,0.0,1.0,1008441.0,1.0,0.0
2020-03-17,1.0,0.0,0.0,0.0,0.0,1009200.0,1.0,0.0
2020-03-18,5.0,2.0,0.0,0.0,2.0,1010388.0,3.0,2.0
2020-03-19,3.0,2.0,2.0,0.0,2.0,1011854.0,4.0,1.0
2020-03-20,5.0,1.0,1.0,0.0,3.0,1012860.0,4.0,0.0
2020-03-21,7.0,5.0,1.0,0.0,5.0,1013300.0,6.0,2.0
2020-03-22,12.0,4.0,2.0,1.0,4.0,1013191.0,8.0,2.0
2020-03-23,10.0,8.0,1.0,1.0,4.0,1013872.0,13.0,5.0
2020-03-24,16.0,6.0,2.0,6.0,3.0,1013307.0,16.0,3.0
2020-03-25,18.0,4.0,1.0,3.0,9.0,1014210.0,16.0,0.0
2020-03-26,18.0,4.0,2.0,2.0,9.0,1014688.0,19.0,3.0
2020-03-27,17.0,4.0,4.0,1.0,10.0,1016605.0,21.0,2.0
2020-03-28,19.0,5.0,3.0,4.0,7.0,1016918.0,22.0,1.0
2020-03-29,24.0,4.0,4.0,3.0,14.0,1015825.0,24.0,2.0
2020-03-30,23.0,5.0,2.0,6.0,17.0,1016364.0,28.0,4.0
2020-03-31,37.0,3.0,5.0,4.0,18.0,1015692.0,30.0,2.0
2020-04-01,36.0,13.0,7.0,4.0,16.0,1015545.0,42.0,12.0
2020-04-02,46.0,7.0,8.0,2.0,21.0,1015507.0,47.0,5.0
2020-04-03,48.0,8.0,10.0,4.0,26.0,1015414.0,55.0,8.0
2020-04-04,63.0,12.0,12.0,4.0,23.0,1016038.0,65.0,10.0
2020-04-05,70.0,10.0,16.0,11.0,31.0,1016353.0,69.0,4.0
2020-04-06,85.0,22.0,16.0,15.0,42.0,1017504.0,90.0,21.0
2020-04-07,115.0,16.0,19.0,19.0,54.0,1015825.0,99.0,9.0
2020-04-08,123.0,17.0,20.0,22.0,66.0,1017068.0,115.0,16.0
2020-04-09,136.0,25.0,22.0,19.0,86.0,1017264.0,134.0,19.0
2020-04-10,173.0,32.0,26.0,22.0,106.0,1018417.0,161.0,27.0
2020-04-11,215.0,51.0,34.0,28.0,115.0,1019211.0,194.0,33.0
2020-04-12,201.0,50.0,41.0,32.0,135.0,1019798.0,237.0,43.0
2020-04-13,239.0,59.0,41.0,43.0,139.0,1018591.0,283.0,46.0
2020-04-14,265.0,56.0,55.0,46.0,159.0,1019613.0,328.0,45.0
2020-04-15,348.0,72.0,65.0,45.0,181.0,1018467.0,375.0,47.0
2020-04-16,396.0,91.0,77.0,55.0,223.0,1019485.0,451.0,76.0
2020-04-17,447.0,115.0,86.0,65.0,280.0,1019465.0,544.0,93.0
2020-04-18,534.0,148.0,116.0,81.0,310.0,1020347.0,671.0,127.0
2020-04-19,655.0,158.0,129.0,101.0,382.0,1019696.0,793.0,122.0
2020-04-20,801.0,200.0,140.0,101.0,466.0,1021205.0,931.0,138.0
2020-04-21,966.0,230.0,151.0,124.0,556.0,1020860.0,1105.0,174.0
2020-04-22,1105.0,258.0,197.0,144.0,613.0,1019360.0,1307.0,202.0
2020-04-23,1261.0,276.0,229.0,178.0,756.0,1018587.0,1542.0,235.0
2020-04-24,1413.0,337.0,255.0,201.0,871.0,1018720.0,1819.0,277.0
