time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,2.0,2.0,0.0,0.0,0.0,970506.0,0.0,0.0
2020-03-07,1.0,1.0,1.0,0.0,0.0,973292.0,1.0,1.0
2020-03-08,1.0,1.0,1.0,0.0,0.0,978116.0,2.0,1.0
2020-03-09,3.0,1.0,0.0,1.0,0.0,985289.0,2.0,0.0
2020-03-10,4.0,0.0,0.0,1.0,0.0,992060.0,2.0,0.0
2020-03-11,3.0,0.0,1.0,0.0,1.0,996104.0,3.0,1.0
2020-03-12,2.0,1.0,0.0,1.0,1.0,1001329.0,4.0,1.0
2020-03-13,0.0,1.0,1.0,0.0,1.0,1003367.0,4.0,0.0
2020-03-14,1.0,1.0,0.0,1.0,2.0,1005302.0,4.0,0.0
2020-03-15,2.0,0.0,0.0,1.0,3.0,1006310.0,4.0,0.0
2020-03-16,2.0,2.0,0.0,0.0,2.0,1007195.0,5.0,1.0
2020-03-17,6.0,0.0,1.0,0.0,3.0,1009593.0,5.0,0.0
2020-03-18,10.0,0.0,2.0,0.0,5.0,1009849.0,6.0,1.0
2020-03-19,8.0,0.0,2.0,2.0,5.0,1011130.0,7.0,1.0
2020-03-20,8.0,1.0,2.0,1.0,6.0,1012283.0,9.0,2.0
2020-03-21,11.0,0.0,3.0,1.0,6.0,1011800.0,10.0,1.0
2020-03-22,6.0,2.0,3.0,1.0,6.0,1012769.0,14.0,4.0
2020-03-23,11.0,3.0,1.0,2.0,6.0,1013190.0,16.0,2.0
2020-03-24,13.0,3.0,1.0,0.0,7.0,1014159.0,17.0,1.0
2020-03-25,17.0,2.0,5.0,2.0,6.0,1013954.0,20.0,3.0
2020-03-26,16.0,3.0,3.0,2.0,8.0,1015401.0,24.0,4.0
2020-03-27,17.0,4.0,6.0,1.0,14.0,1015688.0,27.0,3.0
2020-03-28,18.0,4.0,6.0,0.0,15.0,1014438.0,27.0,0.0
2020-03-29,22.0,3.0,2.0,6.0,16.0,1015189.0,29.0,2.0
2020-03-30,33.0,3.0,6.0,9.0,17.0,1014903.0,33.0,4.0
2020-03-31,38.0,5.0,9.0,8.0,18.0,1015310.0,40.0,7.0
2020-04-01,49.0,13.0,7.0,5.0,24.0,1015604.0,51.0,11.0
2020-04-02,55.0,9.0,10.0,8.0,21.0,1015890.0,55.0,4.0
2020-04-03,62.0,17.0,10.0,9.0,28.0,1016956.0,67.0,12.0
2020-04-04,68.0,20.0,11.0,8.0,36.0,1017329.0,78.0,11.0
2020-04-05,79.0,20.0,11.0,7.0,44.0,1016187.0,87.0,9.0
2020-04-06,93.0,23.0,11.0,16.0,46.0,1016893.0,106.0,19.0
2020-04-07,97.0,26.0,14.0,15.0,54.0,1016379.0,122.0,16.0
2020-04-08,106.0,28.0,15.0,20.0,66.0,1015413.0,144.0,22.0
2020-04-09,124.0,29.0,23.0,21.0,73.0,1015979.0,166.0,22.0
2020-04-10,163.0,32.0,18.0,29.0,76.0,1016837.0,190.0,24.0
2020-04-11,190.0,33.0,28.0,16.0,98.0,1015898.0,218.0,28.0
2020-04-12,214.0,41.0,38.0,23.0,103.0,1017123.0,254.0,36.0
2020-04-13,239.0,53.0,43.0,35.0,140.0,1017739.0,297.0,43.0
2020-04-14,278.0,58.0,40.0,39.0,147.0,1017440.0,338.0,41.0
2020-04-15,315.0,83.0,46.0,45.0,173.0,1017942.0,400.0,62.0
2020-04-16,356.0,68.0,55.0,70.0,213.0,1018829.0,459.0,59.0
2020-04-17,417.0,98.0,72.0,55.0,237.0,1017891.0,533.0,74.0
2020-04-18,508.0,107.0,79.0,65.0,296.0,1017016.0,612.0,79.0
2020-04-19,587.0,136.0,109.0,71.0,336.0,1017604.0,717.0,105.0
2020-04-20,696.0,156.0,121.0,92.0,386.0,1017089.0,831.0,114.0
2020-04-21,771.0,160.0,158.0,117.0,452.0,1018297.0,955.0,124.0
2020-04-22,896.0,198.0,150.0,145.0,526.0,1018775.0,1121.0,166.0
2020-04-23,1042.0,232.0,175.0,130.0,615.0,1019406.0,1306.0,185.0
2020-04-24,1272.0,294.0,216.0,152.0,714.0,1018963.0,1507.0,201.0
2020-04-25,1491.0,335.0,254.0,190.0,856.0,1017067.0,1763.0,256.0
