time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,3.0,0.0,0.0,0.0,970869.0,0.0,0.0
2020-03-07,1.0,0.0,0.0,1.0,0.0,974619.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,0.0,1.0,981558.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,0.0,987540.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,993168.0,0.0,0.0
2020-03-11,2.0,0.0,0.0,0.0,0.0,996496.0,0.0,0.0
2020-03-12,1.0,0.0,0.0,0.0,0.0,999511.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,0.0,1002468.0,1.0,1.0
2020-03-14,0.0,0.0,0.0,0.0,0.0,1003966.0,1.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,0.0,1006461.0,1.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,0.0,1007240.0,1.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,0.0,1008457.0,1.0,0.0
2020-03-18,1.0,0.0,0.0,0.0,0.0,1008788.0,1.0,0.0
2020-03-19,2.0,0.0,0.0,0.0,1.0,1010331.0,1.0,0.0
2020-03-20,2.0,1.0,0.0,0.0,0.0,1010290.0,2.0,1.0
2020-03-21,1.0,1.0,0.0,0.0,0.0,1011497.0,3.0,1.0
2020-03-22,1.0,0.0,0.0,0.0,0.0,1011700.0,3.0,0.0
2020-03-23,2.0,0.0,0.0,0.0,0.0,1012875.0,3.0,0.0
2020-03-24,1.0,1.0,0.0,1.0,0.0,1013244.0,3.0,0.0
2020-03-25,3.0,0.0,1.0,1.0,2.0,1013309.0,3.0,0.0
2020-03-26,3.0,2.0,0.0,1.0,2.0,1014197.0,5.0,2.0
2020-03-27,4.0,3.0,0.0,1.0,2.0,1015439.0,6.0,1.0
2020-03-28,4.0,1.0,2.0,1.0,2.0,1015995.0,7.0,1.0
2020-03-29,5.0,0.0,1.0,0.0,2.0,1016396.0,8.0,1.0
2020-03-30,8.0,1.0,0.0,0.0,5.0,1016084.0,8.0,0.0
2020-03-31,10.0,0.0,1.0,1.0,7.0,1015669.0,8.0,0.0
2020-04-01,12.0,2.0,1.0,2.0,4.0,1016202.0,8.0,0.0
2020-04-02,11.0,1.0,3.0,0.0,8.0,1016687.0,10.0,2.0
2020-04-03,14.0,3.0,1.0,2.0,8.0,1016885.0,11.0,1.0
2020-04-04,19.0,7.0,3.0,1.0,12.0,1017813.0,15.0,4.0
2020-04-05,15.0,4.0,5.0,3.0,10.0,1018850.0,16.0,1.0
2020-04-06,24.0,4.0,5.0,6.0,16.0,1018865.0,20.0,4.0
2020-04-07,20.0,1.0,6.0,1.0,16.0,1018255.0,23.0,3.0
2020-04-08,29.0,6.0,3.0,2.0,20.0,1018128.0,26.0,3.0
2020-04-09,36.0,13.0,6.0,1.0,26.0,1018097.0,32.0,6.0
2020-04-10,44.0,14.0,9.0,5.0,38.0,1017788.0,38.0,6.0
2020-04-11,71.0,10.0,12.0,5.0,42.0,1018395.0,43.0,5.0
2020-04-12,68.0,13.0,15.0,12.0,34.0,1018969.0,59.0,16.0
2020-04-13,74.0,11.0,16.0,16.0,43.0,1017899.0,73.0,14.0
2020-04-14,88.0,15.0,15.0,12.0,59.0,1018597.0,94.0,21.0
2020-04-15,107.0,20.0,15.0,17.0,59.0,1017542.0,112.0,18.0
2020-04-16,133.0,29.0,24.0,26.0,73.0,1018159.0,136.0,24.0
2020-04-17,166.0,24.0,39.0,25.0,83.0,1020782.0,152.0,16.0
2020-04-18,188.0,36.0,30.0,35.0,87.0,1018964.0,189.0,37.0
2020-04-19,207.0,36.0,31.0,29.0,105.0,1019177.0,215.0,26.0
2020-04-20,219.0,57.0,38.0,30.0,135.0,1019016.0,263.0,48.0
2020-04-21,271.0,53.0,48.0,31.0,165.0,1019185.0,301.0,38.0
2020-04-22,333.0,61.0,65.0,39.0,191.0,1020064.0,352.0,51.0
2020-04-23,392.0,81.0,55.0,62.0,201.0,1019720.0,416.0,64.0
2020-04-24,459.0,98.0,67.0,61.0,255.0,1018959.0,497.0,81.0
2020-04-25,554.0,123.0,85.0,63.0,312.0,1019946.0,602.0,105.0
2020-04-26,645.0,141.0,105.0,75.0,360.0,1019789.0,715.0,113.0
2020-04-27,745.0,162.0,143.0,105.0,410.0,1020745.0,836.0,121.0
2020-04-28,827.0,192.0,177.0,124.0,490.0,1021075.0,996.0,160.0
2020-04-29,1021.0,222.0,194.0,137.0,558.0,1020362.0,1162.0,166.0
2020-04-30,1164.0,275.0,198.0,151.0,690.0,1020489.0,1381.0,219.0
2020-05-01,1312.0,301.0,269.0,179.0,787.0,1019693.0,1638.0,257.0
2020-05-02,1540.0,320.0,307.0,215.0,926.0,1018376.0,1877.0,239.0
2020-05-03,1875.0,341.0,325.0,247.0,1123.0,1017597.0,2162.0,285.0
2020-05-04,2153.0,460.0,400.0,294.0,1278.0,1016502.0,2534.0,372.0
2020-05-05,2564.0,534.0,430.0,362.0,1481.0,1016944.0,2942.0,408.0
2020-05-06,3036.0,626.0,521.0,415.0,1730.0,1017383.0,3441.0,499.0
2020-05-07,3544.0,738.0,614.0,531.0,2098.0,1016227.0,4060.0,619.0
2020-05-08,4157.0,908.0,709.0,621.0,2443.0,1014474.0,4741.0,681.0
2020-05-09,4870.0,1107.0,888.0,692.0,2875.0,1013988.0,5631.0,890.0
2020-05-10,5756.0,1248.0,1087.0,825.0,3333.0,1011995.0,6604.0,973.0
2020-05-11,6801.0,1431.0,1225.0,957.0,3900.0,1010239.0,7709.0,1105.0
2020-05-12,7902.0,1750.0,1391.0,1130.0,4611.0,1006945.0,9093.0,1384.0
2020-05-13,9243.0,2077.0,1613.0,1344.0,5438.0,1004832.0,10671.0,1578.0
2020-05-14,10815.0,2398.0,1948.0,1526.0,6328.0,1000579.0,12562.0,1891.0
2020-05-15,12685.0,2797.0,2316.0,1796.0,7410.0,996313.0,14834.0,2272.0
2020-05-16,14972.0,3264.0,2579.0,2099.0,8700.0,991676.0,17373.0,2539.0
2020-05-17,17315.0,3791.0,3046.0,2515.0,9992.0,987948.0,20314.0,2941.0
2020-05-18,19877.0,4450.0,3541.0,2782.0,11697.0,981838.0,23678.0,3364.0
2020-05-19,23429.0,5125.0,4196.0,3204.0,13653.0,975324.0,27606.0,3928.0
2020-05-20,26990.0,6093.0,4878.0,3823.0,15810.0,968162.0,32324.0,4718.0
2020-05-21,31317.0,6982.0,5622.0,4507.0,18548.0,958763.0,37657.0,5333.0
2020-05-22,35979.0,8005.0,6567.0,5277.0,21726.0,948380.0,43802.0,6145.0
2020-05-23,41279.0,9150.0,7569.0,6069.0,25700.0,935241.0,50822.0,7020.0
2020-05-24,47759.0,10587.0,8898.0,7158.0,29654.0,921303.0,59036.0,8214.0
2020-05-25,54782.0,12300.0,10014.0,8203.0,34677.0,905014.0,68331.0,9295.0
2020-05-26,62170.0,14158.0,11208.0,9491.0,40408.0,887379.0,78991.0,10660.0
2020-05-27,70662.0,16138.0,13314.0,10717.0,46992.0,867645.0,91466.0,12475.0
2020-05-28,79879.0,18305.0,15311.0,12468.0,54303.0,844689.0,105278.0,13812.0
2020-05-29,90129.0,20695.0,17275.0,14546.0,63154.0,819829.0,120866.0,15588.0
2020-05-30,101349.0,23278.0,19583.0,16323.0,73222.0,792547.0,138458.0,17592.0
2020-05-31,112074.0,26355.0,21958.0,18463.0,84490.0,763751.0,158312.0,19854.0
2020-06-01,123772.0,29147.0,24559.0,20815.0,97131.0,731754.0,180009.0,21697.0
2020-06-02,135624.0,32320.0,27550.0,23327.0,111315.0,697460.0,204045.0,24036.0
2020-06-03,146872.0,35365.0,30517.0,26098.0,126728.0,660894.0,230100.0,26055.0
2020-06-04,157841.0,38421.0,33537.0,29131.0,144866.0,622618.0,258250.0,28150.0
2020-06-05,167666.0,41540.0,36976.0,31854.0,164639.0,584311.0,288835.0,30585.0
2020-06-06,176359.0,44302.0,39656.0,34893.0,186241.0,544902.0,320865.0,32030.0
2020-06-07,183395.0,46641.0,42343.0,37800.0,210340.0,506690.0,354460.0,33595.0
2020-06-08,189098.0,49004.0,45010.0,40506.0,236553.0,466807.0,389396.0,34936.0
2020-06-09,192598.0,50379.0,47130.0,43225.0,263769.0,430139.0,424915.0,35519.0
2020-06-10,194200.0,51367.0,49293.0,45570.0,292019.0,395134.0,461108.0,36193.0
2020-06-11,193783.0,52203.0,50314.0,47712.0,323190.0,361577.0,497495.0,36387.0
2020-06-12,191364.0,52275.0,51357.0,48963.0,354586.0,329021.0,533609.0,36114.0
2020-06-13,187027.0,52040.0,52005.0,50208.0,385934.0,299874.0,569204.0,35595.0
2020-06-14,181347.0,51282.0,51764.0,50696.0,419283.0,272935.0,603981.0,34777.0
2020-06-15,173698.0,49949.0,50660.0,50932.0,452770.0,249359.0,637312.0,33331.0
2020-06-16,164861.0,48154.0,50069.0,50661.0,485533.0,228202.0,669312.0,32000.0
