time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970626.0,0.0,0.0
2020-03-07,1.0,2.0,0.0,1.0,0.0,972335.0,0.0,0.0
2020-03-08,1.0,1.0,1.0,1.0,0.0,980062.0,0.0,0.0
2020-03-09,1.0,0.0,1.0,0.0,1.0,985647.0,0.0,0.0
2020-03-10,2.0,0.0,1.0,0.0,2.0,992179.0,0.0,0.0
2020-03-11,1.0,0.0,0.0,0.0,2.0,996778.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,2.0,999184.0,0.0,0.0
2020-03-13,1.0,0.0,0.0,0.0,1.0,1004174.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,1.0,1006120.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,2.0,1006809.0,0.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,1.0,1008179.0,0.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,1.0,1008920.0,0.0,0.0
2020-03-18,0.0,1.0,0.0,0.0,1.0,1010670.0,0.0,0.0
2020-03-19,3.0,0.0,1.0,0.0,1.0,1011870.0,0.0,0.0
2020-03-20,1.0,0.0,0.0,0.0,0.0,1011934.0,0.0,0.0
2020-03-21,1.0,0.0,0.0,0.0,0.0,1012251.0,0.0,0.0
2020-03-22,1.0,0.0,0.0,0.0,1.0,1013136.0,0.0,0.0
2020-03-23,2.0,0.0,0.0,0.0,1.0,1014382.0,0.0,0.0
2020-03-24,1.0,1.0,0.0,0.0,0.0,1015065.0,1.0,1.0
2020-03-25,0.0,2.0,1.0,0.0,0.0,1015408.0,2.0,1.0
2020-03-26,4.0,1.0,1.0,0.0,0.0,1015480.0,2.0,0.0
2020-03-27,2.0,0.0,2.0,0.0,0.0,1016568.0,2.0,0.0
2020-03-28,2.0,0.0,0.0,0.0,1.0,1016460.0,2.0,0.0
2020-03-29,2.0,0.0,0.0,0.0,2.0,1015344.0,2.0,0.0
