time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970125.0,0.0,0.0
2020-03-07,1.0,3.0,0.0,0.0,0.0,973952.0,0.0,0.0
2020-03-08,3.0,2.0,1.0,0.0,0.0,980927.0,0.0,0.0
2020-03-09,2.0,1.0,1.0,0.0,0.0,987875.0,0.0,0.0
2020-03-10,3.0,0.0,1.0,0.0,0.0,992932.0,0.0,0.0
2020-03-11,3.0,0.0,1.0,0.0,0.0,996727.0,0.0,0.0
2020-03-12,2.0,1.0,0.0,0.0,0.0,998778.0,0.0,0.0
2020-03-13,3.0,0.0,1.0,0.0,0.0,1001675.0,0.0,0.0
2020-03-14,2.0,0.0,1.0,0.0,0.0,1003428.0,0.0,0.0
2020-03-15,4.0,0.0,0.0,0.0,0.0,1005870.0,0.0,0.0
2020-03-16,1.0,2.0,0.0,0.0,0.0,1008709.0,2.0,2.0
2020-03-17,5.0,0.0,2.0,0.0,0.0,1009884.0,2.0,0.0
2020-03-18,5.0,1.0,3.0,1.0,2.0,1010777.0,4.0,2.0
2020-03-19,9.0,0.0,2.0,1.0,0.0,1011555.0,4.0,0.0
2020-03-20,8.0,2.0,1.0,2.0,2.0,1012424.0,5.0,1.0
2020-03-21,12.0,1.0,1.0,1.0,7.0,1013339.0,6.0,1.0
2020-03-22,10.0,3.0,2.0,1.0,5.0,1012995.0,8.0,2.0
2020-03-23,13.0,3.0,2.0,1.0,6.0,1014553.0,11.0,3.0
2020-03-24,14.0,1.0,2.0,2.0,5.0,1014218.0,12.0,1.0
2020-03-25,17.0,3.0,3.0,1.0,6.0,1014616.0,15.0,3.0
2020-03-26,27.0,3.0,5.0,3.0,5.0,1015194.0,17.0,2.0
2020-03-27,29.0,9.0,4.0,3.0,7.0,1014110.0,23.0,6.0
2020-03-28,30.0,8.0,6.0,5.0,14.0,1014174.0,29.0,6.0
2020-03-29,36.0,8.0,4.0,5.0,15.0,1013852.0,34.0,5.0
2020-03-30,39.0,12.0,8.0,5.0,20.0,1014883.0,47.0,13.0
2020-03-31,48.0,12.0,8.0,8.0,24.0,1014791.0,55.0,8.0
2020-04-01,56.0,8.0,7.0,15.0,18.0,1014935.0,60.0,5.0
2020-04-02,61.0,13.0,11.0,7.0,35.0,1014508.0,68.0,8.0
2020-04-03,82.0,16.0,14.0,13.0,36.0,1014560.0,83.0,15.0
2020-04-04,90.0,22.0,12.0,15.0,57.0,1014427.0,101.0,18.0
2020-04-05,102.0,22.0,18.0,17.0,67.0,1015564.0,115.0,14.0
2020-04-06,110.0,26.0,17.0,13.0,87.0,1016248.0,136.0,21.0
2020-04-07,117.0,26.0,27.0,15.0,86.0,1016280.0,152.0,16.0
2020-04-08,140.0,33.0,28.0,20.0,89.0,1017079.0,167.0,15.0
2020-04-09,180.0,37.0,32.0,32.0,103.0,1018435.0,197.0,30.0
2020-04-10,223.0,42.0,36.0,32.0,109.0,1017965.0,227.0,30.0
2020-04-11,237.0,58.0,39.0,29.0,137.0,1018552.0,271.0,44.0
2020-04-12,272.0,52.0,46.0,37.0,185.0,1018099.0,311.0,40.0
2020-04-13,315.0,69.0,52.0,47.0,178.0,1017096.0,361.0,50.0
2020-04-14,372.0,80.0,66.0,58.0,238.0,1017154.0,425.0,64.0
2020-04-15,417.0,118.0,77.0,53.0,267.0,1018367.0,526.0,101.0
2020-04-16,512.0,111.0,101.0,64.0,303.0,1019041.0,610.0,84.0
2020-04-17,604.0,132.0,127.0,78.0,375.0,1018579.0,724.0,114.0
2020-04-18,722.0,155.0,126.0,100.0,428.0,1018663.0,837.0,113.0
2020-04-19,808.0,189.0,142.0,118.0,493.0,1019335.0,982.0,145.0
2020-04-20,943.0,200.0,165.0,138.0,571.0,1019340.0,1141.0,159.0
2020-04-21,1079.0,234.0,173.0,156.0,664.0,1019470.0,1332.0,191.0
2020-04-22,1325.0,272.0,234.0,189.0,751.0,1018979.0,1555.0,223.0
2020-04-23,1600.0,339.0,259.0,237.0,872.0,1018541.0,1822.0,267.0
2020-04-24,1837.0,427.0,303.0,261.0,1027.0,1018047.0,2141.0,319.0
2020-04-25,2169.0,496.0,398.0,317.0,1211.0,1016190.0,2523.0,382.0
2020-04-26,2514.0,584.0,439.0,377.0,1465.0,1015464.0,2949.0,426.0
2020-04-27,3009.0,654.0,508.0,422.0,1714.0,1013677.0,3439.0,490.0
2020-04-28,3426.0,771.0,658.0,472.0,2007.0,1013711.0,4036.0,597.0
2020-04-29,4074.0,948.0,728.0,548.0,2311.0,1014491.0,4754.0,718.0
2020-04-30,4752.0,1076.0,785.0,651.0,2705.0,1011935.0,5584.0,830.0
2020-05-01,5570.0,1198.0,932.0,799.0,3170.0,1010049.0,6495.0,911.0
2020-05-02,6454.0,1399.0,1114.0,906.0,3682.0,1007847.0,7589.0,1094.0
2020-05-03,7481.0,1686.0,1327.0,1073.0,4332.0,1006426.0,8912.0,1323.0
2020-05-04,8932.0,1985.0,1523.0,1205.0,5120.0,1004549.0,10369.0,1457.0
2020-05-05,10278.0,2266.0,1789.0,1441.0,5977.0,1002209.0,12119.0,1750.0
2020-05-06,12024.0,2602.0,2087.0,1644.0,6844.0,998093.0,14081.0,1962.0
2020-05-07,13978.0,3128.0,2492.0,1889.0,8084.0,994782.0,16440.0,2359.0
2020-05-08,16071.0,3609.0,3012.0,2281.0,9502.0,988645.0,19222.0,2782.0
