time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,1.0,1.0,0.0,0.0,970817.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,1.0,0.0,972799.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0,0.0,978536.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,0.0,985653.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,1.0,992958.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,1.0,997253.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,1.0,1001052.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,0.0,1003760.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,1.0,1005116.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,1.0,1006734.0,0.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,1.0,1008035.0,0.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,1.0,1008431.0,0.0,0.0
2020-03-18,0.0,0.0,0.0,0.0,1.0,1008824.0,0.0,0.0
2020-03-19,0.0,0.0,0.0,0.0,2.0,1008717.0,0.0,0.0
2020-03-20,0.0,0.0,0.0,0.0,2.0,1009082.0,0.0,0.0
2020-03-21,0.0,0.0,0.0,0.0,2.0,1010687.0,0.0,0.0
2020-03-22,1.0,0.0,0.0,0.0,2.0,1012717.0,0.0,0.0
2020-03-23,0.0,1.0,0.0,0.0,2.0,1013948.0,1.0,1.0
2020-03-24,0.0,0.0,0.0,0.0,2.0,1013105.0,1.0,0.0
2020-03-25,1.0,0.0,0.0,0.0,3.0,1014484.0,1.0,0.0
2020-03-26,0.0,2.0,0.0,0.0,3.0,1015715.0,2.0,1.0
2020-03-27,0.0,0.0,3.0,0.0,1.0,1016023.0,2.0,0.0
2020-03-28,0.0,0.0,1.0,0.0,1.0,1015838.0,2.0,0.0
2020-03-29,2.0,0.0,0.0,1.0,1.0,1015473.0,2.0,0.0
2020-03-30,2.0,2.0,0.0,0.0,4.0,1016237.0,2.0,0.0
2020-03-31,4.0,4.0,0.0,0.0,5.0,1015562.0,4.0,2.0
2020-04-01,9.0,4.0,0.0,0.0,4.0,1016028.0,4.0,0.0
2020-04-02,8.0,0.0,3.0,0.0,3.0,1015940.0,4.0,0.0
2020-04-03,3.0,0.0,2.0,1.0,4.0,1015666.0,4.0,0.0
2020-04-04,4.0,0.0,4.0,2.0,3.0,1016284.0,5.0,1.0
2020-04-05,8.0,1.0,1.0,3.0,6.0,1015648.0,7.0,2.0
2020-04-06,9.0,3.0,2.0,2.0,6.0,1016516.0,9.0,2.0
2020-04-07,16.0,2.0,2.0,2.0,7.0,1017927.0,11.0,2.0
2020-04-08,17.0,3.0,2.0,3.0,7.0,1018475.0,14.0,3.0
2020-04-09,23.0,3.0,8.0,3.0,10.0,1018321.0,19.0,5.0
2020-04-10,26.0,5.0,4.0,6.0,10.0,1018605.0,23.0,4.0
2020-04-11,33.0,9.0,2.0,4.0,16.0,1019778.0,31.0,8.0
2020-04-12,36.0,10.0,8.0,3.0,25.0,1019701.0,39.0,8.0
2020-04-13,37.0,11.0,7.0,11.0,29.0,1020187.0,48.0,9.0
2020-04-14,57.0,13.0,5.0,10.0,36.0,1020122.0,55.0,7.0
2020-04-15,65.0,11.0,4.0,7.0,42.0,1021148.0,65.0,10.0
2020-04-16,67.0,18.0,7.0,8.0,42.0,1020410.0,79.0,14.0
2020-04-17,88.0,14.0,12.0,10.0,43.0,1019228.0,88.0,9.0
2020-04-18,72.0,21.0,12.0,7.0,53.0,1018575.0,105.0,17.0
2020-04-19,87.0,19.0,15.0,13.0,68.0,1019377.0,120.0,15.0
2020-04-20,103.0,25.0,17.0,14.0,63.0,1020288.0,136.0,16.0
2020-04-21,124.0,22.0,22.0,23.0,73.0,1020632.0,151.0,15.0
2020-04-22,156.0,38.0,27.0,16.0,90.0,1020868.0,176.0,25.0
2020-04-23,176.0,45.0,35.0,16.0,99.0,1020388.0,204.0,28.0
2020-04-24,222.0,49.0,42.0,23.0,102.0,1020176.0,247.0,43.0
2020-04-25,238.0,48.0,53.0,31.0,121.0,1020299.0,290.0,43.0
2020-04-26,323.0,62.0,53.0,35.0,151.0,1020948.0,341.0,51.0
2020-04-27,353.0,79.0,59.0,39.0,177.0,1021578.0,399.0,58.0
2020-04-28,444.0,75.0,69.0,67.0,209.0,1021115.0,466.0,67.0
2020-04-29,505.0,96.0,79.0,67.0,238.0,1021549.0,538.0,72.0
2020-04-30,580.0,121.0,103.0,70.0,266.0,1020876.0,636.0,98.0
2020-05-01,611.0,144.0,117.0,80.0,355.0,1020624.0,755.0,119.0
2020-05-02,768.0,172.0,148.0,101.0,392.0,1021407.0,866.0,111.0
2020-05-03,860.0,188.0,163.0,130.0,478.0,1020926.0,1012.0,146.0
2020-05-04,1036.0,229.0,165.0,157.0,528.0,1019426.0,1180.0,168.0
2020-05-05,1221.0,266.0,196.0,170.0,654.0,1020240.0,1385.0,205.0
2020-05-06,1486.0,276.0,275.0,181.0,794.0,1019586.0,1606.0,221.0
2020-05-07,1646.0,341.0,292.0,209.0,935.0,1018758.0,1893.0,287.0
2020-05-08,1846.0,403.0,357.0,254.0,1053.0,1018147.0,2226.0,333.0
2020-05-09,2219.0,465.0,387.0,306.0,1206.0,1017934.0,2592.0,366.0
2020-05-10,2598.0,567.0,437.0,350.0,1402.0,1017403.0,3053.0,461.0
2020-05-11,3020.0,663.0,492.0,386.0,1707.0,1016336.0,3548.0,495.0
2020-05-12,3404.0,783.0,607.0,493.0,1984.0,1016352.0,4160.0,612.0
2020-05-13,4024.0,844.0,713.0,562.0,2323.0,1016502.0,4823.0,663.0
2020-05-14,4629.0,970.0,824.0,663.0,2764.0,1015769.0,5610.0,787.0
2020-05-15,5428.0,1206.0,933.0,773.0,3216.0,1013458.0,6518.0,908.0
2020-05-16,6414.0,1399.0,1144.0,878.0,3709.0,1010288.0,7606.0,1088.0
2020-05-17,7400.0,1698.0,1381.0,1016.0,4377.0,1008875.0,8910.0,1304.0
2020-05-18,8577.0,1948.0,1530.0,1255.0,5026.0,1006388.0,10429.0,1519.0
2020-05-19,9959.0,2239.0,1747.0,1442.0,5842.0,1003280.0,12189.0,1760.0
2020-05-20,11553.0,2646.0,2086.0,1602.0,6754.0,999946.0,14236.0,2047.0
2020-05-21,13585.0,2991.0,2380.0,1938.0,7892.0,996487.0,16504.0,2268.0
2020-05-22,15725.0,3561.0,2760.0,2180.0,9220.0,990437.0,19250.0,2746.0
2020-05-23,18202.0,4059.0,3274.0,2640.0,10745.0,985881.0,22353.0,3103.0
2020-05-24,21104.0,4706.0,3801.0,3096.0,12625.0,980524.0,25928.0,3575.0
2020-05-25,24858.0,5502.0,4382.0,3594.0,14913.0,972388.0,30149.0,4221.0
2020-05-26,28839.0,6412.0,5105.0,4180.0,17334.0,964177.0,35137.0,4988.0
2020-05-27,33375.0,7467.0,6012.0,4873.0,20030.0,954963.0,40940.0,5803.0
2020-05-28,38274.0,8450.0,6954.0,5604.0,23442.0,943200.0,47374.0,6434.0
2020-05-29,44031.0,9878.0,7957.0,6525.0,27305.0,928937.0,54936.0,7562.0
2020-05-30,50681.0,11486.0,9204.0,7593.0,31813.0,915437.0,63627.0,8691.0
2020-05-31,58065.0,12955.0,10803.0,8681.0,37221.0,899343.0,73595.0,9968.0
2020-06-01,65681.0,14812.0,12193.0,10122.0,42888.0,881340.0,84911.0,11316.0
2020-06-02,74609.0,16991.0,13848.0,11568.0,49631.0,860763.0,97672.0,12761.0
2020-06-03,84125.0,19112.0,15899.0,13151.0,57357.0,837695.0,112219.0,14547.0
2020-06-04,93560.0,21693.0,17817.0,15069.0,66184.0,811608.0,128727.0,16508.0
2020-06-05,104349.0,24291.0,20300.0,16965.0,76438.0,783346.0,146979.0,18252.0
2020-06-06,115779.0,27016.0,23016.0,19260.0,87920.0,752792.0,167577.0,20598.0
2020-06-07,127902.0,29975.0,25727.0,21738.0,101355.0,721021.0,190105.0,22528.0
2020-06-08,139088.0,33181.0,28516.0,24380.0,115817.0,687192.0,214770.0,24665.0
2020-06-09,149756.0,36280.0,31404.0,27160.0,132619.0,649820.0,241645.0,26875.0
2020-06-10,160115.0,39133.0,34291.0,29928.0,150435.0,612103.0,270376.0,28731.0
2020-06-11,169847.0,42206.0,37569.0,32279.0,170361.0,572913.0,301150.0,30774.0
2020-06-12,178392.0,44961.0,40211.0,35333.0,192439.0,535218.0,333431.0,32281.0
2020-06-13,185117.0,47126.0,43368.0,38235.0,216719.0,497078.0,367404.0,33973.0
2020-06-14,190056.0,49014.0,46068.0,40990.0,241631.0,459249.0,402400.0,34996.0
2020-06-15,193434.0,50746.0,47621.0,43963.0,268168.0,422364.0,438531.0,36131.0
2020-06-16,194301.0,51939.0,49511.0,46167.0,297658.0,387850.0,474929.0,36398.0
2020-06-17,193284.0,52675.0,50824.0,47887.0,328688.0,354208.0,511582.0,36653.0
2020-06-18,191323.0,52753.0,51508.0,49228.0,360690.0,323427.0,547881.0,36299.0
2020-06-19,186465.0,52552.0,51668.0,50022.0,392548.0,295876.0,583701.0,35820.0
2020-06-20,179557.0,51382.0,52014.0,50750.0,424319.0,270118.0,618653.0,34952.0
2020-06-21,171927.0,50025.0,50995.0,51262.0,456487.0,246010.0,651909.0,33256.0
2020-06-22,163178.0,47998.0,49858.0,50548.0,489406.0,226092.0,683722.0,31813.0
2020-06-23,154412.0,45565.0,48383.0,49568.0,522421.0,207934.0,713780.0,30058.0
