time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970152.0,0.0,0.0
2020-03-07,0.0,1.0,0.0,0.0,0.0,972002.0,0.0,0.0
2020-03-08,2.0,0.0,1.0,0.0,0.0,979034.0,0.0,0.0
2020-03-09,2.0,0.0,1.0,0.0,0.0,986306.0,0.0,0.0
2020-03-10,1.0,1.0,0.0,0.0,0.0,992016.0,1.0,1.0
2020-03-11,1.0,0.0,0.0,0.0,0.0,996300.0,1.0,0.0
2020-03-12,0.0,0.0,1.0,0.0,1.0,1000359.0,2.0,1.0
2020-03-13,0.0,0.0,0.0,0.0,1.0,1003188.0,2.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,0.0,1004787.0,2.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,1.0,1007571.0,2.0,0.0
2020-03-16,1.0,0.0,0.0,0.0,0.0,1008378.0,2.0,0.0
2020-03-17,2.0,1.0,0.0,0.0,0.0,1009952.0,2.0,0.0
2020-03-18,3.0,1.0,0.0,0.0,0.0,1010348.0,2.0,0.0
2020-03-19,1.0,1.0,0.0,0.0,0.0,1010533.0,2.0,0.0
2020-03-20,4.0,1.0,0.0,0.0,2.0,1011370.0,2.0,0.0
2020-03-21,4.0,0.0,0.0,1.0,0.0,1013458.0,2.0,0.0
2020-03-22,2.0,1.0,0.0,1.0,1.0,1013249.0,3.0,1.0
2020-03-23,4.0,0.0,1.0,2.0,3.0,1013042.0,3.0,0.0
2020-03-24,8.0,0.0,0.0,2.0,4.0,1012840.0,3.0,0.0
2020-03-25,10.0,0.0,2.0,2.0,8.0,1012156.0,4.0,1.0
2020-03-26,8.0,3.0,1.0,1.0,5.0,1013037.0,7.0,3.0
2020-03-27,11.0,1.0,1.0,0.0,8.0,1014240.0,9.0,2.0
2020-03-28,14.0,2.0,1.0,0.0,7.0,1014180.0,11.0,2.0
2020-03-29,8.0,3.0,0.0,3.0,8.0,1014125.0,14.0,3.0
2020-03-30,12.0,0.0,2.0,1.0,7.0,1014544.0,15.0,1.0
2020-03-31,15.0,0.0,4.0,0.0,6.0,1015112.0,18.0,3.0
2020-04-01,14.0,1.0,3.0,0.0,9.0,1016631.0,19.0,1.0
2020-04-02,14.0,2.0,1.0,1.0,10.0,1016048.0,20.0,1.0
2020-04-03,15.0,4.0,1.0,2.0,13.0,1016372.0,24.0,4.0
2020-04-04,20.0,8.0,2.0,3.0,16.0,1015612.0,28.0,4.0
2020-04-05,35.0,5.0,6.0,0.0,17.0,1017233.0,30.0,2.0
2020-04-06,33.0,10.0,10.0,3.0,16.0,1017656.0,41.0,11.0
2020-04-07,41.0,4.0,8.0,8.0,22.0,1018573.0,42.0,1.0
2020-04-08,48.0,15.0,5.0,12.0,26.0,1018039.0,54.0,12.0
2020-04-09,44.0,20.0,10.0,11.0,30.0,1018756.0,64.0,10.0
2020-04-10,59.0,12.0,22.0,12.0,39.0,1017734.0,76.0,12.0
2020-04-11,69.0,12.0,17.0,8.0,51.0,1017536.0,86.0,10.0
2020-04-12,92.0,19.0,20.0,13.0,52.0,1017778.0,106.0,20.0
2020-04-13,109.0,23.0,15.0,14.0,64.0,1018517.0,121.0,15.0
2020-04-14,118.0,21.0,17.0,16.0,75.0,1018530.0,140.0,19.0
2020-04-15,126.0,22.0,20.0,15.0,95.0,1019366.0,160.0,20.0
2020-04-16,158.0,40.0,21.0,23.0,107.0,1018794.0,182.0,22.0
2020-04-17,177.0,46.0,21.0,34.0,121.0,1019596.0,215.0,33.0
2020-04-18,204.0,57.0,35.0,34.0,149.0,1019380.0,257.0,42.0
2020-04-19,243.0,55.0,49.0,44.0,178.0,1019430.0,298.0,41.0
2020-04-20,284.0,60.0,60.0,43.0,193.0,1020282.0,347.0,49.0
2020-04-21,343.0,74.0,66.0,50.0,229.0,1020344.0,408.0,61.0
2020-04-22,420.0,101.0,79.0,55.0,271.0,1020098.0,489.0,81.0
2020-04-23,501.0,127.0,111.0,67.0,296.0,1019443.0,596.0,107.0
2020-04-24,568.0,129.0,99.0,82.0,336.0,1019854.0,690.0,94.0
2020-04-25,616.0,153.0,122.0,97.0,394.0,1018803.0,824.0,134.0
2020-04-26,797.0,176.0,129.0,115.0,445.0,1018168.0,938.0,114.0
2020-04-27,925.0,201.0,177.0,135.0,512.0,1018018.0,1100.0,162.0
2020-04-28,1042.0,239.0,191.0,161.0,628.0,1017410.0,1277.0,177.0
2020-04-29,1264.0,264.0,224.0,188.0,736.0,1017429.0,1476.0,199.0
2020-04-30,1536.0,294.0,268.0,214.0,853.0,1017867.0,1718.0,242.0
2020-05-01,1824.0,402.0,298.0,250.0,1038.0,1017380.0,2042.0,324.0
2020-05-02,2093.0,466.0,374.0,294.0,1188.0,1017190.0,2379.0,337.0
2020-05-03,2381.0,518.0,425.0,347.0,1372.0,1017671.0,2762.0,383.0
2020-05-04,2794.0,594.0,468.0,414.0,1568.0,1015936.0,3192.0,430.0
2020-05-05,3213.0,709.0,531.0,439.0,1824.0,1015913.0,3746.0,554.0
2020-05-06,3619.0,875.0,650.0,531.0,2117.0,1014064.0,4428.0,682.0
2020-05-07,4394.0,951.0,752.0,638.0,2470.0,1013302.0,5142.0,714.0
2020-05-08,5100.0,1157.0,942.0,725.0,2954.0,1011160.0,6055.0,913.0
2020-05-09,6021.0,1361.0,1075.0,873.0,3446.0,1010339.0,7092.0,1037.0
2020-05-10,7003.0,1539.0,1255.0,1050.0,4030.0,1007161.0,8245.0,1153.0
2020-05-11,8237.0,1776.0,1403.0,1194.0,4697.0,1005357.0,9590.0,1345.0
2020-05-12,9429.0,2126.0,1657.0,1310.0,5516.0,1002337.0,11226.0,1636.0
2020-05-13,11056.0,2443.0,1941.0,1619.0,6386.0,1000350.0,13100.0,1874.0
2020-05-14,13013.0,2756.0,2347.0,1828.0,7421.0,998064.0,15197.0,2097.0
