time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,970010.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0,1.0,972871.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,1.0,0.0,979628.0,0.0,0.0
2020-03-09,1.0,1.0,0.0,1.0,0.0,986771.0,1.0,1.0
2020-03-10,1.0,1.0,0.0,0.0,1.0,992643.0,1.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,1.0,998098.0,1.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,2.0,1001709.0,1.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,1.0,1003728.0,1.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,0.0,1005660.0,1.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,0.0,1007412.0,1.0,0.0
2020-03-16,2.0,0.0,0.0,0.0,0.0,1008573.0,1.0,0.0
2020-03-17,2.0,0.0,0.0,0.0,0.0,1010528.0,1.0,0.0
2020-03-18,2.0,1.0,0.0,0.0,1.0,1009795.0,1.0,0.0
2020-03-19,3.0,0.0,2.0,0.0,0.0,1009753.0,2.0,1.0
2020-03-20,2.0,0.0,1.0,0.0,1.0,1010180.0,2.0,0.0
2020-03-21,1.0,1.0,0.0,0.0,2.0,1012098.0,2.0,0.0
2020-03-22,2.0,0.0,0.0,0.0,3.0,1012103.0,2.0,0.0
2020-03-23,3.0,0.0,1.0,0.0,3.0,1013789.0,2.0,0.0
2020-03-24,3.0,0.0,1.0,0.0,5.0,1014270.0,2.0,0.0
2020-03-25,5.0,0.0,0.0,1.0,3.0,1016098.0,2.0,0.0
2020-03-26,6.0,1.0,0.0,1.0,3.0,1015372.0,3.0,1.0
2020-03-27,6.0,2.0,1.0,0.0,6.0,1014270.0,3.0,0.0
2020-03-28,7.0,1.0,3.0,0.0,8.0,1014996.0,3.0,0.0
2020-03-29,11.0,1.0,0.0,3.0,6.0,1014293.0,4.0,1.0
2020-03-30,9.0,2.0,0.0,2.0,8.0,1016428.0,6.0,2.0
2020-03-31,9.0,2.0,0.0,1.0,9.0,1015552.0,7.0,1.0
2020-04-01,9.0,7.0,0.0,1.0,6.0,1016677.0,12.0,5.0
2020-04-02,8.0,8.0,5.0,1.0,7.0,1016880.0,17.0,5.0
2020-04-03,23.0,1.0,11.0,4.0,6.0,1016803.0,18.0,1.0
2020-04-04,26.0,5.0,5.0,3.0,12.0,1016538.0,22.0,4.0
2020-04-05,31.0,4.0,6.0,3.0,11.0,1017631.0,25.0,3.0
2020-04-06,32.0,10.0,0.0,2.0,16.0,1017778.0,32.0,7.0
2020-04-07,29.0,8.0,13.0,3.0,20.0,1017349.0,39.0,7.0
2020-04-08,36.0,8.0,13.0,5.0,18.0,1017795.0,44.0,5.0
2020-04-09,41.0,17.0,8.0,5.0,24.0,1017162.0,55.0,11.0
2020-04-10,66.0,14.0,10.0,7.0,26.0,1016686.0,63.0,8.0
2020-04-11,71.0,10.0,11.0,8.0,35.0,1016452.0,78.0,15.0
2020-04-12,76.0,13.0,12.0,7.0,36.0,1017609.0,92.0,14.0
2020-04-13,95.0,15.0,11.0,13.0,44.0,1018084.0,104.0,12.0
2020-04-14,106.0,24.0,9.0,14.0,56.0,1017752.0,123.0,19.0
2020-04-15,121.0,21.0,26.0,18.0,65.0,1018082.0,138.0,15.0
2020-04-16,123.0,29.0,30.0,14.0,91.0,1018915.0,161.0,23.0
2020-04-17,158.0,36.0,33.0,25.0,92.0,1019440.0,185.0,24.0
2020-04-18,206.0,42.0,26.0,32.0,107.0,1020626.0,211.0,26.0
2020-04-19,246.0,56.0,36.0,31.0,133.0,1021078.0,255.0,44.0
2020-04-20,272.0,57.0,42.0,41.0,159.0,1021446.0,293.0,38.0
2020-04-21,329.0,66.0,64.0,53.0,186.0,1019998.0,345.0,52.0
