time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970056.0,0.0,0.0
2020-03-07,1.0,2.0,0.0,0.0,0.0,973103.0,0.0,0.0
2020-03-08,1.0,1.0,0.0,0.0,0.0,979593.0,0.0,0.0
2020-03-09,3.0,0.0,1.0,0.0,0.0,986146.0,0.0,0.0
2020-03-10,2.0,0.0,0.0,1.0,0.0,991123.0,0.0,0.0
2020-03-11,2.0,0.0,0.0,0.0,0.0,997442.0,0.0,0.0
2020-03-12,2.0,0.0,0.0,0.0,0.0,1001845.0,0.0,0.0
2020-03-13,0.0,1.0,0.0,0.0,0.0,1005603.0,1.0,1.0
2020-03-14,2.0,0.0,0.0,1.0,0.0,1006968.0,1.0,0.0
2020-03-15,2.0,1.0,0.0,0.0,1.0,1008425.0,2.0,1.0
2020-03-16,2.0,0.0,0.0,0.0,0.0,1008553.0,2.0,0.0
2020-03-17,2.0,0.0,0.0,0.0,0.0,1009320.0,2.0,0.0
2020-03-18,2.0,2.0,0.0,0.0,1.0,1010006.0,4.0,2.0
2020-03-19,2.0,1.0,1.0,0.0,0.0,1010605.0,5.0,1.0
2020-03-20,0.0,0.0,0.0,0.0,1.0,1011732.0,5.0,0.0
2020-03-21,1.0,0.0,0.0,0.0,0.0,1011880.0,5.0,0.0
2020-03-22,0.0,1.0,0.0,0.0,0.0,1012506.0,6.0,1.0
2020-03-23,1.0,0.0,0.0,0.0,2.0,1012667.0,6.0,0.0
2020-03-24,2.0,0.0,0.0,0.0,2.0,1013556.0,6.0,0.0
2020-03-25,3.0,0.0,0.0,0.0,3.0,1014646.0,6.0,0.0
2020-03-26,3.0,1.0,1.0,0.0,4.0,1014859.0,7.0,1.0
2020-03-27,3.0,1.0,2.0,0.0,5.0,1014703.0,8.0,1.0
2020-03-28,4.0,2.0,0.0,2.0,4.0,1014125.0,9.0,1.0
2020-03-29,4.0,1.0,0.0,0.0,4.0,1015714.0,9.0,0.0
2020-03-30,7.0,0.0,1.0,0.0,4.0,1016373.0,9.0,0.0
2020-03-31,6.0,3.0,0.0,0.0,10.0,1016166.0,10.0,1.0
2020-04-01,8.0,3.0,0.0,1.0,9.0,1017340.0,11.0,1.0
2020-04-02,6.0,2.0,2.0,1.0,6.0,1017018.0,13.0,2.0
2020-04-03,9.0,1.0,1.0,3.0,6.0,1017112.0,13.0,0.0
2020-04-04,8.0,1.0,2.0,1.0,8.0,1016535.0,16.0,3.0
2020-04-05,16.0,2.0,2.0,1.0,8.0,1018214.0,17.0,1.0
2020-04-06,17.0,3.0,3.0,3.0,7.0,1018582.0,20.0,3.0
2020-04-07,18.0,5.0,1.0,2.0,10.0,1018300.0,23.0,3.0
2020-04-08,14.0,5.0,5.0,3.0,11.0,1018162.0,28.0,5.0
2020-04-09,18.0,5.0,8.0,7.0,6.0,1017400.0,33.0,5.0
2020-04-10,28.0,10.0,6.0,3.0,12.0,1016632.0,38.0,5.0
2020-04-11,42.0,7.0,5.0,7.0,13.0,1017030.0,42.0,4.0
2020-04-12,40.0,6.0,2.0,7.0,16.0,1017900.0,45.0,3.0
2020-04-13,54.0,8.0,6.0,6.0,23.0,1018867.0,53.0,8.0
2020-04-14,47.0,8.0,7.0,5.0,28.0,1019256.0,62.0,9.0
2020-04-15,45.0,6.0,8.0,10.0,37.0,1019753.0,68.0,6.0
2020-04-16,48.0,9.0,5.0,8.0,39.0,1018894.0,79.0,11.0
2020-04-17,51.0,12.0,3.0,7.0,39.0,1019535.0,88.0,9.0
2020-04-18,54.0,16.0,12.0,8.0,36.0,1018932.0,102.0,14.0
2020-04-19,85.0,21.0,11.0,7.0,42.0,1019174.0,114.0,12.0
2020-04-20,94.0,20.0,15.0,12.0,45.0,1019484.0,133.0,19.0
2020-04-21,115.0,28.0,22.0,13.0,58.0,1020337.0,158.0,25.0
2020-04-22,116.0,25.0,31.0,24.0,64.0,1020245.0,180.0,22.0
2020-04-23,156.0,24.0,27.0,31.0,84.0,1020215.0,203.0,23.0
2020-04-24,203.0,35.0,26.0,32.0,98.0,1021229.0,231.0,28.0
2020-04-25,229.0,38.0,40.0,30.0,116.0,1020167.0,261.0,30.0
2020-04-26,277.0,43.0,53.0,43.0,119.0,1020444.0,303.0,42.0
2020-04-27,311.0,58.0,56.0,39.0,132.0,1020477.0,358.0,55.0
2020-04-28,337.0,74.0,54.0,52.0,165.0,1019869.0,417.0,59.0
2020-04-29,378.0,91.0,57.0,58.0,210.0,1020475.0,482.0,65.0
2020-04-30,441.0,90.0,89.0,64.0,232.0,1020826.0,553.0,71.0
2020-05-01,525.0,106.0,83.0,83.0,292.0,1021271.0,638.0,85.0
2020-05-02,597.0,118.0,109.0,73.0,323.0,1020451.0,724.0,86.0
2020-05-03,723.0,166.0,141.0,82.0,413.0,1020689.0,862.0,138.0
2020-05-04,822.0,205.0,153.0,112.0,474.0,1019625.0,1018.0,156.0
2020-05-05,983.0,206.0,178.0,127.0,525.0,1020074.0,1183.0,165.0
2020-05-06,1081.0,248.0,195.0,183.0,615.0,1018188.0,1382.0,199.0
2020-05-07,1277.0,283.0,233.0,178.0,757.0,1019145.0,1598.0,216.0
2020-05-08,1573.0,332.0,288.0,197.0,903.0,1019583.0,1875.0,277.0
2020-05-09,1830.0,389.0,297.0,266.0,1042.0,1018805.0,2190.0,315.0
2020-05-10,2187.0,476.0,391.0,266.0,1189.0,1019039.0,2577.0,387.0
2020-05-11,2526.0,549.0,440.0,360.0,1389.0,1019188.0,3009.0,432.0
2020-05-12,3067.0,657.0,520.0,425.0,1651.0,1017849.0,3487.0,478.0
2020-05-13,3481.0,800.0,573.0,496.0,1971.0,1016601.0,4095.0,608.0
2020-05-14,4190.0,814.0,704.0,577.0,2316.0,1015453.0,4732.0,637.0
2020-05-15,4844.0,1010.0,805.0,675.0,2727.0,1012863.0,5529.0,797.0
2020-05-16,5511.0,1227.0,909.0,794.0,3199.0,1012207.0,6529.0,1000.0
2020-05-17,6518.0,1435.0,1148.0,903.0,3684.0,1010883.0,7627.0,1098.0
2020-05-18,7600.0,1610.0,1382.0,1028.0,4328.0,1008682.0,8901.0,1274.0
2020-05-19,8852.0,1955.0,1545.0,1272.0,5092.0,1004105.0,10429.0,1528.0
2020-05-20,10304.0,2274.0,1879.0,1479.0,5949.0,1001286.0,12179.0,1750.0
2020-05-21,12082.0,2684.0,2116.0,1737.0,7028.0,999106.0,14259.0,2080.0
