time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,1.0,1.0,0.0,0.0,970205.0,0.0,0.0
2020-03-07,0.0,0.0,1.0,1.0,0.0,972207.0,0.0,0.0
2020-03-08,0.0,0.0,1.0,0.0,1.0,980302.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,1.0,0.0,987576.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,1.0,992850.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,1.0,997554.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,0.0,1000266.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,0.0,1002707.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,0.0,1005915.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,0.0,1007492.0,0.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,0.0,1007259.0,0.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,0.0,1008097.0,0.0,0.0
2020-03-18,0.0,0.0,0.0,0.0,0.0,1009150.0,0.0,0.0
2020-03-19,0.0,0.0,0.0,0.0,0.0,1010671.0,0.0,0.0
2020-03-20,0.0,0.0,0.0,0.0,1.0,1012199.0,0.0,0.0
2020-03-21,0.0,0.0,0.0,0.0,0.0,1013080.0,0.0,0.0
2020-03-22,0.0,0.0,0.0,0.0,0.0,1013647.0,0.0,0.0
2020-03-23,0.0,0.0,0.0,0.0,0.0,1012827.0,0.0,0.0
2020-03-24,0.0,0.0,0.0,0.0,0.0,1014028.0,0.0,0.0
2020-03-25,0.0,0.0,0.0,0.0,0.0,1014695.0,0.0,0.0
2020-03-26,0.0,0.0,0.0,0.0,0.0,1013554.0,0.0,0.0
2020-03-27,0.0,0.0,0.0,0.0,0.0,1013560.0,0.0,0.0
2020-03-28,0.0,0.0,0.0,0.0,0.0,1014536.0,0.0,0.0
2020-03-29,0.0,0.0,0.0,0.0,0.0,1014432.0,0.0,0.0
2020-03-30,0.0,0.0,0.0,0.0,0.0,1015096.0,0.0,0.0
2020-03-31,0.0,0.0,0.0,0.0,0.0,1016268.0,0.0,0.0
2020-04-01,0.0,0.0,0.0,0.0,0.0,1016716.0,0.0,0.0
2020-04-02,0.0,0.0,0.0,0.0,0.0,1016846.0,0.0,0.0
2020-04-03,0.0,0.0,0.0,0.0,0.0,1016577.0,0.0,0.0
2020-04-04,0.0,0.0,0.0,0.0,0.0,1016880.0,0.0,0.0
2020-04-05,0.0,0.0,0.0,0.0,0.0,1016535.0,0.0,0.0
2020-04-06,0.0,0.0,0.0,0.0,1.0,1017892.0,0.0,0.0
2020-04-07,0.0,0.0,0.0,0.0,1.0,1018565.0,0.0,0.0
2020-04-08,0.0,0.0,0.0,0.0,0.0,1018374.0,0.0,0.0
2020-04-09,0.0,0.0,0.0,0.0,0.0,1018247.0,0.0,0.0
2020-04-10,0.0,0.0,0.0,0.0,0.0,1017975.0,0.0,0.0
2020-04-11,0.0,0.0,0.0,0.0,0.0,1018025.0,0.0,0.0
2020-04-12,0.0,0.0,0.0,0.0,0.0,1018945.0,0.0,0.0
2020-04-13,0.0,0.0,0.0,0.0,0.0,1018716.0,0.0,0.0
2020-04-14,0.0,0.0,0.0,0.0,0.0,1019128.0,0.0,0.0
2020-04-15,0.0,0.0,0.0,0.0,0.0,1018722.0,0.0,0.0
2020-04-16,0.0,0.0,0.0,0.0,1.0,1018950.0,0.0,0.0
2020-04-17,0.0,0.0,0.0,0.0,0.0,1018662.0,0.0,0.0
