time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,0.0,0.0,0.0,970556.0,0.0,0.0
2020-03-07,1.0,0.0,0.0,0.0,0.0,972997.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,0.0,1.0,979727.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,0.0,1.0,986954.0,0.0,0.0
2020-03-10,1.0,1.0,0.0,1.0,0.0,992513.0,1.0,1.0
2020-03-11,2.0,0.0,0.0,0.0,0.0,996819.0,1.0,0.0
2020-03-12,1.0,0.0,0.0,0.0,1.0,1000806.0,1.0,0.0
2020-03-13,1.0,0.0,0.0,0.0,1.0,1004895.0,1.0,0.0
2020-03-14,2.0,0.0,0.0,2.0,1.0,1007044.0,1.0,0.0
2020-03-15,2.0,1.0,0.0,1.0,1.0,1007884.0,1.0,0.0
2020-03-16,3.0,0.0,0.0,2.0,1.0,1009417.0,1.0,0.0
2020-03-17,2.0,3.0,0.0,1.0,2.0,1010555.0,3.0,2.0
2020-03-18,1.0,1.0,1.0,2.0,2.0,1012378.0,4.0,1.0
2020-03-19,1.0,0.0,2.0,0.0,4.0,1013156.0,4.0,0.0
2020-03-20,1.0,0.0,1.0,1.0,3.0,1011992.0,4.0,0.0
2020-03-21,0.0,1.0,0.0,0.0,4.0,1012261.0,5.0,1.0
2020-03-22,1.0,0.0,0.0,0.0,2.0,1011413.0,5.0,0.0
2020-03-23,0.0,0.0,0.0,0.0,1.0,1012712.0,5.0,0.0
2020-03-24,3.0,1.0,0.0,0.0,2.0,1013341.0,5.0,0.0
2020-03-25,3.0,3.0,0.0,1.0,3.0,1013078.0,8.0,3.0
2020-03-26,11.0,3.0,1.0,2.0,2.0,1012760.0,10.0,2.0
2020-03-27,11.0,5.0,1.0,2.0,3.0,1012337.0,14.0,4.0
2020-03-28,11.0,4.0,3.0,0.0,3.0,1013383.0,16.0,2.0
2020-03-29,14.0,1.0,2.0,2.0,7.0,1014574.0,17.0,1.0
2020-03-30,20.0,1.0,1.0,3.0,6.0,1014793.0,17.0,0.0
2020-03-31,18.0,2.0,4.0,2.0,9.0,1014921.0,20.0,3.0
2020-04-01,17.0,2.0,0.0,4.0,11.0,1014508.0,21.0,1.0
2020-04-02,17.0,4.0,3.0,3.0,13.0,1015442.0,25.0,4.0
2020-04-03,23.0,4.0,2.0,5.0,16.0,1015435.0,27.0,2.0
2020-04-04,25.0,6.0,4.0,4.0,18.0,1016798.0,31.0,4.0
2020-04-05,35.0,15.0,5.0,6.0,27.0,1015689.0,41.0,10.0
2020-04-06,45.0,15.0,10.0,6.0,27.0,1015815.0,51.0,10.0
2020-04-07,51.0,15.0,9.0,6.0,32.0,1015354.0,61.0,10.0
2020-04-08,62.0,15.0,8.0,9.0,39.0,1016860.0,70.0,9.0
2020-04-09,74.0,13.0,8.0,11.0,42.0,1017982.0,80.0,10.0
