time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970558.0,0.0,0.0
2020-03-07,3.0,2.0,1.0,0.0,0.0,973155.0,1.0,1.0
2020-03-08,1.0,1.0,2.0,0.0,0.0,980392.0,2.0,1.0
2020-03-09,0.0,2.0,0.0,1.0,0.0,987727.0,3.0,1.0
2020-03-10,1.0,1.0,0.0,0.0,0.0,993982.0,3.0,0.0
2020-03-11,2.0,1.0,1.0,0.0,0.0,999174.0,3.0,0.0
2020-03-12,3.0,0.0,0.0,0.0,0.0,1003653.0,3.0,0.0
2020-03-13,2.0,0.0,0.0,0.0,1.0,1004588.0,3.0,0.0
2020-03-14,2.0,0.0,0.0,0.0,2.0,1005994.0,3.0,0.0
2020-03-15,1.0,0.0,0.0,0.0,3.0,1008034.0,3.0,0.0
2020-03-16,4.0,0.0,2.0,0.0,3.0,1009285.0,3.0,0.0
2020-03-17,3.0,0.0,3.0,0.0,3.0,1009159.0,3.0,0.0
2020-03-18,4.0,1.0,1.0,1.0,3.0,1010044.0,4.0,1.0
2020-03-19,7.0,0.0,1.0,2.0,3.0,1011997.0,4.0,0.0
2020-03-20,6.0,3.0,3.0,2.0,4.0,1012605.0,9.0,5.0
2020-03-21,9.0,2.0,0.0,4.0,7.0,1013371.0,10.0,1.0
2020-03-22,10.0,2.0,3.0,2.0,6.0,1013951.0,10.0,0.0
2020-03-23,11.0,2.0,4.0,2.0,8.0,1013572.0,10.0,0.0
2020-03-24,11.0,2.0,6.0,4.0,8.0,1013869.0,14.0,4.0
2020-03-25,15.0,1.0,3.0,7.0,8.0,1014491.0,16.0,2.0
2020-03-26,21.0,8.0,2.0,4.0,10.0,1015763.0,22.0,6.0
2020-03-27,21.0,4.0,7.0,3.0,11.0,1015032.0,23.0,1.0
2020-03-28,23.0,9.0,4.0,5.0,14.0,1014575.0,29.0,6.0
2020-03-29,31.0,10.0,6.0,6.0,18.0,1014657.0,34.0,5.0
2020-03-30,29.0,7.0,1.0,8.0,24.0,1014335.0,39.0,5.0
2020-03-31,30.0,3.0,5.0,3.0,25.0,1015565.0,41.0,2.0
2020-04-01,24.0,1.0,2.0,4.0,29.0,1015666.0,42.0,1.0
2020-04-02,45.0,3.0,4.0,2.0,29.0,1015380.0,45.0,3.0
2020-04-03,53.0,10.0,8.0,3.0,30.0,1015737.0,52.0,7.0
2020-04-04,61.0,11.0,9.0,2.0,37.0,1016290.0,63.0,11.0
2020-04-05,57.0,13.0,12.0,10.0,27.0,1015560.0,75.0,12.0
2020-04-06,56.0,13.0,12.0,16.0,38.0,1017589.0,91.0,16.0
