time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,1.0,2.0,0.0,0.0,970024.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0,0.0,972667.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,1.0,0.0,979155.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,1.0,986443.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,1.0,991507.0,0.0,0.0
2020-03-11,1.0,0.0,0.0,0.0,0.0,996153.0,0.0,0.0
2020-03-12,1.0,0.0,0.0,0.0,0.0,1001293.0,0.0,0.0
2020-03-13,2.0,1.0,0.0,0.0,0.0,1003137.0,1.0,1.0
2020-03-14,3.0,0.0,1.0,0.0,0.0,1004636.0,1.0,0.0
2020-03-15,1.0,0.0,1.0,0.0,0.0,1006886.0,1.0,0.0
2020-03-16,1.0,0.0,0.0,0.0,0.0,1009427.0,1.0,0.0
2020-03-17,1.0,0.0,0.0,0.0,0.0,1010395.0,1.0,0.0
2020-03-18,1.0,0.0,0.0,0.0,1.0,1012670.0,1.0,0.0
2020-03-19,2.0,0.0,0.0,1.0,1.0,1013383.0,1.0,0.0
2020-03-20,5.0,1.0,1.0,0.0,1.0,1013181.0,1.0,0.0
2020-03-21,3.0,2.0,0.0,1.0,1.0,1012040.0,2.0,1.0
2020-03-22,3.0,2.0,1.0,0.0,2.0,1012126.0,4.0,2.0
2020-03-23,5.0,0.0,0.0,1.0,0.0,1012939.0,4.0,0.0
2020-03-24,6.0,1.0,0.0,0.0,1.0,1013049.0,5.0,1.0
2020-03-25,11.0,1.0,1.0,1.0,2.0,1012300.0,5.0,0.0
2020-03-26,15.0,4.0,0.0,2.0,3.0,1014140.0,6.0,1.0
2020-03-27,13.0,5.0,1.0,3.0,3.0,1014145.0,9.0,3.0
2020-03-28,21.0,5.0,3.0,1.0,3.0,1015272.0,11.0,2.0
2020-03-29,21.0,4.0,6.0,1.0,5.0,1015933.0,15.0,4.0
2020-03-30,22.0,8.0,2.0,3.0,5.0,1015369.0,21.0,6.0
2020-03-31,22.0,6.0,2.0,2.0,11.0,1015112.0,23.0,2.0
