time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,0.0,0.0,0.0,970228.0,0.0,0.0
2020-03-07,1.0,1.0,0.0,0.0,0.0,973338.0,0.0,0.0
2020-03-08,1.0,1.0,0.0,0.0,0.0,979221.0,0.0,0.0
2020-03-09,1.0,0.0,1.0,0.0,0.0,985002.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,1.0,0.0,990598.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,2.0,996376.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,1.0,999553.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,1.0,1003151.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,0.0,1004952.0,0.0,0.0
2020-03-15,1.0,1.0,0.0,0.0,0.0,1006138.0,0.0,0.0
2020-03-16,1.0,0.0,0.0,0.0,1.0,1007955.0,0.0,0.0
2020-03-17,1.0,0.0,0.0,1.0,1.0,1010163.0,0.0,0.0
2020-03-18,0.0,0.0,0.0,0.0,1.0,1010652.0,0.0,0.0
2020-03-19,2.0,0.0,0.0,0.0,2.0,1011940.0,0.0,0.0
2020-03-20,2.0,0.0,0.0,0.0,2.0,1012390.0,0.0,0.0
2020-03-21,4.0,0.0,0.0,0.0,1.0,1013305.0,0.0,0.0
2020-03-22,4.0,0.0,0.0,1.0,1.0,1013418.0,0.0,0.0
2020-03-23,1.0,2.0,1.0,0.0,1.0,1013776.0,3.0,3.0
2020-03-24,5.0,1.0,2.0,1.0,1.0,1014482.0,3.0,0.0
2020-03-25,6.0,1.0,2.0,2.0,2.0,1014150.0,3.0,0.0
2020-03-26,7.0,0.0,2.0,0.0,4.0,1015181.0,3.0,0.0
2020-03-27,6.0,1.0,1.0,0.0,4.0,1014059.0,4.0,1.0
2020-03-28,9.0,0.0,4.0,0.0,5.0,1014335.0,6.0,2.0
2020-03-29,10.0,0.0,6.0,0.0,5.0,1014655.0,8.0,2.0
2020-03-30,12.0,0.0,4.0,2.0,4.0,1015323.0,8.0,0.0
2020-03-31,7.0,0.0,2.0,4.0,4.0,1015958.0,10.0,2.0
2020-04-01,10.0,4.0,2.0,5.0,6.0,1016225.0,13.0,3.0
2020-04-02,8.0,2.0,3.0,1.0,8.0,1017247.0,14.0,1.0
2020-04-03,13.0,5.0,3.0,1.0,11.0,1016911.0,18.0,4.0
2020-04-04,18.0,5.0,2.0,4.0,9.0,1016522.0,20.0,2.0
2020-04-05,27.0,3.0,4.0,4.0,13.0,1016882.0,21.0,1.0
2020-04-06,28.0,6.0,10.0,1.0,17.0,1017473.0,29.0,8.0
2020-04-07,26.0,11.0,10.0,2.0,22.0,1017839.0,40.0,11.0
2020-04-08,33.0,9.0,8.0,4.0,19.0,1017802.0,47.0,7.0
2020-04-09,36.0,2.0,8.0,6.0,15.0,1019522.0,52.0,5.0
2020-04-10,42.0,3.0,6.0,7.0,29.0,1019508.0,56.0,4.0
2020-04-11,54.0,11.0,7.0,9.0,29.0,1019076.0,66.0,10.0
2020-04-12,56.0,19.0,3.0,10.0,31.0,1018436.0,80.0,14.0
2020-04-13,62.0,11.0,12.0,13.0,37.0,1018271.0,93.0,13.0
2020-04-14,85.0,16.0,19.0,10.0,43.0,1018628.0,108.0,15.0
2020-04-15,105.0,28.0,16.0,11.0,53.0,1017728.0,125.0,17.0
2020-04-16,116.0,29.0,22.0,16.0,64.0,1018562.0,145.0,20.0
2020-04-17,142.0,26.0,38.0,19.0,81.0,1018900.0,171.0,26.0
2020-04-18,162.0,22.0,35.0,22.0,94.0,1018450.0,186.0,15.0
2020-04-19,180.0,46.0,33.0,24.0,99.0,1018842.0,235.0,49.0
2020-04-20,191.0,51.0,42.0,29.0,117.0,1019124.0,276.0,41.0
2020-04-21,236.0,45.0,47.0,29.0,145.0,1020191.0,305.0,29.0
2020-04-22,269.0,56.0,51.0,43.0,177.0,1019314.0,357.0,52.0
2020-04-23,303.0,76.0,60.0,48.0,187.0,1019489.0,413.0,56.0
2020-04-24,381.0,73.0,62.0,60.0,228.0,1018802.0,462.0,49.0
2020-04-25,413.0,97.0,73.0,48.0,253.0,1018324.0,531.0,69.0
2020-04-26,483.0,113.0,95.0,71.0,268.0,1019406.0,614.0,83.0
2020-04-27,572.0,119.0,114.0,71.0,314.0,1019347.0,709.0,95.0
2020-04-28,682.0,132.0,128.0,102.0,360.0,1020135.0,825.0,116.0
2020-04-29,830.0,145.0,141.0,116.0,444.0,1019231.0,954.0,129.0
2020-04-30,984.0,206.0,156.0,134.0,520.0,1019289.0,1117.0,163.0
2020-05-01,1081.0,230.0,172.0,162.0,574.0,1019982.0,1300.0,183.0
2020-05-02,1242.0,276.0,210.0,187.0,690.0,1019905.0,1535.0,235.0
2020-05-03,1498.0,321.0,275.0,210.0,842.0,1018979.0,1775.0,240.0
2020-05-04,1763.0,355.0,329.0,237.0,994.0,1018980.0,2062.0,287.0
2020-05-05,2096.0,418.0,334.0,305.0,1143.0,1018798.0,2380.0,318.0
